year,monthly_avg_mgd,industrial_mgd,annual_raw_avg_mgd,municipal_m3,industrial_m3,meta_withdrawal_m3,meta_share_of_municipal,meta_share_of_industrial_class,not_WUE,not_causal_flow,wtp
2010,,0.125,2.1,2901518.132436,172709.412645,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2011,,0.14,2.05,2832434.3673779997,193434.5421624,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2012,1.9505833333333333,0.05,1.92,2652816.5782271996,69083.765058,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2013,1.9154166666666665,0.057,1.915,2645908.2017214,78755.49216611999,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2014,2.4125,0.46,2.62,3619989.2890392,635570.6385336,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2015,2.4525,0.631,2.453,3389249.5137454798,871837.11503196,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2016,2.0796666666666668,0.183,2.08,2873884.6264128,252846.58011228,,,,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2017,2.0585,0.11,2.056,2840724.41918496,151984.28312759998,129000.0,0.04541095191381209,0.8487719739527061,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2018,2.2249166666666667,0.132,2.225,3074227.545081,182381.13975312,99000.0,0.032203211554202485,0.5428192856674283,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2019,2.454333333333333,0.213,2.454,3390631.18904664,294296.83914708,85000.0,0.025069078664347405,0.28882403306248133,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2020,3.0253333333333337,0.722,3.0253,4179982.288599348,997569.5674375199,68000.0,0.01626801151417936,0.06816567206903994,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2021,3.2431083333333333,1.005,3.243,4480773.00166188,1388583.6776657999,64053.0,0.014295078098409202,0.04612829678919507,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2022,3.3516666666666666,1.0123,3.3515,4630684.77183774,1398669.9073642679,62853.0,0.013573154532619171,0.044937693782547826,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2023,3.348333333333333,1.03,3.348,4625848.90828368,1423125.5601948,55000.0,0.011889709562607946,0.038647327782146995,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
2024,3.1651666666666665,0.9571,3.165,4373002.328171399,1322401.4307402358,16000.0,0.003658813510554546,0.012099200460667786,True,True,Forest City WTP PWSID 01-81-010 8 MGD; raw metered; finished metered; Second Broad River
