year,quantity,value,unit,source_report,publication_year,methodology_version,original_vs_revised,revision_of,canonical_preferred,boundary_notes
2011,electricity,6000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2012,electricity,98000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2013,electricity,225000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2014,electricity,322000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2015,electricity,310000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2016,electricity,339000.0,MWh,Facebook_2016_Sustainability_Data_Disclosure,2017,Facebook_2016_disclosure_MWh,original_or_confirmed,,True,Facility electricity as reported. 2011 is pre-opening / commissioning residual. Later years are not 2012 Building-1 only.
2011,electricity,6000.0,MWh,Facebook_2014_Sustainability_Data_Disclosure,2015,Facebook_2014_disclosure_kWh_converted,original,,False,"Published as 6,000,000 kWh. Same rounded MWh as 2016 disclosure."
2017,electricity,433000.0,MWh,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_facility_electricity,as_published,,True,Site as reported; later campus buildings included. Not 2012 Building-1 only.
2018,electricity,547000.0,MWh,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_facility_electricity,as_published,,True,Site as reported; later campus buildings included. Not 2012 Building-1 only.
2019,electricity,614000.0,MWh,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_facility_electricity,as_published,,True,Site as reported; later campus buildings included. Not 2012 Building-1 only.
2020,electricity,595000.0,MWh,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_facility_electricity,rounded_in_2025_index,,True,Site as reported; unidentified later buildings/cold storage in the site total.
2021,electricity,580842.0,MWh,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_facility_electricity,as_published,,True,Site as reported; unidentified later buildings/cold storage in the site total.
2022,electricity,492786.0,MWh,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_facility_electricity,as_published,,True,Site as reported; unidentified later buildings/cold storage in the site total.
2023,electricity,507068.0,MWh,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_facility_electricity,as_published,,True,Site as reported; unidentified later buildings/cold storage in the site total.
2024,electricity,535555.0,MWh,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_facility_electricity,as_published,,True,Site as reported; unidentified later buildings/cold storage in the site total.
2014,water_withdrawal,124918.58887200001,m3,Facebook_2014_Sustainability_Data_Disclosure,2015,gallons_converted_to_m3,original,,False,"First public water year. Published 33,000,000 gallons. Not WUE."
2014,water_withdrawal,117347.765304,m3,Facebook_2016_Sustainability_Data_Disclosure,2017,gallons_converted_to_m3,revised,Facebook_2014_Sustainability_Data_Disclosure,True,"2016 disclosure restates 2014 Forest City water as 31,000,000 gallons."
2015,water_withdrawal,125675.6712288,m3,Facebook_2016_Sustainability_Data_Disclosure,2017,gallons_converted_to_m3,as_published,,True,"33,200,000 gallons. Site withdrawal, not WUE."
2016,water_withdrawal,132867.9536184,m3,Facebook_2016_Sustainability_Data_Disclosure,2017,gallons_converted_to_m3,original,,False,"35,100,000 gallons. Later 2020 disclosure reports 123,000 m3."
