variable,status
MODEL_CALIBRATED,NO
FACILITY_EFFECTIVE_DELTA_T,UNIDENTIFIED
IT_DESIGN_DELTA_T,IDENTIFIED_DESIGN_SPEC
normalized_airside_dw,ENGINEERING_BOUNDED
evaporative_water_per_MW_IT,SCENARIO_BOUNDED
absolute_cooling_water_m3,UNIDENTIFIED
WUE,UNIDENTIFIED
cooling_to_withdrawal_edge,UNIDENTIFIED
2012_FRC1_electricity,UNIDENTIFIED
dashboard_numeric,SCREENSHOT_ONLY
architecture_stationarity_2012_2024,UNIDENTIFIED
emissions_reconstruction,EMISSIONS_BOUNDARY_NOT_READY
physics_controller_transfer,SUPPORTED
absolute_site_water_validated,UNIDENTIFIED
