year,wtp,source_water,raw_and_finished,annual_raw_avg_mgd,industrial_class_mgd,municipal_raw_m3,industrial_class_m3,meta_withdrawal_m3_canonical,meta_share_of_municipal,meta_share_of_industrial_class,industrial_class_equals_Meta,ACCOUNTING_CONTEXT_ONLY,not_WUE,not_causal_flow,lwsp_dir
2010,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.1,0.125,2903505.4736226,172827.70676325,,,,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2011,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.05,0.14,2834374.3909173,193567.03157484002,,,,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2012,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),1.92,0.05000000000000001,2654633.57588352,69131.08270530001,,,,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2013,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),1.915,0.057,2647720.46761299,78809.434284042,,,,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2014,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.62,0.46,3622468.73375772,636005.96088876,117347.765304,0.032394417710341655,0.18450733565455463,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2015,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.453,0.631,3391570.917522018,872434.263740886,125675.6712288,0.03705529805657797,0.14405173713595207,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2016,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.08,0.18299999999999997,2875853.04054048,253019.76270139797,123000.0,0.04276991844370591,0.4861280347699908,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2017,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.056,0.11,2842670.120841936,152088.38195166,129000.0,0.04537986981120168,0.8481910211984605,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2018,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.225,0.132,3076333.18038585,182506.058341992,99000.0,0.032181169657177024,0.5424477461152944,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2019,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),2.454,0.213,3392953.539176124,294498.412324578,85000.0,0.02505191981515894,0.28862634378591573,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2020,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),3.0253,0.722,4182845.290166882,998252.834264532,68000.0,0.01625687666714707,0.06811901520930753,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2021,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),3.243,1.005,4483842.024265758,1389534.7623765299,64053.0,0.014285293650703242,0.046096723690776734,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2022,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),3.3515,1.0123,4633856.473736259,1399627.9004515037,62853.0,0.013563864214663922,0.04490693560747421,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2023,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),3.348,1.03,4629017.297946888,1424100.30372918,55000.0,0.011881571499936757,0.03862087512794977,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
2024,Forest City WTP PWSID 01-81-010,Second Broad River,metered (LWSP),3.165,0.9571,4375997.53524549,1323307.1851448526,16000.0,0.0036563091891920847,0.012090919009291557,False,True,True,True,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp
