USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,distance_to_campus_km,begin,end,covers_2012_jja
723144,53890,RURFTON CO-MARCHMAN FLD AP,US,NC,KFQD,35.428,-81.935,328.6,20060101,20250825,16.279981618657068,20060101,20250825,True
723144,99999,RUTHERFORDTON,US,NC,KFQD,35.433,-81.933,329.0,19990114,20051231,16.605269033946453,19990114,20051231,False
720277,99999,SHELBY MUNI,US,NC,KEHO,35.256,-81.601,258.0,20040525,20051231,21.08364364469412,20040525,20051231,False
720277,63843,SHELBY MUNICIPAL AIRPORT,US,NC,KEHO,35.256,-81.601,258.2,20060101,20250825,21.08364364469412,20060101,20250825,True
999999,93804,SPARTANBURG,US,SC,SPA,34.917,-81.95,244.1,19480101,20250825,45.66986281461615,19480101,20250825,True
723126,93804,SPARTANBURG DOWNTOWN MEMORIAL AIRPORT,US,SC,KSPA,34.917,-81.95,244.1,19730101,19820320,45.66986281461615,19730101,19820320,False
723126,99999,SPARTANBURG DOWNTOWN MEM,US,SC,KSPA,34.916,-81.957,244.1,20090420,20250824,45.94336749031615,20090420,20250824,True
723120,3870,GREENVILLE-SPARTANBURG INTL AIRPORT,US,SC,KGSP,34.906,-82.213,294.4,19730101,20250827,57.656917009308266,19730101,20250827,True
723148,99999,FOOTHILLS RGNL,US,NC,KMRN,35.817,-81.617,387.0,20010811,20051231,58.90929288439854,20010811,20051231,False
723148,63859,MORGANTON-LENOIR AIRPORT,US,NC,KMRN,35.821,-81.611,387.1,20060101,20250826,59.50336609844919,20060101,20250826,True
999999,3870,GREENVILLE-SPARTANBURG INTL AIRPORT,US,SC,KGSP,34.884,-82.221,296.0,19621015,19721231,60.04160899584113,19621015,19721231,False
749082,99999,HENDERSONVILLE AAF,US,NC,,35.433,-82.483,661.0,19430801,19460131,61.36328807873021,19430801,19460131,False
723147,53870,GASTONIA MUNICIPAL AIRPORT,US,NC,KAKH,35.197,-81.156,241.5,20060101,20250827,61.86763545761982,20060101,20250827,True
723010,3810,HICKORY REGIONAL AIRPORT,US,NC,KHKY,35.742,-81.382,356.6,20050101,20250827,62.0416868643216,20050101,20250827,True
723145,3810,HICKORY RGNL,US,NC,KHKY,35.743,-81.382,362.1,19730101,19971231,62.12683109277356,19730101,19971231,False
999999,3810,HICKORY REGIONAL AP,US,NC,KHKY,35.743,-81.382,362.1,19490101,19550101,62.12683109277356,19490101,19550101,False
722128,99999,LINCOLNTON LINCOLN,US,NC,KIPJ,35.483,-81.167,267.0,20040525,20051231,62.27350676720014,20040525,20051231,False
723147,99999,GASTONIA MUNI,US,NC,KAKH,35.2,-81.15,243.0,20010811,20051231,62.33042289652152,20010811,20051231,False
722128,53899,LICONTN-LINCOLN CO RGNL AP,US,NC,KIPJ,35.483,-81.161,266.7,20060101,20250826,62.79225437156895,20060101,20250826,True
723150,3812,ASHEVILLE REGIONAL AIRPORT,US,NC,KAVL,35.432,-82.538,645.6,19730101,20250827,66.22000429852491,19730101,20250827,True
999999,3812,ASHEVILLE AIRPORT,US,NC,KAVL,35.432,-82.538,661.4,19480101,19721231,66.22000429852491,19480101,19721231,False
999999,53878,ASHEVILLE 13 S,US,NC,,35.419,-82.557,641.0,20001121,20250828,67.65075091134052,20001121,20250828,True
723119,99999,GREENVILLE DOWNTOWN,US,SC,KGMU,34.85,-82.35,319.0,20000101,20031231,70.50851937226362,20000101,20031231,False
723119,13886,GREENVILLE DOWNTOWN ARPT,US,SC,KGMU,34.849,-82.35,309.9,19420908,20250827,70.59015534418579,19420908,20250827,True
999999,53877,ASHEVILLE 8 SSW,US,NC,,35.495,-82.614,655.6,20001120,20250828,74.53692554994136,20001120,20250828,True
723117,53871,RK HL/YORK CO/BRYNT FD APT,US,SC,KUZA,34.984,-81.056,197.4,20060101,20250827,78.7346295431599,20060101,20250827,True
723117,99999,ROCK HILL YORK CO,US,SC,KUZA,34.983,-81.05,203.0,20010811,20051231,79.26958877706724,20010811,20051231,False
999999,13881,CHARLOTTE DOUGLAS MUNICIPAL A,US,NC,KCLT,35.224,-80.955,234.4,19480101,19721231,79.35380747187396,19480101,19721231,False
999999,13822,GREENVILLE DONALDSON AFB,US,SC,,34.767,-82.383,298.1,19490101,19630430,79.43211821186996,19490101,19630430,False
723140,13881,CHARLOTTE/DOUGLAS INTERNATIONAL AP,US,NC,KCLT,35.223,-80.954,222.6,19410722,20250827,79.45845663942039,19410722,20250827,True
723122,63889,DONALDSON CENTER AIRPORT,US,SC,KGYH,34.758,-82.376,291.1,20060101,20250825,79.79873606320982,20060101,20250825,True
723122,99999,GREENVILLE,US,SC,KGYH,34.75,-82.367,291.0,20050611,20051231,79.98075053534184,20050611,20051231,False
