combination,from,to,n
FC_weather+FC_controller,EVAP_COOLING,EVAP_COOLING,107
FC_weather+FC_controller,EVAP_COOLING,OA_FREE,26
FC_weather+FC_controller,HIGH_RH_MIXING,HIGH_RH_MIXING,378
FC_weather+FC_controller,HIGH_RH_MIXING,OA_FREE,65
FC_weather+FC_controller,OA_FREE,EVAP_COOLING,25
FC_weather+FC_controller,OA_FREE,HIGH_RH_MIXING,65
FC_weather+FC_controller,OA_FREE,OA_FREE,584
FC_weather+PRN_controller,EVAP_COOLING,EVAP_COOLING,241
FC_weather+PRN_controller,EVAP_COOLING,HIGH_RH_MIXING,50
FC_weather+PRN_controller,EVAP_COOLING,OA_FREE,2
FC_weather+PRN_controller,HIGH_RH_MIXING,EVAP_COOLING,50
FC_weather+PRN_controller,HIGH_RH_MIXING,HIGH_RH_MIXING,879
FC_weather+PRN_controller,HIGH_RH_MIXING,OA_FREE,3
FC_weather+PRN_controller,OA_FREE,EVAP_COOLING,2
FC_weather+PRN_controller,OA_FREE,HIGH_RH_MIXING,3
FC_weather+PRN_controller,OA_FREE,OA_FREE,20
PRN_weather+FC_controller,EVAP_COOLING,EVAP_COOLING,138
PRN_weather+FC_controller,EVAP_COOLING,OA_FREE,28
PRN_weather+FC_controller,HIGH_RH_MIXING,HIGH_RH_MIXING,27
PRN_weather+FC_controller,HIGH_RH_MIXING,OA_FREE,12
PRN_weather+FC_controller,OA_FREE,EVAP_COOLING,28
PRN_weather+FC_controller,OA_FREE,HIGH_RH_MIXING,12
PRN_weather+FC_controller,OA_FREE,OA_FREE,1005
PRN_weather+PRN_controller,EVAP_COOLING,EVAP_COOLING,244
PRN_weather+PRN_controller,EVAP_COOLING,HUMIDIFICATION,25
PRN_weather+PRN_controller,EVAP_COOLING,OA_FREE,13
PRN_weather+PRN_controller,HIGH_RH_MIXING,HIGH_RH_MIXING,210
PRN_weather+PRN_controller,HIGH_RH_MIXING,HUMIDIFICATION,24
PRN_weather+PRN_controller,HIGH_RH_MIXING,OA_FREE,24
PRN_weather+PRN_controller,HUMIDIFICATION,EVAP_COOLING,25
PRN_weather+PRN_controller,HUMIDIFICATION,HIGH_RH_MIXING,26
PRN_weather+PRN_controller,HUMIDIFICATION,HUMIDIFICATION,470
PRN_weather+PRN_controller,HUMIDIFICATION,OA_FREE,17
PRN_weather+PRN_controller,OA_FREE,EVAP_COOLING,14
PRN_weather+PRN_controller,OA_FREE,HIGH_RH_MIXING,22
PRN_weather+PRN_controller,OA_FREE,HUMIDIFICATION,18
PRN_weather+PRN_controller,OA_FREE,OA_FREE,118
