"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AW1","AW2","AW3","AX1","GA1","GA2","GA3","GD1","GD2","GD3","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72692024230","2012-01-01T00:00:00","4","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V020","170,1,N,0021,1","02400,1,9,N","016093,1,N,1","+0040,1","-0050,1","10262,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,99,1,+02400,1,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0056,1","999,N,-0011,1",,,,,,,,,,,"10244,1,99999,9","3,1,004,1,+999,9",,,,,,,,,,,,,,,,"MET095METAR KRDM 312356Z 17004KT 10SM OVC080 04/M05 A3025 RMK AO2 SLP262 T00391050 10056 21011 53004;",
"72692024230","2012-01-01T00:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","170,5,N,0021,5","02743,5,M,N","016093,5,N,5","+0028,5","-0050,5","10273,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+02286,5,99,9","08,5,+02743,5,99,9",,"2,99,1,+02286,5,9","4,99,1,+02743,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10251,5,09160,5",,,,,,,,,,,,,,,,,"MET10612/31/11 16:56:03 METAR KRDM 010056Z 17004KT 10SM SCT075 OVC090 03/M05 A3027 RMK AO2 SLP273 T00281050 (WY)",
"72692024230","2012-01-01T01:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","140,5,N,0036,5","01829,5,M,N","016093,5,N,5","+0033,5","-0044,5","10266,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+01829,5,99,9",,,"4,99,1,+01829,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10244,5,09154,5",,,,,,,,,,,,,,,,,"MET09912/31/11 17:56:03 METAR KRDM 010156Z 14007KT 10SM OVC060 03/M04 A3025 RMK AO2 SLP266 T00331044 (WY)",
"72692024230","2012-01-01T02:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","170,5,N,0021,5","01981,5,M,N","016093,5,N,5","+0017,5","-0050,5","10267,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+01981,5,99,9","08,5,+03048,5,99,9",,"3,99,1,+01981,5,9","4,99,1,+03048,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10240,5,09151,5","8,9,002,9,+999,9",,,,,,,,,,,,,,,,"MET11212/31/11 18:56:03 METAR KRDM 010256Z 17004KT 10SM BKN065 OVC100 02/M05 A3024 RMK AO2 SLP267 T00171050 58002 (WY)",
"72692024230","2012-01-01T03:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0011,5","-0044,5","10270,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+01829,5,99,9",,,"4,99,1,+01829,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10244,5,09154,5",,,,,,,,,,,,,,,,,"MET09412/31/11 19:56:03 METAR KRDM 010356Z 00000KT 10SM OVC060 01/M04 A3025 RMK AO2 SLP270 T00111044",
"72692024230","2012-01-01T04:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","150,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0011,5","-0050,5","10264,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+02134,5,99,9",,,"2,99,1,+02134,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10240,5,09151,5",,,,,,,,,,,,,,,,,"MET09412/31/11 20:56:03 METAR KRDM 010456Z 15007KT 10SM SCT070 01/M05 A3024 RMK AO2 SLP264 T00111050",
"72692024230","2012-01-01T05:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","140,5,N,0041,5","03048,5,M,N","016093,5,N,5","+0028,5","-0050,5","10263,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+03048,5,99,9",,,"3,99,1,+03048,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0039,1","999,N,+0006,1",,,,,,,,,,,"10244,5,09154,5","3,9,004,9,+999,9",,,,,,,,,,,,,,,,"MET11212/31/11 21:56:03 METAR KRDM 010556Z 14008KT 10SM BKN100 03/M05 A3025 RMK AO2 SLP263 T00281050 10039 20006 53004",
"72692024230","2012-01-01T06:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","110,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0011,5","-0056,5","10268,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03048,5,99,9",,,"1,99,1,+03048,5,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10251,5,09160,5",,,,,,,,,,,,,,,,,"MET09412/31/11 22:56:03 METAR KRDM 010656Z 11005KT 10SM FEW100 01/M06 A3027 RMK AO2 SLP268 T00111056",
"72692024230","2012-01-01T07:56:00","7","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","FM-15","KRDM ","V030","120,5,N,0015,5","03048,5,M,N","016093,5,N,5","+0011,5","-0050,5","10269,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+03048,5,99,9",,,"4,99,1,+03048,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10254,5,09163,5",,,,,,,,,,,,,,,,,"MET10412/31/11 23:56:03 METAR KRDM 010756Z 12003KT 10SM OVC100 01/M05 A3028 RMK AO2 SLP269 T00111050 400561083",
"72692024230","2012-01-01T07:59:00","6","44.2558","-121.1392","927.5","REDMOND AIRPORT, OR US","SOD  ","KRDM ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,M,+0056,5","240,N,-0082,5",,,,,,,,,"024,W,-0022,D,4","024,D,-0067,D,4",,,"09164,4,10274,4","09164,4,10240,4",,,,,,,,"1,24,00894,150,9999,5","2,24,00671,130,9999,5","3,24,00282,999,9999,5","024,X,088,D,4","024,N,041,D,4","024,M,063,D,4","SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4224 HR MIN TEMP (F): 17AVERAGE STATION PRESSURE:27.060 MINIMUM SEA LEVEL PRESSURE:30.24 TIME OF OCCURRENCE:0021 PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):150 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):130 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.3 24 HR AVG TEMP (F): 30DEPART FROM NORMAL: -1  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):42  LATEST NIGHT MIN TEMP(1900-0800 LST):17 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00",
