weather,twb_bin_lower_C,n,PUE_mean,WUE_mean,PUE_minus_station_mean
KEHO,10.0,2,1.1117939998066275,0.0,-0.09224195551377279
KEHO,12.0,15,1.1716739580271587,0.8095111688239502,-0.03236199729324163
KEHO,14.0,46,1.1758467923524727,0.8490277103647277,-0.028189162967927617
KEHO,16.0,101,1.2523173307335067,1.8219689128138599,0.0482813754131064
KEHO,18.0,291,1.218644676596255,1.356025372167016,0.014608721275854775
KEHO,20.0,412,1.2466247709994822,1.6684240164434774,0.042588815679081904
KEHO,22.0,226,1.2513501587273006,1.689172085623972,0.04731420340690029
KFQD,12.0,8,1.246987063470664,1.8216934607995123,-0.020802829415355717
KFQD,14.0,25,1.2078090228571288,1.268724838403123,-0.059980870028890854
KFQD,16.0,105,1.2563759487457473,1.869409847284952,-0.011413944140272303
KFQD,18.0,264,1.237403765601621,1.5883770908998782,-0.0303861272843986
KFQD,20.0,425,1.2468479221539053,1.6692619062503902,-0.020941970732114346
KFQD,22.0,364,1.2902184127572929,2.147264937724853,0.022428519871273256
KFQD,24.0,59,1.3249328066988992,2.5105084197621634,0.057142913812879614
KFQD,26.0,1,1.331744200802898,2.5264768433457387,0.06395430791687828
KGSP,12.0,7,1.163183220356712,0.6933080867694452,-0.06318374096223645
KGSP,14.0,21,1.1384422794929052,0.34889904867207155,-0.0879246818260433
KGSP,16.0,54,1.2104438495567524,1.2729389041247947,-0.015923111762196074
KGSP,18.0,216,1.2484764865234397,1.725470246725318,0.022109525204491165
KGSP,20.0,453,1.2285050569537326,1.4407638454062441,0.002138095634784065
KGSP,22.0,466,1.2711308992468477,1.9184053231207683,0.04476393792789923
KGSP,24.0,34,1.3243869371022492,2.509512886153285,0.09801997578330068
KRDM,-2.0,4,1.1155178270041497,0.0,-0.028402871073206937
KRDM,0.0,9,1.1154120090413655,0.0,-0.02850868903599113
KRDM,2.0,32,1.1153969245479731,0.0,-0.02852377352938351
KRDM,4.0,60,1.1153958363350653,0.0,-0.028524861742291296
KRDM,6.0,142,1.1153795329636162,0.0,-0.028541165113740385
KRDM,8.0,187,1.115639689006718,0.0010956662431619553,-0.028281009070638685
KRDM,10.0,238,1.1154272190707284,0.0004916330844245159,-0.02849347900662824
KRDM,12.0,289,1.127121637670441,0.15463222463875134,-0.0167990604069157
KRDM,14.0,223,1.185664201648971,0.930101080243604,0.04174350357161427
KRDM,16.0,62,1.2312367527695605,1.5024692876369394,0.08731605469220383
KRDM,18.0,5,1.2309360487923342,1.4763015264105062,0.08701535071497757
