logical_input,path,package,used_by_step,exists_worktree,worktree_sha256,tracked_at_HEAD,HEAD_blob_sha256,worktree_matches_HEAD,intended_frozen_commit,intended_blob_sha256,worktree_matches_intended,access_mode,frozen_blob_available,material,evidence_class,notes
fc_v1_paths,Meta_Forest_City_North_Carolina_v1/src/paths.py,Forest City v1,imports,True,fd044517361b14e898c9594835f44b08612c4f18fe1b5b3eb01f25c7469daa41,True,fd044517361b14e898c9594835f44b08612c4f18fe1b5b3eb01f25c7469daa41,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,fd044517361b14e898c9594835f44b08612c4f18fe1b5b3eb01f25c7469daa41,True,WORKTREE,True,True,FROZEN_CODE,Transitive import used by psychrometrics adapter.
fc_v1_psychrometrics_adapter,Meta_Forest_City_North_Carolina_v1/src/psychrometrics_adapter.py,Forest City v1,weather preprocessing; FC replay,True,10bd8656d2c597d596bbc36b9da8f181f820c9b2dfa15d0a5698066f921b17d6,True,10bd8656d2c597d596bbc36b9da8f181f820c9b2dfa15d0a5698066f921b17d6,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,10bd8656d2c597d596bbc36b9da8f181f820c9b2dfa15d0a5698066f921b17d6,True,WORKTREE,True,True,FROZEN_CODE,Pressure-aware wet-bulb adapter.
fc_v1_controller,Meta_Forest_City_North_Carolina_v1/src/forest_city_controller.py,Forest City v1,FC controller replay,True,99ecc213fa181ab1fe7144087da5874b0a8f3f79478a6a8b5aed83fe0ea77c78,True,99ecc213fa181ab1fe7144087da5874b0a8f3f79478a6a8b5aed83fe0ea77c78,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,99ecc213fa181ab1fe7144087da5874b0a8f3f79478a6a8b5aed83fe0ea77c78,True,WORKTREE,True,True,FROZEN_CODE,Frozen controller; never fitted.
fc_v1_structural,Meta_Forest_City_North_Carolina_v1/src/forest_city_structural_reference_v1.py,Forest City v1,FC controller replay,True,085a893cd63665b37d027877e9d80efbc99489a6c813a9f8da150e41a529568d,True,085a893cd63665b37d027877e9d80efbc99489a6c813a9f8da150e41a529568d,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,085a893cd63665b37d027877e9d80efbc99489a6c813a9f8da150e41a529568d,True,WORKTREE,True,True,FROZEN_CODE,Frozen structural reference; airflow boundary remains unidentified.
fc_control_contract,Meta_Forest_City_North_Carolina_v1/config/FOREST_CITY_REFERENCE_CONTROL_CONTRACT.json,Forest City v1,claims guard,True,56d3ef12b0ab3584886892a3283f068ebe7bcfc0adc827543dc6b8910da450c2,True,56d3ef12b0ab3584886892a3283f068ebe7bcfc0adc827543dc6b8910da450c2,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,56d3ef12b0ab3584886892a3283f068ebe7bcfc0adc827543dc6b8910da450c2,True,WORKTREE,True,True,DOCUMENTARY_CONTRACT,Frozen controller evidence contract.
fc_airflow_contract,Meta_Forest_City_North_Carolina_v1/config/FOREST_CITY_AIRFLOW_BOUNDARY_CONTRACT.json,Forest City v1,identification guard,True,f1cdc03bea8f5103e8951c6fbef7e965d16248e511fd4ad4874e19d5054ddc37,True,f1cdc03bea8f5103e8951c6fbef7e965d16248e511fd4ad4874e19d5054ddc37,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,f1cdc03bea8f5103e8951c6fbef7e965d16248e511fd4ad4874e19d5054ddc37,True,WORKTREE,True,True,DOCUMENTARY_CONTRACT,"35 F is an IT design rise, not facility effective Delta-T."
fc_source_register,Meta_Forest_City_North_Carolina_v1/config/forest_city_source_register.csv,Forest City v1,evidence crosswalk,True,b57a627750edb85920d75c53522268b38ff1d843e27dc3e06f27d876452afbfe,True,b57a627750edb85920d75c53522268b38ff1d843e27dc3e06f27d876452afbfe,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,b57a627750edb85920d75c53522268b38ff1d843e27dc3e06f27d876452afbfe,True,WORKTREE,True,True,DOCUMENTARY_EVIDENCE,Committed source-level evidence registry.
fc_annual_source_rows,Meta_Forest_City_North_Carolina_v1/outputs/annual_accounting/FOREST_CITY_SITE_WITHDRAWAL_INTENSITY.csv,Forest City v1,2024 campus accounting,True,42a591cc4bb44ca1d0bd1b38cc9f6eb2d87ea5a710ed5942c030a950451c0aa2,True,42a591cc4bb44ca1d0bd1b38cc9f6eb2d87ea5a710ed5942c030a950451c0aa2,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,42a591cc4bb44ca1d0bd1b38cc9f6eb2d87ea5a710ed5942c030a950451c0aa2,True,WORKTREE,True,True,OBSERVED_AND_DERIVED,Committed actual source rows; replaces ignored processed CSV dependency.
fc_dashboard_scope,Meta_Forest_City_North_Carolina_v1/outputs/dashboard_recovery/DASHBOARD_RECOVERY_STATUS.json,Forest City v1,evidence crosswalk,True,2ecaa6fad6f7c484a6d42da2c9caa0b81f1edeb06a9aef6fb0a886ebadbe9f8a,True,2ecaa6fad6f7c484a6d42da2c9caa0b81f1edeb06a9aef6fb0a886ebadbe9f8a,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,2ecaa6fad6f7c484a6d42da2c9caa0b81f1edeb06a9aef6fb0a886ebadbe9f8a,True,WORKTREE,True,True,DOCUMENTARY_EVIDENCE,Scope evidence only; not quantitative validation.
fc_facility_registry,Meta_Forest_City_North_Carolina_v1/config/forest_city_facility_registry.yaml,Forest City v1,evidence crosswalk,True,c6117fc4d4f399ac2d71ef390fb63d9040ad6927850b0a7b33a43195e221dc6d,True,c6117fc4d4f399ac2d71ef390fb63d9040ad6927850b0a7b33a43195e221dc6d,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,c6117fc4d4f399ac2d71ef390fb63d9040ad6927850b0a7b33a43195e221dc6d,True,WORKTREE,True,True,DOCUMENTARY_EVIDENCE,Facility identity remains unresolved.
