site,native_mode,split_key,common_category_if_HUMIDIFICATION,common_category_if_COOLING,notes,common_category
PRN1,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,primary_control_objective,HUMIDIFICATION,EVAP_COOLING,Split on primary_control_objective; not substring search.,
PRN1,A_MIXED_AIR_HUMIDIFICATION,,,,,HUMIDIFICATION
PRN1,C_DRY_FREE_OUTSIDE_AIR,,,,,OA_FREE
PRN1,D_EVAPORATIVE_COOLING,,,,,EVAP_COOLING
PRN1,E_EVAPORATIVE_COOLING_HIGH_WB,,,,,EVAP_COOLING
PRN1,F_HIGH_HUMIDITY_MIX_SPRAY_BYPASS,,,,,HIGH_RH_MIXING
PRN1,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,,,,,HIGH_RH_MIXING
PRN1,H_UNACCEPTABLE_OA_MIN_OA_RECIRC,,,,,UNRESOLVED
FC,OA_FREE_COOLING,,,,,OA_FREE
FC,HIGH_RH_RETURN_AIR_MIXING,,,,,HIGH_RH_MIXING
FC,EVAPORATIVE_COOLING,,,,,EVAP_COOLING
FC,DX_REQUIRED,,,,,MECHANICAL_COOLING
FC,DX_REQUIRED_DEHUMIDIFY,,,,,MECHANICAL_COOLING
FC,WEATHER_MISSING,,,,,UNRESOLVED
