year,electricity_mwh_reported,avg_facility_power_mw_derived,water_withdrawal_m3_reported,water_intensity_L_per_kWh_facility_derived,location_based_scope2_tco2e_reported,location_based_scope2_kg_per_mwh_derived,operational_scope1_2_tco2e_reported,electricity_yoy_pct,water_yoy_pct
2011,71000,8.105023,,,,,48000,,
2012,153000,17.418033,,,57000.0,372.54902,104000,115.49295774647885,
2013,224000,25.570776,,,84000.0,375.0,162000,46.405228758169926,
2014,262000,29.908676,39746.823732,0.151705,100000.0,381.679389,187000,16.964285714285722,
2015,284000,32.420091,70000.0,0.246479,100000.0,352.112676,207000,8.3969465648855,76.11470157209897
2016,327000,37.226776,70000.0,0.214067,99000.0,302.752294,239000,15.140845070422525,0.0
2017,426000,48.630137,172000.0,0.403756,127000.0,298.122066,293000,30.27522935779816,145.71428571428572
2018,488000,55.707763,160000.0,0.327869,145000.0,297.131148,137000,14.553990610328649,-6.976744186046513
2019,573000,65.410959,208000.0,0.363002,167000.0,291.448517,1000,17.418032786885252,30.000000000000004
2020,686000,78.096539,445000.0,0.648688,200000.0,291.54519,3000,19.720767888307144,113.94230769230771
2021,898409,102.558105,354000.0,0.39403,245996.0,273.812929,3862,30.963411078717208,-20.449438202247194
2022,982177,112.120662,240000.0,0.244355,284462.0,289.623968,4501,9.324038383408894,-32.20338983050848
2023,1375321,157.000114,180000.0,0.130879,378007.0,274.850017,1231,40.02781576029575,-25.0
2024,1728291,196.75444,328000.0,0.189783,498192.0,288.257012,1167,25.664553947769274,82.22222222222221
