year,electricity_mwh_reported,electricity_mwh_model_closure,it_energy_mwh_fitted,annual_pue_model,water_raw_m3,water_withdrawal_m3_reported,weather_hour_coverage,water_scale_fitted_train_only,water_pred_m3,water_pct_error,split
2011,71000.0,71000.0,66976.11335479995,1.0600794289731903,1927.422032158372,,1.0,6.580037094770391,12682.508468879816,,train
2012,153000.0,153000.00000000003,144327.06710493902,1.0600922132558475,4967.213551886904,,1.0,6.580037094770391,32684.449429062013,,train
2013,224000.0,224000.00000000006,211297.73684295887,1.0601154718778734,9046.987305031766,,1.0,6.580037094770391,59529.512063025824,,train
2014,262000.0,262000.0000000001,247145.91655409965,1.0601024837998847,9387.734836098942,39746.823732,1.0,6.580037094770391,61771.64345739927,55.412779330256726,train
2015,284000.0,284000.0,267893.6615656901,1.0601221333128124,12175.346039347663,70000.0,1.0,6.580037094770391,80114.22858057338,14.448897972247693,train
2016,327000.0,327000.0,308463.15029626817,1.0600942112078147,11436.021237663706,70000.0,1.0,6.580037094770391,75249.44396040917,7.4992056577273924,train
2017,426000.0,426000.0000000001,401830.04327588534,1.0601497004232716,24197.631527710233,172000.0,1.0,6.580037094770391,159221.31305791886,-7.429469152372757,train
2018,488000.0,488000.0000000001,460319.510566454,1.0601332092126259,23209.568019222672,160000.0,1.0,6.580037094770391,152719.81852008172,-4.550113424948922,train
2019,573000.0,573000.0000000002,540513.6236259355,1.0601027891880612,18972.085837252565,208000.0,1.0,6.580037094770391,124837.02857428984,-39.98219780082219,train
2020,686000.0,686000.0,647085.3925490193,1.0601382876187129,33743.73021449619,445000.0,1.0,6.580037094770391,222034.99652730933,-50.104495162402394,train
2021,898409.0,898408.9999999999,847407.3519051638,1.0601855152426667,62387.35570096834,354000.0,1.0,6.580037094770391,410511.1147570067,15.963591739267429,train
2022,982177.0,982177.0000000001,926428.6027927528,1.0601756001910905,62168.152891029575,240000.0,1.0,6.580037094770391,409068.7521363317,70.4453133901382,train
2023,1375321.0,1375321.0000000005,1297291.6212330977,1.0601479092979376,68993.03307237162,180000.0,1.0,6.580037094770391,453976.7168969256,152.20928716495865,holdout
2024,1728291.0,1728291.0000000002,1630206.613208347,1.0601668438815968,104799.55994342858,328000.0,1.0,6.580037094770391,689584.9919433732,110.23932681200404,holdout
