source_id,normalized_filename,source_agency,source_title,source_date,date_precision,source_kind,source_url,source_collection_url,sha256,tier,raw_relative_path,is_excerpt,parent_source_url,parent_source_sha256,parent_page_range,pages,domain,notes
CITY_RES1117_2009,2009-11-24_City_Res1117_Project_Vitesse_to_Vitesse_LLC.pdf,City of Prineville,Resolution 1117 - Long-Term Rural Enterprise Zone Exemption,2009-11-24,day,resolution,,https://www.cityofprineville.com/DocumentCenter/Index/261,d3f2bbc4b833ad69213d773323466d7c395220a28208e6f6414e4851361bfcd9,supporting,data/raw/documentary_evidence/supporting/2009-11-24_City_Res1117_Project_Vitesse_to_Vitesse_LLC.pdf,False,,,,1,identity,"Direct municipal evidence that Project Vitesse became Vitesse, LLC."
CITY_RES1122_2009,2009-12-17_City_Res1122_Vitesse_Infrastructure_Agreement_Ratification.pdf,City of Prineville,"Resolution 1122 - Ratification of Dec. 16, 2009 Infrastructure Agreement",2009-12-17,day,resolution,https://www.cityofprineville.com/sites/default/files/fileattachments/ordinance/4009/resolution_no_1122_-_ratifying_infrastructure_with_crook_county_vitesse.pdf,https://www.cityofprineville.com/DocumentCenter/Index/261,dc47da1a95af51f671b01249b87b9edb5606291f483301ed87c38214551e1784,supporting,data/raw/documentary_evidence/supporting/2009-12-17_City_Res1122_Vitesse_Infrastructure_Agreement_Ratification.pdf,False,,,,1,identity;infrastructure,"Ratifies an executed Dec. 16, 2009 City/Crook County/Vitesse infrastructure agreement; agreement itself is not in this bundle."
CITY_ORD1170_2010,2010-04-27_City_Ord1170_Vitesse_Ave_to_Connect_Way.pdf,City of Prineville,Ordinance 1170 - Rename SW Vitesse Avenue to SW Connect Way,2010-04-27,day,ordinance,,https://www.cityofprineville.com/DocumentCenter/Index/261,5d0b6207940ce8baae6c08d8285d1be054954cf9a36db11f9f723dc479653f46,supporting,data/raw/documentary_evidence/supporting/2010-04-27_City_Ord1170_Vitesse_Ave_to_Connect_Way.pdf,False,,,,2,identity;geography,Historical address/name crosswalk.
CITY_ORD1176_2010,2010-09-14_City_Ord1176_Connect_Way_Vacation_Utility_Easement.pdf,City of Prineville,Ordinance 1176 - Vacating a Portion of NW Connect Way,2010-09-14,day,ordinance,,https://www.cityofprineville.com/DocumentCenter/Index/261,f8f0a9943bb352c59a93649e0ae849888d218f2dc8b7f4f09c24f0846478447d,supporting,data/raw/documentary_evidence/supporting/2010-09-14_City_Ord1176_Connect_Way_Vacation_Utility_Easement.pdf,False,,,,4,identity;geography;water_infrastructure,"Official site/easement map; utility/access easement is context, not a water-volume observation."
CITY_RES1271_2015,2015-08-26_City_Res1271_Vitesse_Approx_200k_sqft_Data_Center_LTEZ.pdf,City of Prineville,"Resolution 1271 - LTEZ agreement for approximately 200,000 sq ft Vitesse data center",2015-08-26,day,resolution,,https://www.cityofprineville.com/DocumentCenter/Index/261,5d6642073b582fe563bb6f005d1696363592303a25d0c399c9c0bde955a9543e,supporting,data/raw/documentary_evidence/supporting/2015-08-26_City_Res1271_Vitesse_Approx_200k_sqft_Data_Center_LTEZ.pdf,False,,,,1,campus_chronology,High-confidence stated project area; exact PRN/CCO building mapping remains unresolved.
CITY_ORD1234_2017,2017-11-28_City_Ord1234_Vitesse_Development_Water_Sewer_Agreement_Approval.pdf,City of Prineville,"Ordinance 1234 - Approving Vitesse Development, Water and Sewer Service Agreement",2017-11-28,day,ordinance,,https://www.cityofprineville.com/DocumentCenter/Index/261,87be3fea449912c8857545e837c5291c8d6725ee861606fc4398782d1f983f28,core,data/raw/documentary_evidence/core/2017-11-28_City_Ord1234_Vitesse_Development_Water_Sewer_Agreement_Approval.pdf,False,,,,1,water_infrastructure;legal,"Approves the agreement; executed Dec. 5, 2017 agreement and exhibits remain missing."
CITY_ORD1242_2018,2018-08-07_City_Ord1242_First_Amendment_Water_Sewer_Agreement.pdf,City of Prineville,Ordinance 1242 - Approving/Ratifying First Amendment to Development Agreement,2018-08-07,day,ordinance,https://www.meadowlakesgc.com/ordinances/ordinance-no-1242-approving-amendment-development-agreement,https://www.cityofprineville.com/1261/Ordinances,ebe0b9a926b6d7d72ec71ff151f0f03068113554a14315a171e98af38bafe544,core,data/raw/documentary_evidence/core/2018-08-07_City_Ord1242_First_Amendment_Water_Sewer_Agreement.pdf,False,,,,2,water_infrastructure;legal,Confirms original agreement date and 28-ft sewer depth; indicates the first amendment had already been executed.
CITY_ORD1243_2018,2018-08-07_City_Ord1243_Second_Amendment_Water_Sewer_Agreement.pdf,City of Prineville,Ordinance 1243 - Approving Second Amendment to Development Agreement,2018-08-07,day,ordinance,https://www.meadowlakesgc.com/ordinances/ordinance-no-1243-approving-second-amendment-development-agreement,https://www.cityofprineville.com/1261/Ordinances,5cb2f32978854a2ea4a1cc45113f92f514a85b568d2ff81d93d976ec75c57a93,core,data/raw/documentary_evidence/core/2018-08-07_City_Ord1243_Second_Amendment_Water_Sewer_Agreement.pdf,False,,,,2,water_infrastructure;legal,Strong lead on additional potable/wastewater capacity allocation and 21-to-30-inch wastewater line; executed second amendment/Exhibit C remain missing.
CITY_SPECIAL_COUNCIL_2018_08_07,2018-08-07_City_Special_Council_Meeting_Brief_Vitesse_Water_Sewer.pdf,City of Prineville,Special City Council Meeting Brief - Ordinances 1242/1243,2018-08-07,day,meeting_brief,https://www.meadowlakesgc.com/citycouncil/page/special-council-meeting-8-7-18,https://www.cityofprineville.com/DocumentCenter/Index/261,3f3df69d5aa34f409e1168f658610cfce364141bd956308d20fab9d986307a2d,core,data/raw/documentary_evidence/core/2018-08-07_City_Special_Council_Meeting_Brief_Vitesse_Water_Sewer.pdf,False,,,,3,water_infrastructure,Adds coordinated sewer/ASR/reuse/brine corridor context; not campus-meter data.
CITY_ORD1246_2018,2018-09-25_City_Ord1246_Facebook_Campus_Roads_PRN1_PRN6_Map.pdf,City of Prineville,Ordinance 1246 - Naming Private Roads within Facebook Campus,2018-09-25,day,ordinance_map,,https://www.cityofprineville.com/1261/Ordinances,20084111fa48ccae455f037609c789870d03453c36c956d6d555bceb8ba82057,core,data/raw/documentary_evidence/core/2018-09-25_City_Ord1246_Facebook_Campus_Roads_PRN1_PRN6_Map.pdf,False,,,,2,identity;campus_layout,Primary municipal map explicitly labeling PRN1 through PRN6.
