huc12,name,tohuc,areasqkm,states,is_site,is_touching_site,network_direction,network_depth,same_site_huc10,same_site_huc8,scope_local,scope_hydro_near
170703040802,Lower Prineville Reservoir,170703050102,130.53,OR,0,0,upstream,2,0,0,0,1
170703050101,Dry Creek,170703050102,95.95,OR,0,1,upstream,2,0,1,1,1
170703050102,Stearns Dam-Crooked River,170703051002,146.22,OR,0,1,upstream,1,0,1,1,1
170703050201,Headwaters Ochoco Creek,170703050205,65.25,OR,0,0,upstream,5,0,1,0,0
170703050202,Wolf Creek,170703050205,75.25,OR,0,0,upstream,5,0,1,0,0
170703050203,Upper Marks Creek,170703050204,83.31,OR,0,0,upstream,6,0,1,0,0
170703050204,Lower Marks Creek,170703050205,73.74,OR,0,0,upstream,5,0,1,0,0
170703050205,Duncan Creek-Ochoco Creek,170703050402,91.12,OR,0,0,upstream,4,0,1,0,0
170703050301,East Fork Mill Creek,170703050302,86.85,OR,0,0,upstream,4,0,1,0,0
170703050302,Mill Creek,170703050403,98.51,OR,0,0,upstream,3,0,1,0,0
170703050401,Lawson Creek,170703050402,66.91,OR,0,0,upstream,4,0,1,0,0
170703050402,Veazie Creek-Ochoco Creek,170703050403,67.53,OR,0,0,upstream,3,0,1,0,0
170703050403,Ochoco Reservoir-Ochoco Creek,170703050404,119.48,OR,0,0,upstream,2,0,1,0,1
170703050404,Town of Prineville-Ochoco Creek,170703051002,48.76,OR,0,1,upstream,1,0,1,1,1
170703050501,Upper McKay Creek,170703050503,82.84,OR,0,0,,,0,1,0,0
170703050502,Allen Creek,170703050503,73.87,OR,0,0,,,0,1,0,0
170703050503,Lower McKay Creek,170703051006,100.19,OR,0,1,,,0,1,1,0
170703050601,Dickerson Flat,CLOSED BASIN,124.57,OR,0,0,,,0,1,0,0
170703050602,Antelope Butte,170703050603,58.97,OR,0,0,,,0,1,0,0
170703050603,Whiskey Spring,CLOSED BASIN,97.83,OR,0,0,,,0,1,0,0
170703050604,Antelope Spring,CLOSED BASIN,184.85,OR,0,0,,,0,1,0,0
170703050605,The Potholes,170703050606,53.79,OR,0,0,,,0,1,0,0
170703050606,Pine Mountain Observatory,CLOSED BASIN,99.04,OR,0,0,,,0,1,0,0
170703050701,Pringle Flat Reservoir-Dry River,170703050702,164.76,OR,0,0,,,0,1,0,0
170703050702,Fehrenbacker Reservoir-Dry River,170703050703,68.23,OR,0,0,,,0,1,0,0
170703050703,Town of Brothers-Dry River,170703050704,159.74,OR,0,0,,,0,1,0,0
170703050704,Pine Ridge-Dry River,170703050706,72.74,OR,0,0,,,0,1,0,0
170703050705,Hirsch Reservoir,170703050706,42.98,OR,0,0,,,0,1,0,0
170703050706,Mahogany Butte-Dry River,170703050710,116.65,OR,0,0,,,0,1,0,0
170703050707,Pine Mountain,170703050710,51.34,OR,0,0,,,0,1,0,0
170703050708,Teepee Draw,170703050710,106.97,OR,0,0,,,0,1,0,0
170703050709,Horse Ridge,170703050710,109.49,OR,0,0,,,0,1,0,0
170703050710,Smith Canyon-Dry River,170703050711,119.52,OR,0,0,,,0,1,0,0
170703050711,Badlands-Dry River,170703050806,88.48,OR,0,0,,,0,1,0,0
170703050801,Williamson Creek,170703050806,119.5,OR,0,0,,,0,1,0,0
170703050802,170703050802,170703050806,40.74,OR,0,0,,,0,1,0,0
170703050803,Hunter Butte,170703050804,73.81,OR,0,0,,,0,1,0,0
170703050804,Stookey Flat,170703050805,67.32,OR,0,0,,,0,1,0,0
170703050805,Reynolds Pond,170703050806,179.71,OR,0,0,,,0,1,0,0
170703050806,Zell Pond-Dry River,170703050807,102.48,OR,0,0,,,0,1,0,0
170703050807,Shumway Lake-Dry River,170703050808,92.82,OR,0,0,,,0,1,0,0
170703050808,Powell Butte-Dry River,170703050809,125.71,OR,0,1,,,0,1,1,0
170703050809,Houston Lake-Dry River,170703051006,43.64,OR,0,1,,,0,1,1,0
170703050901,Mayfield Pond,170703050902,96.66,OR,0,0,,,0,1,0,0
170703050902,Town of O'Neil,170703051006,87.12,OR,0,0,,,0,1,0,0
170703051001,Juniper Canyon,170703051002,50.97,OR,0,1,upstream,1,1,1,1,1
170703051002,Town of Prineville-Crooked River,170703051006,69.22,OR,1,0,site,0,1,1,1,1
170703051003,Lytle Creek,170703051006,67.22,OR,0,0,,,1,1,0,0
170703051004,Lone Pine Creek,170703051006,63.17,OR,0,0,,,1,1,0,0
170703051005,North Unit Main Canal,170703051006,46.34,OR,0,0,,,1,1,0,0
170703051006,McAllister Slough-Crooked River,170703051101,110.77,OR,0,1,downstream,1,1,1,1,1
170703051101,Osborne Canyon-Crooked River,170703051102,171.54,OR,0,0,downstream,2,0,1,0,1
170703051102,Crooked River,170703011104,82.53,OR,0,0,downstream,3,0,1,0,0
