group,expected_permit_id,present,source_filename,parsed_permit_matches_expected,note
priority_1,217-18-001459-STR,1,217-18-001459-STR.pdf,1,
priority_1,217-18-001459-STR-01,1,217-18-001459-STR-01.pdf,1,
priority_1,217-18-001459-STR-02,1,217-18-001459-STR-02.pdf,1,
priority_1,217-18-001459-STR-03,1,217-18-001459-STR-03.pdf,1,
priority_1,217-18-001459-STR-04,1,217-18-001459-STR-04.pdf,1,
priority_1,217-18-001459-MECH-02,1,217-18-001459-MECH-02.pdf,1,
priority_1,217-18-001459-ELEC-03,1,217-18-001459-ELEC-03.pdf,1,
priority_1,217-19-000383-STR,1,217-19-000383-STR.pdf,1,
priority_1,217-19-000383-MECH-01,1,217-19-000383-MECH-01.pdf,1,
priority_1,217-19-000383-ELEC-01,1,217-19-000383-ELEC-01.pdf,1,
priority_1,217-19-000383-ELEC-02,1,217-19-000383-ELEC-02.pdf,1,
priority_1,217-19-000400-STR,1,217-19-000400-STR.pdf,1,
priority_1,217-19-000400-MECH-01,1,217-19-000400-MECH-01.pdf,1,
priority_1,217-19-000400-ELEC-01,1,217-19-000400-ELEC-01.pdf,1,
priority_1,217-19-000400-ELEC-02,1,217-19-000400-ELEC-02.pdf,1,
priority_1,217-20-001331-STR,1,217-20-001331-STR.pdf,1,
priority_1,217-20-005520-STR,1,217-20-005520-STR.pdf,1,
priority_1,217-20-005520-STR-01,1,217-20-005520-STR-01.pdf,1,
priority_1,217-20-005521-STR,1,217-20-005521-STR.pdf,1,
priority_1,217-20-005521-STR-01,1,217-20-005521-STR-01.pdf,1,
priority_2,217-18-002220-MECH,1,217-18-002220-MECH.pdf,1,
priority_2,217-19-000276-MECH,1,217-19-000276-MECH.pdf,1,
priority_2,217-18-002076-PLM,1,217-18-002076-PLM.pdf,1,
priority_2,217-18-002077-PLM,1,217-18-002077-PLM.pdf,1,
priority_2,217-18-002082-PLM,1,217-18-002082-PLM.pdf,1,
priority_2,217-19-003596-PLM,1,217-19-003596-PLM.pdf,1,
priority_2,217-19-000193-STR,1,217-19-000193-STR.pdf,1,
priority_2,217-19-000193-ELEC-01,1,217-19-000193-ELEC-01.pdf,1,
priority_2,217-19-000194-STR,1,CrystalViewer.pdf,1,CrystalViewer.pdf contains this permit despite generic filename.
priority_3,217-C11-00882,1,217-C11-00882.pdf,1,
priority_3,217-15-001256-MECH,1,217-15-001256-MECH.pdf,1,
priority_3,217-16-000248-MECH,1,217-16-000248-MECH.pdf,1,
priority_3,217-18-000930-ELEC,1,217-18-000930-ELEC.pdf,1,
priority_3,217-18-001249-ELEC,1,217-18-001249-ELEC.pdf,1,
priority_3,217-18-001606-ELEC,1,217-18-001606-ELEC.pdf,1,
priority_3,217-18-001611-ELEC,1,217-18-001611-ELEC.pdf,1,
priority_3,217-18-001763-ELEC,1,217-18-001763-ELEC.pdf,1,
priority_3,217-18-001899-ELEC,1,217-18-001899-ELEC.pdf,1,
priority_3,217-22-002776-ELEC,1,217-22-002776-ELEC.pdf,1,
priority_3,217-22-004089-ELEC,1,217-22-004089-ELEC.pdf,1,
priority_3,217-24-001691-ELEC,1,217-24-001691-ELEC.pdf,1,
early_anchor,217-C+10-00063 CORE SHELL,1,217-C+10-00063 CORE SHELL.pdf,1,
early_anchor,217-T+10-00225A/B,1,217-T+10-00225A-B.pdf,1,
early_anchor,217-C+10-00705/SEC#C&D,1,217-C+10-00705-SEC#C&D.pdf,1,
early_anchor,217-QS10-00872 PUMP HOUSE,1,217-QS10-00872 PUMP HOUSE.pdf,1,
early_anchor,217-MH10-00071#1,1,217-MH10-00071.pdf,1,
early_anchor,217-MH10-00072#2,1,217-MH10-00072.pdf,1,
early_anchor,217-MH10-00073#5,1,217-MH10-00073#5.pdf,1,
early_anchor,217-MH10-00074#4,1,217-MH10-00074.pdf,1,
