candidate_break_year,metric,relative_sse_reduction
2021,electricity_mwh_reported,0.9207948327457411
2022,electricity_mwh_reported,0.909894691855331
2020,electricity_mwh_reported,0.9072488274824476
2019,electricity_mwh_reported,0.8619316443759052
2018,electricity_mwh_reported,0.789802495745028
2020,water_withdrawal_m3_reported,0.6471156714491406
2022,water_withdrawal_m3_reported,0.5885333101119427
2021,water_withdrawal_m3_reported,0.4594467221510635
2019,water_withdrawal_m3_reported,0.34760880602044364
2018,water_withdrawal_m3_reported,0.17166022971364392
2020,water_intensity_L_per_kWh_facility_derived,0.7879011943494741
2021,water_intensity_L_per_kWh_facility_derived,0.7693126924264386
2022,water_intensity_L_per_kWh_facility_derived,0.6896778693298198
2019,water_intensity_L_per_kWh_facility_derived,0.5852438837407565
2018,water_intensity_L_per_kWh_facility_derived,0.4458044852583606
