candidate_break_year,metric,relative_sse_reduction
2021,electricity_mwh_reported,0.9207948327457347
2022,electricity_mwh_reported,0.9098946918553632
2020,electricity_mwh_reported,0.9072488274824426
2019,electricity_mwh_reported,0.8619316443758434
2018,electricity_mwh_reported,0.7898024957450605
2020,water_withdrawal_m3_reported,0.6471156714491322
2022,water_withdrawal_m3_reported,0.5885333101119022
2021,water_withdrawal_m3_reported,0.4594467221510309
2019,water_withdrawal_m3_reported,0.3476088060204532
2018,water_withdrawal_m3_reported,0.17166022971364414
2020,water_intensity_L_per_kWh_facility_derived,0.7879011943494715
2021,water_intensity_L_per_kWh_facility_derived,0.7693126924264482
2022,water_intensity_L_per_kWh_facility_derived,0.68967786932982
2019,water_intensity_L_per_kWh_facility_derived,0.5852438837407202
2018,water_intensity_L_per_kWh_facility_derived,0.44580448525833993
