candidate_break_year,metric,relative_sse_reduction
2019,electricity_mwh_reported,0.8867634859545273
2018,electricity_mwh_reported,0.8657359403130638
2020,electricity_mwh_reported,0.8629823661105711
2017,electricity_mwh_reported,0.7987232704305889
2016,electricity_mwh_reported,0.767377257859384
2020,water_withdrawal_m3_reported,0.9468451780658964
2019,water_withdrawal_m3_reported,0.20918745938787908
2017,water_withdrawal_m3_reported,0.06515040004464023
2018,water_withdrawal_m3_reported,0.026318337788601265
2020,water_intensity_L_per_kWh_facility_derived,0.870510046533893
2019,water_intensity_L_per_kWh_facility_derived,0.35980523992096014
2017,water_intensity_L_per_kWh_facility_derived,0.2588992939585052
2018,water_intensity_L_per_kWh_facility_derived,0.21827497413637276
