scope,model,n,mae,rmse,smape
pooled,climatology,132,9021.074141755775,14126.030970453741,0.8190194383211484
year_2014,climatology,12,411.74554876532005,860.39777023113,0.5121861906568318
year_2016,climatology,12,2177.532261765476,2634.551470129005,1.2304886602214438
year_2017,climatology,12,5916.708815935046,7251.5339117407075,1.3213274953975376
year_2018,climatology,12,7312.907690606979,11356.11971743364,0.9137834835406661
year_2019,climatology,12,10584.810069950423,12384.414646798514,1.0904406028020481
year_2020,climatology,12,21376.200786287118,25711.6276069887,1.1957003463058753
year_2021,climatology,12,22655.106393567563,26247.876117889737,1.1199851680945907
year_2022,climatology,12,8076.31815183139,9311.72901438284,0.5250236085118098
year_2023,climatology,12,1896.9658822613646,2705.711089040042,0.13758213581010295
year_2024,climatology,12,13892.955495878598,19280.96025648293,0.5784151920589481
year_2025,climatology,12,4930.564462464256,6047.131277531316,0.38428093813278014
pooled,seasonal_persistence,132,8035.119464954737,12144.820380734347,0.6236194167908948
year_2014,seasonal_persistence,12,411.74554876532005,860.39777023113,0.5121861906568318
year_2016,seasonal_persistence,12,2314.033579794552,2716.984148570302,1.3510178607658183
year_2017,seasonal_persistence,12,4500.414241605128,6053.949547257693,0.8316705863207621
year_2018,seasonal_persistence,12,5770.100658743343,8795.67301161857,0.5284189430309654
year_2019,seasonal_persistence,12,7789.659485036968,9712.331438161484,0.6795954350253531
year_2020,seasonal_persistence,12,13479.534650038071,16323.097064219673,0.6219121985627154
year_2021,seasonal_persistence,12,8712.488620407266,9830.885066303505,0.3757614220155816
year_2022,seasonal_persistence,12,12073.936808207121,15795.115494655676,0.44517368400398755
year_2023,seasonal_persistence,12,6207.565556973087,7324.705776815713,0.3902478662360287
year_2024,seasonal_persistence,12,13471.276143329313,19074.282528882875,0.5691853864225404
year_2025,seasonal_persistence,12,13655.55882160193,19389.234222399406,0.5546440116592583
pooled,annual_electricity_scale,120,8692.516427956456,12973.238902287489,0.6477320839582436
year_2014,annual_electricity_scale,12,475.0474240403485,1033.1340439874061,0.5063825873709048
year_2016,annual_electricity_scale,12,2040.1534349287724,2509.6424321605655,1.1158996695409924
year_2017,annual_electricity_scale,12,5013.028298683044,6339.306154376552,0.9807454149888174
year_2018,annual_electricity_scale,12,5740.043129945135,9740.146466678032,0.559333328464074
year_2019,annual_electricity_scale,12,6693.253718695892,8439.983743599276,0.5691163872860879
year_2020,annual_electricity_scale,12,15038.020770404992,19021.800340626163,0.6659692911378227
year_2021,annual_electricity_scale,12,9363.914748044155,12485.364999087853,0.3736951391962438
year_2022,annual_electricity_scale,12,9676.184126221518,12061.25971521049,0.38027673575206045
year_2023,annual_electricity_scale,12,22377.31948742551,25379.359534098356,0.8997387213298715
year_2024,annual_electricity_scale,12,10508.199141175202,12731.611057786393,0.4261635645155593
year_2025,annual_electricity_scale,0,,,
pooled,graybox_evap_scale,120,11728.128345685942,15879.351805203825,1.5566339821849557
year_2014,graybox_evap_scale,12,546.1724126879117,920.7608379083648,1.4239636466525223
year_2016,graybox_evap_scale,12,2464.576344585103,2757.809840798367,1.7660497485229885
year_2017,graybox_evap_scale,12,5997.027510521213,6668.808464442537,1.7155786547334453
year_2018,graybox_evap_scale,12,8436.531618714413,11213.52084058615,1.6244761798581424
year_2019,graybox_evap_scale,12,12710.551381961028,13842.663682527655,1.7578716557515655
year_2020,graybox_evap_scale,12,21588.760323328144,23990.79565230992,1.6410153425291396
year_2021,graybox_evap_scale,12,17078.070131594457,18143.305922903095,1.4026203896476825
year_2022,graybox_evap_scale,12,18316.30691907283,22614.84863212632,1.4576587346250747
year_2023,graybox_evap_scale,12,12388.943550551323,16998.86878850864,1.3361236752237138
year_2024,graybox_evap_scale,12,17754.343263842984,21121.521808443576,1.4409817943052843
year_2025,graybox_evap_scale,0,,,
pooled,scale_plus_evap,120,8518.442305606686,12686.193392694217,0.6118921534113065
year_2014,scale_plus_evap,12,346.03173680678105,853.7294908654112,0.2798589760232458
year_2016,scale_plus_evap,12,2096.713468811029,2463.0780262924754,1.1355066090035615
year_2017,scale_plus_evap,12,4824.350679189354,6127.9914841978,0.8915465931725794
year_2018,scale_plus_evap,12,5783.065271609869,9769.927532901698,0.5364921566649776
year_2019,scale_plus_evap,12,7873.360673045082,10071.026332624431,0.6126187937685947
year_2020,scale_plus_evap,12,15524.767501127944,19462.840595498175,0.6694821379709062
year_2021,scale_plus_evap,12,5356.587491495972,6163.667140911865,0.21048115707042483
year_2022,scale_plus_evap,12,10736.789777763688,16211.21661529544,0.3939304176837734
year_2023,scale_plus_evap,12,20625.202564235384,22242.664385031585,0.9041922012602693
year_2024,scale_plus_evap,12,12017.553891981763,13922.552416038081,0.4848124914947331
year_2025,scale_plus_evap,0,,,
