check,status,detail
meta_reporting_boundary_unresolved,PASS,unresolved_prn_vs_prn_plus_cco
source_ids_unique,PASS,n=21 unique=21
evidence_ids_unique,PASS,n=48 unique=48
event_ids_unique,PASS,n=14 unique=14
source_tiers_allowed,PASS,"tiers=['core', 'supporting']"
evidence_doc_ids_resolve,PASS,unmatched=[]
alias_doc_ids_resolve,PASS,unmatched=[]
event_doc_ids_resolve,PASS,unmatched=[]
evidence_confidence_allowed,PASS,unexpected=[]
evidence_provenance_allowed,PASS,unexpected=[]
numeric_value_relation_unit_consistent,PASS,ok
raw_sha256:CITY_RES1117_2009,PASS,data/raw/documentary_evidence/supporting/2009-11-24_City_Res1117_Project_Vitesse_to_Vitesse_LLC.pdf sha256=d3f2bbc4b833ad69213d773323466d7c395220a28208e6f6414e4851361bfcd9
raw_sha256:CITY_RES1122_2009,PASS,data/raw/documentary_evidence/supporting/2009-12-17_City_Res1122_Vitesse_Infrastructure_Agreement_Ratification.pdf sha256=dc47da1a95af51f671b01249b87b9edb5606291f483301ed87c38214551e1784
raw_sha256:CITY_ORD1170_2010,PASS,data/raw/documentary_evidence/supporting/2010-04-27_City_Ord1170_Vitesse_Ave_to_Connect_Way.pdf sha256=5d0b6207940ce8baae6c08d8285d1be054954cf9a36db11f9f723dc479653f46
raw_sha256:CITY_ORD1176_2010,PASS,data/raw/documentary_evidence/supporting/2010-09-14_City_Ord1176_Connect_Way_Vacation_Utility_Easement.pdf sha256=f8f0a9943bb352c59a93649e0ae849888d218f2dc8b7f4f09c24f0846478447d
raw_sha256:CITY_RES1271_2015,PASS,data/raw/documentary_evidence/supporting/2015-08-26_City_Res1271_Vitesse_Approx_200k_sqft_Data_Center_LTEZ.pdf sha256=5d6642073b582fe563bb6f005d1696363592303a25d0c399c9c0bde955a9543e
raw_sha256:CITY_ORD1234_2017,PASS,data/raw/documentary_evidence/core/2017-11-28_City_Ord1234_Vitesse_Development_Water_Sewer_Agreement_Approval.pdf sha256=87be3fea449912c8857545e837c5291c8d6725ee861606fc4398782d1f983f28
raw_sha256:CITY_ORD1242_2018,PASS,data/raw/documentary_evidence/core/2018-08-07_City_Ord1242_First_Amendment_Water_Sewer_Agreement.pdf sha256=ebe0b9a926b6d7d72ec71ff151f0f03068113554a14315a171e98af38bafe544
raw_sha256:CITY_ORD1243_2018,PASS,data/raw/documentary_evidence/core/2018-08-07_City_Ord1243_Second_Amendment_Water_Sewer_Agreement.pdf sha256=5cb2f32978854a2ea4a1cc45113f92f514a85b568d2ff81d93d976ec75c57a93
raw_sha256:CITY_SPECIAL_COUNCIL_2018_08_07,PASS,data/raw/documentary_evidence/core/2018-08-07_City_Special_Council_Meeting_Brief_Vitesse_Water_Sewer.pdf sha256=3f3df69d5aa34f409e1168f658610cfce364141bd956308d20fab9d986307a2d
raw_sha256:CITY_ORD1246_2018,PASS,data/raw/documentary_evidence/core/2018-09-25_City_Ord1246_Facebook_Campus_Roads_PRN1_PRN6_Map.pdf sha256=20084111fa48ccae455f037609c789870d03453c36c956d6d555bceb8ba82057
