year,meta_electricity_mwh,electricity_input_source,egrid_data_year,egrid_subregion,egrid_co2_lb_per_mwh,egrid_co2e_lb_per_mwh,egrid_estimated_co2_tonnes,egrid_estimated_co2e_tonnes,egrid_estimated_nox_tonnes,egrid_estimated_so2_tonnes,meta_location_based_scope2_tonnes,difference_tonnes,ratio_or_percent_difference,difference_co2_vs_meta_scope2_tonnes,comparison_note,emissions_provenance_class,egrid_location_based_scope2_proxy_tco2e,egrid_location_based_scope2_proxy_provenance,is_meta_reported_scope2
2011,71000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2010,NWPP,842.5793,846.9688,27135.31545359581,27276.67955687197,32.771867295552,32.35964254969599,,,,,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used. 2011 eGRID CO2e tonnes are an eGRID_location_based_accounting_proxy because Meta location-based Scope 2 is not separately disclosed; this is not Meta-reported Scope 2.,derived,27276.67955687197,eGRID_location_based_accounting_proxy,False
2012,153000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2012,NWPP,665.754348976824,669.234152716861,46203.10722750131,46444.60432861478,50.24495602182217,52.65184680499026,57000.0,-10555.395671385217,-18.518238019974063,-10796.892772498692,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,46444.60432861478,eGRID_location_based_accounting_proxy,True
2013,224000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2012,NWPP,665.754348976824,669.234152716861,67643.76482980583,67997.32921313537,73.56124280319062,77.08505676024717,84000.0,-16002.670786864634,-19.050798555791232,-16356.235170194166,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,67997.32921313537,eGRID_location_based_accounting_proxy,True
2014,262000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2014,NWPP,906.959,913.423,107784.09676334144,108552.2862862176,142.0152351233,74.39459178844,100000.0,8552.286286217612,8.552286286217612,7784.096763341455,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,108552.2862862176,eGRID_location_based_accounting_proxy,True
2015,284000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2014,NWPP,906.959,913.423,116834.6697740037,117667.36376063284,153.94017853059998,80.64146590808,100000.0,17667.36376063284,17.66736376063284,16834.669774003705,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,117667.36376063284,eGRID_location_based_accounting_proxy,True
2016,327000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2016,NWPP,651.199,655.407,96588.899564783,97213.04992338092,90.77471945388,65.11454549061,99000.0,-1786.9500766190758,-1.805000077393006,-2411.1004352169984,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,97213.04992338092,eGRID_location_based_accounting_proxy,True
2017,426000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2016,NWPP,651.199,655.407,125831.41044219438,126644.52375339532,118.25697396744,84.82812348318,127000.0,-355.4762466046668,-0.2799025563816274,-1168.5895578056225,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,126644.52375339532,eGRID_location_based_accounting_proxy,True
2018,488000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2018,NWPP,639.037,643.363,141452.80598567272,142410.37939487127,128.3847844048,83.45010986311999,145000.0,-2589.62060512873,-1.7859452449163655,-3547.1940143272805,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,142410.37939487127,eGRID_location_based_accounting_proxy,True
2019,573000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2019,NWPP,715.241,719.873,185897.1639583004,187101.05979684272,166.3413939264,108.90163133619,167000.0,20101.05979684272,12.03656275260043,18897.1639583004,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,187101.05979684272,eGRID_location_based_accounting_proxy,True
2020,686000,data/canonical/meta_prineville_annual.csv::electricity_mwh_reported,2020,NWPP,599.967,603.786,186688.35106792796,187876.68778099449,156.82684037328,105.17355564716,200000.0,-12123.312219005516,-6.061656109502758,-13311.648932072072,eGRID tonnes = Meta campus MWh × eGRID subregion output rate / 2204.6226218487757 lb per metric tonne. difference_tonnes and ratio_or_percent_difference compare eGRID CO2e tonnes with Meta location-based Scope 2 (tCO2e). Market-based/REC accounting is not used. PACW demand is not used.,derived,187876.68778099449,eGRID_location_based_accounting_proxy,True
