record_type,key,n_observations,n_numeric_bls,n_eligible_for_state_model,n_excluded,n_unknown_ambiguous_retained,note
overall,all,812,800,796,16,369,"n_clearly_eligible_static=427; n_numeric_amsl=800; BLS and AMSL are paired representations of the same measurement, not independent observations. within each well, AMSL anomaly equals -BLS anomaly to numerical tolerance; BLS and AMSL are paired representations of the same measurement, not independent observations. head_anomaly_ft = -(BLS_ft - well_mean_BLS_ft); larger BLS = lower head. Processed groundwater_level_observations.csv was not modified. No model fitted. Heliport SRC-GC: the ~121 ft BLS jump on 2024-03-21 is an ETAPE observation with explicit FLOWING status and reverts within ~6 days; that observation is excluded. Other large Heliport changes include STATIC/UNKNOWN REPORTED values and are not removed for magnitude. Millican SRC-JA: two ETAPE PUMPING observations (~494–498 ft BLS) are excluded. Remaining ≥100 ft consecutive BLS changes often occur with unchanged REPORTED/UNKNOWN method and status and are retained as unknown/ambiguous rather than deleted. Airport #2 consecutive changes are smaller (~22 ft) and not method/status exclusions. UNRESOLVED: GWIS measurement_status UNKNOWN (and REPORTED method) has no local codebook beyond the field label; those rows are retained as unknown_ambiguous. Millican bimodal ~370 vs ~500 ft BLS series is not fully explained by documented method/status except for the two PUMPING rows."
well,GWIS:11935,145,143,143,2,81,
well,GWIS:15341,107,106,106,1,16,
well,GWIS:16240,30,30,30,0,0,
well,SRC-GA,23,15,15,8,2,
well,SRC-GB,137,136,136,1,88,
well,SRC-GC,190,190,188,2,96,
well,SRC-JA,161,161,159,2,84,
well,VITESSE:64846,19,19,19,0,2,
measurement_method,AIRLINE,13,12,12,1,2,
measurement_method,ETAPE,134,134,130,4,21,
measurement_method,ETAPE GRADUATED,3,3,3,0,0,
measurement_method,NOT MEASURED,9,0,0,9,0,
measurement_method,OBSERVED,2,0,0,2,0,
measurement_method,REPORTED,649,649,649,0,345,
measurement_method,TRANSDUCER,1,1,1,0,0,
measurement_method,UNKNOWN,1,1,1,0,1,
measurement_status,DRY,2,0,0,2,0,
measurement_status,FLOWING,1,1,0,1,0,
measurement_status,INJECTING,1,1,0,1,0,
measurement_status,PUMPING,2,2,0,2,0,
measurement_status,STATIC,430,427,427,3,0,
measurement_status,UNKNOWN,376,369,369,7,369,
eligibility_reason,eligible_static_measurement,427,427,427,0,0,
eligibility_reason,excluded_dry_no_water_surface,2,0,0,2,0,
eligibility_reason,excluded_flowing_condition,1,1,0,1,0,
eligibility_reason,excluded_injecting_condition,1,1,0,1,0,
eligibility_reason,excluded_missing_numeric_bls,1,0,0,1,0,
eligibility_reason,excluded_not_measured,9,0,0,9,0,
eligibility_reason,excluded_pumping_condition,2,2,0,2,0,
eligibility_reason,retained_unknown_or_ambiguous_status_or_method,369,369,369,0,369,
