item,value
first_timeObs_utc,2015-08-11 12:20:00+00:00
last_timeObs_utc,2025-01-02 00:35:00+00:00
first_hourly_utc,2015-08-11 12:00:00+00:00
last_hourly_utc,2025-01-02 00:00:00+00:00
first_local_date_with_24_usable_hours,2015-08-12
first_sustained_7day_full_coverage_local,2015-09-02
n_unique_raw_reports,239224
n_hourly_rows,80041
report_altimeter_nonmissing,239156
report_sealevelpress_nonmissing,182
report_altimeter_pct,99.97157475838544
report_sealevelpress_pct,0.07607932314483497
lat_median,44.27999877929688
lon_median,-120.9000015258789
elev_m_median,991.0
discovery_sample_note,"2011-2024 madis_test sample rates are discovery estimates, not these exact counts"
