year,n_plant_months,n_plants,n_withdrawal_nonmissing,n_withdrawal_zero,n_consumption_nonmissing,n_consumption_zero,n_generation_nonmissing,sources,volume_comparable
2011,84,7,0,0,0,0,0,eia923_schedule8_2011,False
2012,84,7,0,0,0,0,0,eia923_schedule8_2012,False
2013,84,7,81,0,81,10,0,eia923_schedule8_2013,True
2014,84,7,84,1,84,13,77,eia_cooling_detail_standardized,True
2015,84,7,84,8,82,11,60,eia_cooling_detail_standardized,True
2016,96,8,84,5,84,13,90,eia_cooling_detail_standardized,True
2017,96,8,96,1,94,14,96,eia_cooling_detail_standardized,True
2018,96,8,96,8,96,15,95,eia_cooling_detail_standardized,True
2019,96,8,96,1,96,13,96,eia_cooling_detail_standardized,True
2020,96,8,96,0,96,12,96,eia_cooling_detail_standardized,True
2021,96,8,84,2,84,2,84,eia_cooling_detail_standardized,True
2022,96,8,84,0,84,2,84,eia_cooling_detail_standardized,True
2023,96,8,81,1,81,1,84,eia_cooling_detail_standardized,True
2024,96,8,84,1,84,1,84,eia_cooling_detail_standardized,True
