camd_facility_id,camd_unit_id,facility_name,eia_plant_id,eia_generator_id,eia_boiler_id,match_type,match_text,years_active,n_campd_hours,n_eia_plant,n_eia_gen,n_crosswalk_rows,unexplained_plant_split
6106,1SG,Boardman,6106.0,1,1SG,accepted_exact,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2020,52290,1,1,1,False
7350,CTG1,Coyote Springs,7350.0,1|2,SG01,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,86571,1,2,2,False
7350,CTG2,Coyote Springs,7931.0,1|2,SG02,one_to_many,Manual Match,2011-2024,91205,1,2,2,False
54761,1,Hermiston,54761.0,GEN1|GEN2,HRSG1,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,93933,1,2,2,False
54761,2,Hermiston,54761.0,GEN3|GEN4,,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,92796,1,2,2,False
55103,CT1,Klamath Cogeneration Project,55103.0,CT1|ST1,HRSG1,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,87783,1,2,2,False
55103,CT2,Klamath Cogeneration Project,55103.0,CT2|ST1,HRSG2,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,87045,1,2,2,False
55328,CTG-1,Hermiston Power Plant,55328.0,CTG1|STG1,HRSG 1,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,91470,1,2,2,False
55328,CTG-2,Hermiston Power Plant,55328.0,CTG2|STG1,HRSG 2,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,91010,1,2,2,False
55544,GT1,Klamath Generation Peakers,55544.0,GT1,,accepted_exact,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,13515,1,1,1,False
55544,GT2,Klamath Generation Peakers,55544.0,GT2,,accepted_exact,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,13494,1,1,1,False
55544,GT3,Klamath Generation Peakers,55544.0,GT3,,accepted_exact,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,14088,1,1,1,False
55544,GT4,Klamath Generation Peakers,55544.0,GT4,,accepted_exact,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,13807,1,1,1,False
56227,PWEU1,Port Westward,56227.0,1|2,HRSG01,one_to_many,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,2011-2024,90837,1,2,2,False
58503,CTEU1,Carty Generating Station,58503.0,GEN1|GEN2,,one_to_many,Manual Match,2016-2024,61191,1,2,2,False
