issue_type,root_cause_class,root_cause_id,severity,year,month,plant_name,camd_facility_id,camd_unit_id,eia_plant_id,eia_generator_id,eia_boiler_id,mapping_cardinality,match_method,match_type,source_a,value_a,source_b,value_b,difference,ratio,reason_flagged,agent_interpretation,confidence,recommended_action,needs_manual_review
epa_eia_crosswalk_generator_cardinality,structural_relationship,combined_cycle_or_shared_generator_cardinality,low,,,Carty Generating Station|Coyote Springs|Hermiston|Hermiston Power Plant|Klamath Cogeneration Project|Port Westward,7350|7350|54761|54761|55103|55103|55328|55328|56227|58503,CTG1|CTG2|1|2|CT1|CT2|CTG-1|CTG-2|PWEU1|CTEU1,7350|7931|54761|55103|55328|56227|58503,,,many_to_many|one_to_many,exact|modified_fuzzy|official_manual,many_to_many|exact|one_to_many|exact|one_to_many|official_manual,n CAMD units with generator cardinality != one_to_one,10,defensible unique CAMD-unit to EIA-plant map,n_plants=7,,,Combined-cycle CT+ST (or shared ST) generator links in the published EPA/EIA crosswalk,Expected generator cardinality. CAMPD emissions stay on the CAMD unit and are not copied onto each EIA generator ID.,high,Keep the unique unit→plant map. Do not explode CEMS across generator IDs.,False
epa_eia_crosswalk_plant_id_differs,structural_relationship,plant_id_differ_7350_CTG2,medium,2011-2024,,Coyote Springs,7350,CTG2,7931.0,1|2,,one_to_many,official_manual,one_to_many|official_manual,CAMD Facility ID,7350,EIA_PLANT_ID in published crosswalk,7931.0,,,CAMD facility ID differs from EIA plant ID; MATCH_TYPE_GEN=Manual Match,Official EPA/EIA manual plant assignment is used as published. No new mapping was created. CEMS remain on the CAMD unit and join to the crosswalk EIA plant.,high,Preserve official provenance. Do not recode CAMD Facility ID.,False
epa_eia_crosswalk_modified_fuzzy_provenance,structural_relationship,epa_eia_modified_boiler_or_generator_ids,low,,,Coyote Springs|Hermiston|Hermiston Power Plant|Klamath Cogeneration Project|Port Westward,,CTG1|1|CT1|CT2|CTG-1|CTG-2|PWEU1,,,,many_to_many|one_to_many,modified_fuzzy,,n units with MATCH_TYPE_BOILER/GEN ID modification,7,published EPA/EIA crosswalk,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters",,,EPA/EIA boiler or generator match required ID modification in the published crosswalk,Official fuzzy/modified-ID provenance is retained. Native CAMD and EIA IDs are not recoded.,high,Keep native IDs. Do not treat CAMD unit ID as equal to EIA boiler ID.,False
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2011_5,high,2011,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),6716.92,EIA-923 plant-month net generation MWh,644.412,6072.508,10.423331657386887,residual extreme ratio after CAMPD energy fix: R=10.423331657386887 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=536.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2011_6,high,2011,6.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),3259.36,EIA-923 plant-month net generation MWh,406.845,2852.5150000000003,8.011306517224003,residual extreme ratio after CAMPD energy fix: R=8.011306517224003 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=245.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2012_5,high,2012,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),2385.86,EIA-923 plant-month net generation MWh,291.22,2094.6400000000003,8.192637868278275,residual extreme ratio after CAMPD energy fix: R=8.192637868278275 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=239.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2012_6,high,2012,6.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),1980.63,EIA-923 plant-month net generation MWh,230.848,1749.7820000000002,8.579801427779316,residual extreme ratio after CAMPD energy fix: R=8.579801427779316 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=221.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2013_5,high,2013,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),9300.5,EIA-923 plant-month net generation MWh,1307.982,7992.518,7.110571858022511,residual extreme ratio after CAMPD energy fix: R=7.110571858022511 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=785.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2014_5,high,2014,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),7945.47,EIA-923 plant-month net generation MWh,1008.715,6936.755,7.876823483342669,residual extreme ratio after CAMPD energy fix: R=7.876823483342669 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=587.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2016_5,high,2016,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),10433.21,EIA-923 plant-month net generation MWh,1512.689,8920.520999999999,6.897128226621598,residual extreme ratio after CAMPD energy fix: R=6.897128226621598 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=782.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2017_4,high,2017,4.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),5140.709999999999,EIA-923 plant-month net generation MWh,965.886,4174.823999999999,5.322274057186872,residual extreme ratio after CAMPD energy fix: R=5.322274057186872 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=427.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
