year,n_eia860_generators,n_eia860_plants,n_eia923_plants,n_eia923_plant_months,n_campd_facilities,n_campd_units,n_campd_hours,n_analysis_plant_months,n_plant_months_with_campd,n_plant_months_with_eia923,n_plant_months_with_cooling,n_crosswalk_unmatched_units
2011,337,140,123,1476,7,14,48087,1476,88,1471,84,0
2012,369,151,132,1584,7,14,58288,1584,92,1539,84,0
2013,387,159,138,1656,7,14,71120,1656,91,1646,84,0
2014,395,165,143,1716,7,14,63716,1716,94,1702,84,0
2015,408,176,146,1752,7,14,70135,1752,92,1712,84,0
2016,420,188,158,1896,8,15,65814,1896,93,1758,96,0
2017,424,204,178,2136,8,15,64541,2136,96,1963,96,0
2018,441,217,191,2292,8,15,71226,2292,102,2206,96,0
2019,476,252,201,2412,8,15,83717,2412,106,2311,96,0
2020,502,276,248,2976,8,15,72927,2976,102,2656,96,0
2021,515,287,253,3036,7,14,75639,3048,93,3003,96,0
2022,523,295,261,3132,7,14,67914,3144,93,3049,96,0
2023,522,296,263,3156,7,14,81870,3168,93,3153,96,0
2024,553,321,275,3300,7,14,86041,3312,95,3278,96,0
