year,month,campd_mwh,eia923_mwh,monthly_ratio,annual_campd_mwh,annual_eia923_mwh,annual_ratio,eia923_reporting_basis,evidence,conclusion,confidence
2011,5,6716.92,644.412,10.423332,29027.5,28442.0,1.020586,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2011,6,3259.36,406.845,8.011307,29027.5,28442.0,1.020586,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2012,5,2385.86,291.22,8.192638,15946.7,16612.0,0.959951,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2012,6,1980.63,230.848,8.579801,15946.7,16612.0,0.959951,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2013,5,9300.5,1307.982,7.110572,45589.14,47015.0,0.969672,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2014,5,7945.47,1008.715,7.876823,35241.71,34991.0,1.007165,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2016,5,10433.21,1512.689,6.897128,49398.75,48603.0,1.016372,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2017,4,5140.71,965.886,5.322274,68130.95,65510.06,1.040007,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2017,5,7232.79,816.418,8.859175,68130.95,65510.06,1.040007,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
2018,5,3617.77,665.399,5.436993,43991.75,42139.02,1.043967,"EIA-923 annual respondent (Plant Frame frequency=A). Monthly Netgen/fuel columns are EIA-published allocations of the calendar-year total, not directly reported monthly generation. Respondent reports GT/NG at plant/prime-mover grain, not GT1-GT4.","EIA-923 Page 6 Plant Frame Respondent/Reporting Frequency=A for every year 2011-2024 (Klamath Expansion Project, ORIS 55544). EIA Form 923 instructions: annual respondents other than wind/solar/nuclear/hydro/geothermal 'report data for the calendar year (do not break down by month)'. Page 1 has exactly one GT/NG row per year; monthly Netgen sums equal the published annual total (no omitted/duplicated plant-month rows). Page 4 Generator Data has 0 rows. CAMPD GT1-GT4 reconstructed from raw Gross Load (MW)*Operating Time matches processed plant-month to 1e-12; all four units operate in each flagged month (no CAMPD coverage hole). Annual CAMPD gross / EIA-923 net is 0.96-1.04 in flagged years (gross-vs-net, not a 5-10x gap). Within those years, 93-99% of monthly signed CAMPD-EIA differences compensate (compensation_ratio); monthly CAMPD vs EIA-923 correlation is negative or weak. EIA-923 monthly fuel MMBtu follows the same inverted shape as monthly netgen, not CAMPD heat input. Therefore published monthly EIA-923 values are annual-survey allocations/estimates, not respondent monthly observations.",explained_reporting_granularity,high
