series,year,coverage_status
Meta facility electricity,2011,reported
Meta facility electricity,2012,reported
Meta facility electricity,2013,reported
Meta facility electricity,2014,reported
Meta facility electricity,2015,reported
Meta facility electricity,2016,reported
Meta facility electricity,2017,reported
Meta facility electricity,2018,reported
Meta facility electricity,2019,reported
Meta facility electricity,2020,reported
Meta facility electricity,2021,reported
Meta facility electricity,2022,reported
Meta facility electricity,2023,reported
Meta facility electricity,2024,reported
Meta water withdrawal,2011,missing
Meta water withdrawal,2012,missing
Meta water withdrawal,2013,missing
Meta water withdrawal,2014,reported
Meta water withdrawal,2015,reported
Meta water withdrawal,2016,reported
Meta water withdrawal,2017,reported
Meta water withdrawal,2018,reported
Meta water withdrawal,2019,reported
Meta water withdrawal,2020,reported
Meta water withdrawal,2021,reported
Meta water withdrawal,2022,reported
Meta water withdrawal,2023,reported
Meta water withdrawal,2024,reported
Meta location Scope 2,2011,missing
Meta location Scope 2,2012,reported
Meta location Scope 2,2013,reported
Meta location Scope 2,2014,reported
Meta location Scope 2,2015,reported
Meta location Scope 2,2016,reported
Meta location Scope 2,2017,reported
Meta location Scope 2,2018,reported
Meta location Scope 2,2019,reported
Meta location Scope 2,2020,reported
Meta location Scope 2,2021,reported
Meta location Scope 2,2022,reported
Meta location Scope 2,2023,reported
Meta location Scope 2,2024,reported
Canonical weather (KS39/KRDM + KBDN fallback),2011,measured
Canonical weather (KS39/KRDM + KBDN fallback),2012,measured
Canonical weather (KS39/KRDM + KBDN fallback),2013,measured
Canonical weather (KS39/KRDM + KBDN fallback),2014,measured
Canonical weather (KS39/KRDM + KBDN fallback),2015,measured
Canonical weather (KS39/KRDM + KBDN fallback),2016,measured
Canonical weather (KS39/KRDM + KBDN fallback),2017,measured
Canonical weather (KS39/KRDM + KBDN fallback),2018,measured
Canonical weather (KS39/KRDM + KBDN fallback),2019,measured
Canonical weather (KS39/KRDM + KBDN fallback),2020,measured
Canonical weather (KS39/KRDM + KBDN fallback),2021,measured
Canonical weather (KS39/KRDM + KBDN fallback),2022,measured
Canonical weather (KS39/KRDM + KBDN fallback),2023,measured
Canonical weather (KS39/KRDM + KBDN fallback),2024,measured
Conditional IT/facility power,2011,fitted
Conditional IT/facility power,2012,fitted
Conditional IT/facility power,2013,fitted
Conditional IT/facility power,2014,fitted
Conditional IT/facility power,2015,fitted
Conditional IT/facility power,2016,fitted
Conditional IT/facility power,2017,fitted
