year,active_buildings,lambda_PRN1_min,lambda_PRN1_max,complete_simplex_identified,notes
2011,PRN1,1.0,1.0,True,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2012,PRN1,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2013,PRN1|PRN2,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2014,PRN1|PRN2|PRN3|PRN4,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2015,PRN1|PRN2|PRN3|PRN4,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2016,PRN1|PRN2|PRN3|PRN4,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2017,PRN1|PRN2|PRN3|PRN4,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2018,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2019,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2020,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6|CCO1|CCO2,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2021,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6|CCO1|CCO2,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2022,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6|CCO1|CCO2,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2023,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6|CCO1|CCO2,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
2024,PRN1|PRN2|PRN3|PRN4|PRN5|PRN6|CCO1|CCO2|CCO3|CCO5|CCO6,0.0,1.0,False,"After 2011, unidentified buildings can carry any nonnegative share summing to 1. Capacity proxies do not close the set."
