source_id,title,issuer,date,local_path,public_reference,sha256,source_tier,Prineville_specific,building_specific,phase_specific,temporal_scope,quantity_type,measurement_boundary,usable_for,limitations
OCP_CHASSIS_TRIPLET_V1,Server Chassis and Triplet Hardware v1.0,Open Compute Project / Facebook (Steve Furuta),2011-04,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/public_proxy_reconstruction_v1/sources/Open_Compute_Project_Server_Chassis_and_Triplet_v1.0.pdf,https://mvdirona.com/jrh/TalksAndPapers/Open_Compute_Project_Server_Chassis_and_Triplet_v1.0.pdf,1719e42ca94dd3469c0c820b8fef16ad6b713c2cb0c13ac0f405a57ca4fef659,TIER1_SPEC,yes_triplet_figures_based_on_Prineville_observations,PRN1_generation_hardware,OCP_v1_server_generation,2011_design_era,server_rack_airflow_CFM,SERVER_RACK_NOT_FACILITY_BMS,ENGINEERING_CONSISTENCY_BOUND,Rack/server CFM is not facility supply-air telemetry.
OCP_INTEL_MB_V1,Intel Motherboard Hardware v1.0,Open Compute Project / Facebook,2011-04,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/public_proxy_reconstruction_v1/sources/Open_Compute_Project_Intel_Motherboard_v1.0.pdf,https://mvdirona.com/jrh/TalksAndPapers/Open_Compute_Project_Intel_Motherboard_v1.0.pdf,a0c8bb9b096a1f0fd3c58d311f5849226957f06e8005a5d8d25d7cc62ee4bde8,TIER1_SPEC,same_generation_as_triplet,,OCP_v1,2011,CPU_TDP_NAMEPLATE,CPU_TDP_NOT_SERVER_OPERATING_POWER,unmatched_electrical_upper_bound_on_CPU_only,95 W TDP per CPU; dual socket; not server kW at the CFM operating point.
OCP_PSU_V1,450W Power Supply Hardware v1.0,Open Compute Project / Facebook,2011-04,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/public_proxy_reconstruction_v1/sources/Open_Compute_Project_Power_Supply_v1.0.pdf,https://mvdirona.com/jrh/TalksAndPapers/Open_Compute_Project_Power_Supply_v1.0.pdf,2d620327aeda3e3b839e4ae835ae917f2cf45996a9893f5a340a3f904cec293a,TIER1_SPEC,same_generation,,OCP_v1,2011,PSU_NAMEPLATE_W,NAMEPLATE_NOT_OPERATING_LOAD,illustrative_unmatched_CFM_per_nameplate_kW,"450 W is PSU rating, not measured IT load. Do not treat as as-operated kW."
OCP_AMD_MB_V1,AMD Motherboard Hardware v1.0,Open Compute Project / Facebook,2011-04,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/public_proxy_reconstruction_v1/sources/Open_Compute_Project_AMD_Motherboard_v1.0.pdf,https://mvdirona.com/jrh/TalksAndPapers/Open_Compute_Project_AMD_Motherboard_v1.0.pdf,752dfa4a06a39f33bf54b66f761c01ebcde278d55d42ae6fc34a44c8e1c6910b,TIER1_SPEC,same_generation_as_triplet_18_of_90_servers,,OCP_v1,2011,motherboard_spec,SPEC_NOT_OPERATING_LOAD,configuration_match_18_AMD_72_Intel,No matched idle-to-100% operating power table extracted.
OCP_DC_V1_2011,Open Compute Project Data Center v1.0,Open Compute Project / Facebook,2011-04,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/public_proxy_reconstruction_v1/sources/Open_Compute_Project_Data_Center_v1.0.pdf,https://mvdirona.com/jrh/TalksAndPapers/Open_Compute_Project_Data_Center_v1.0.pdf,394fe7752b9c2637196b25f654a2efa387caa43a20f428f43fea4e051d16b2c2,TIER1_SPEC,yes_first_implementation,PRN1,early_PRN1,2011_design,mechanical_electrical_spec,DESIGN_SPEC,air_path_controller_psychrometric_limits,"Design spec, not BMS telemetry."
OCP_WATER_PRN1,Water Efficiency at Facebook's Prineville Data Center,Open Compute Project / Facebook,2012-Q2,/home/nacevedo/RA/data-center-externalities-modeling/other_sources/cooling_technology_proxies/analysis/PRINEVILLE_WUE_BOUNDARY_CROSSWALK.csv,https://www.opencompute.org/blog/water-efficiency-at-facebooks-prineville-data-center,47e33da18dbfa6cbe893233af6e600556ed3b7211001f814e1d7abeba3383fcd,TIER1_OPERATOR,yes_PRN1,PRN1,mist_RO_early,Q2_2012,WUE_cooling_only_quarterly,OPERATOR_COOLING_WATER_NOT_AIR_STREAM_VAPOR,PUBLIC_OPERATOR_COOLING_WATER_BENCHMARK; RO_and_mist_splits,"Live blog may be Cloudflare-blocked; ratios reused from prior lossless extraction. 85% is spray evaporated fraction, not ε_T and not makeup efficiency."
META_ENG_2011_PARK,Designing a Very Efficient Data Center,Meta/Facebook engineering (Jay Park),2011-04-14,,https://engineering.fb.com/2011/04/14/core-infra/designing-a-very-efficient-data-center/,,TIER1_OPERATOR,yes,PRN1,commissioning,2011-04,architecture_PUE_design_WUE,DESIGN_LIMIT_PUE_1.07_WUE_0.31,early_architecture,Design WUE 0.31 is not a meter.
OPUC_UM1989_VITESSE_2018,UM 1989 Vitesse direct-access application,OPUC / Vitesse LLC,2018-12-14,data/raw/documentary_evidence/core/2018-12-14_OPUC_UM1989_Vitesse_Direct_Access_Application.pdf,https://edocs.puc.state.or.us/efdocs/HAA/um1989haa134934.pdf,d8cd0baae7cb6d76059a077877d824d80ed16972ee03b5748207bdb56fcd9d56,TIER1_REGULATORY,yes,PRN_and_CCO_campuses,2014_four_building_2018_CCO,2018_filing_describing_2010s,electric_service_capacity_contract_eligible,NOT_ACTUAL_IT_LOAD,OPUC_LOAD_EVIDENCE_classification,"180 MW is subject new large load, not measured IT."
CITY_ORD1246_2018,Ordinance 1246 Facebook campus roads PRN1–PRN6 map,City of Prineville,2018-09-25,data/raw/documentary_evidence/core/2018-09-25_City_Ord1246_Facebook_Campus_Roads_PRN1_PRN6_Map.pdf,https://www.cityofprineville.com/1261/Ordinances,20084111fa48ccae455f037609c789870d03453c36c956d6d555bceb8ba82057,TIER1_MUNICIPAL,yes,PRN1-PRN6,identity,2018,building_identity,map_labels,facility_inventory,No cooling or MW.
DEQ_AR_BUILDINGS_2024,ODEQ ACDP hours tables building labels,Oregon DEQ / Vitesse,2024,outputs/deq_campus_event_crosswalk.csv,ODEQ air permit 07-0037,5bafaa930524059e7559c1f01ce9cf95209cbd9c04b8a4fc393bfa331b277bb6,TIER1_PUBLIC_RECORD,yes,PRN1-6_CCO1_2_3_5_6,2024_operating_labels,2024,building_identity,backup_generator_hours_tables,complete_facility_list,Generator presence is not IT MW. No individual CO dates.
