year,hours_in_year,electricity_mwh_reported,avg_facility_power_mw_derived,water_withdrawal_m3_reported,water_intensity_L_per_kWh_facility_derived,location_based_scope2_tco2e_reported,location_based_scope2_kg_per_mwh_derived,operational_scope1_2_tco2e_reported,electricity_source_id,water_source_id,location_scope2_source_id,operational_scope1_2_source_id,electricity_status,water_status,location_scope2_status,notes,electricity_mwh_model_median,it_energy_mwh_p05,it_energy_mwh_median,it_energy_mwh_p95,annual_pue_p05,annual_pue_median,annual_pue_p95,facility_peak_mw_p05,facility_peak_mw_median,facility_peak_mw_p95,facility_peak_to_mean_median,raw_evap_m3_p05,raw_evap_m3_median,raw_evap_m3_p95,arrival_cv_median,terminal_backlog_p95,january_it_scale_jump_pct_median,electricity_closure_error_pct,water_retrospective_closure_m3,water_retrospective_provenance,location_scope2_retrospective_closure_tco2e,location_scope2_retrospective_provenance,water_train_only_pred_m3_p05,water_train_only_pred_m3_median,water_train_only_pred_m3_p95,water_train_only_error_pct,split
2011,8760,71000,8.105023,,,,,48000,META_2016_DISCLOSURE,,,META_2016_DISCLOSURE,reported,not publicly reported at site level,not separately disclosed,Site annual total. Do not treat as hourly IT workload.,71000.0,65911.54478727382,66794.03326602264,67824.96113637423,1.0468145886376974,1.0629692490604705,1.077201520337551,9.721095021025786,10.027169117711876,10.38599479028654,1.2371549502979722,2014.1413323292409,2043.3112607353014,2091.4705327682154,0.17366304203219626,31.211204376078232,,0.0,,no annual site observation; scenario only,,no annual location Scope 2 target,10796.748875445073,22253.227462458235,46190.14660059356,,train
2012,8784,153000,17.418033,,,57000.0,372.54902,104000,META_2016_DISCLOSURE,,META_2015_DISCLOSURE,META_2016_DISCLOSURE,reported,not publicly reported at site level,reported,Site annual total. Do not treat as hourly IT workload.,153000.0,142780.62331630598,143711.2252687731,145163.14679804383,1.0539865231015144,1.0646354706128751,1.071574016895082,20.877788123211786,21.519647430203193,22.265480201699297,1.2354809348163718,5151.9907709942645,5260.310340805705,5354.603898759571,0.17441364930675707,34.72093254437066,117.54483260056065,0.0,,no annual site observation; scenario only,57000.0,fitted hourly proxy can close to reported annual location Scope 2,21660.51591980785,46618.30451570406,98195.94604907878,,train
2013,8760,224000,25.570776,,,84000.0,375.0,162000,META_2016_DISCLOSURE,,META_2016_DISCLOSURE,META_2016_DISCLOSURE,reported,not publicly reported at site level,reported,Site annual total. Do not treat as hourly IT workload.,224000.0,208178.52867668032,210600.31867929932,213479.59484749034,1.0492820626167279,1.0636263495921496,1.0760015632874889,30.662841937412633,31.62216626865952,32.68500713908525,1.236652573720792,9337.867508740168,9518.025539005997,9661.976768817422,0.17418674764419448,28.934076486139798,46.13690826615455,0.0,,no annual site observation; scenario only,84000.0,fitted hourly proxy can close to reported annual location Scope 2,32376.736282638092,70218.78819914014,144868.14246698015,,train
2014,8760,262000,29.908676,39746.823732,0.151705,100000.0,381.679389,187000,META_2016_DISCLOSURE,META_2016_DISCLOSURE,META_2016_DISCLOSURE,META_2016_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,262000.0,241828.37943326798,245956.9470942447,249621.29067261878,1.0495924380800932,1.0652271901435093,1.0834130941856297,35.867075875810386,36.96091120800546,38.2618428396251,1.2357922984050678,9679.066120986876,9854.612888153957,10049.332210368611,0.17412127519563103,28.36092093534334,16.84119752571343,0.0,39746.823732,fitted annual closure; not prediction,100000.0,fitted hourly proxy can close to reported annual location Scope 2,38317.453475356946,82298.14961166738,181067.77157499344,107.05591512563932,train
2015,8760,284000,32.420091,70000.0,0.246479,100000.0,352.112676,207000,META_2016_DISCLOSURE,META_2019_DISCLOSURE,META_2016_DISCLOSURE,META_2016_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,284000.0,263007.81597823964,266657.3794718241,270957.75396021083,1.048137539725437,1.0650371796330877,1.079816355246604,38.89934514410623,40.094453923927304,41.5588887372754,1.236716254836631,12594.314350454202,12768.988014001596,12986.51326935762,0.17213663578916077,27.216509802498848,7.954464642053551,0.0,70000.0,fitted annual closure; not prediction,100000.0,fitted hourly proxy can close to reported annual location Scope 2,44043.471188367315,86515.69719733571,201969.15691381984,23.59385313905102,train
2016,8784,327000,37.226776,70000.0,0.214067,99000.0,302.752294,239000,META_2016_DISCLOSURE,META_2019_DISCLOSURE,META_2016_DISCLOSURE,META_2016_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,327000.0,302910.4684879269,307658.21878415684,310170.6083943366,1.0542597388026425,1.0628684492617788,1.0795269386377,44.75144880121518,46.03353259213176,47.60615716087365,1.2365704901813013,11804.334305041484,12035.168504825358,12192.288631940108,0.17531625988640276,24.127601314521616,14.181576911400715,0.0,70000.0,fitted annual closure; not prediction,99000.0,fitted hourly proxy can close to reported annual location Scope 2,48985.290478247334,103258.94104736448,218310.62642537747,47.512772924806406,train
2017,8760,426000,48.630137,172000.0,0.403756,127000.0,298.122066,293000,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,426000.0,394208.7078113016,399623.2219278398,402953.08297313825,1.057195088305492,1.0660041245659686,1.080645846569755,58.18730786179373,60.17575928574143,62.18529508720571,1.2374170219321479,24868.958916011878,25489.310237764257,25980.01052064555,0.17227531156157458,24.088321924274293,33.63155818650799,0.0,172000.0,fitted annual closure; not prediction,127000.0,fitted hourly proxy can close to reported annual location Scope 2,62187.31762469075,127745.15606778805,266394.3518843638,-25.729560425704623,train
2018,8760,488000,55.707763,160000.0,0.327869,145000.0,297.131148,137000,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,488000.0,453261.910245461,458203.9325603165,462620.37507814367,1.0548605911125477,1.0650285129580963,1.0766408923936852,66.67868960325679,68.91716073010889,71.23084328925005,1.2371195245814628,23902.07363607524,24312.77685634717,24886.75027033635,0.1739049638636617,37.42086762138044,13.2958003739273,0.0,160000.0,fitted annual closure; not prediction,145000.0,fitted hourly proxy can close to reported annual location Scope 2,73318.62217410884,153056.75294144807,320575.4147542444,-4.339529411594958,train
2019,8760,573000,65.410959,208000.0,0.363002,167000.0,291.448517,1000,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,META_2019_DISCLOSURE,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,573000.0,530956.3259716188,537151.2230899716,543464.3461949936,1.0543470343275272,1.0667387656354,1.0791852553940589,78.37068053187534,80.81498594617682,83.71889887832683,1.2354961202242736,19654.261018979523,20005.866351434255,20472.04893175799,0.1735095800243192,30.06564158939848,16.178105273785704,0.0,208000.0,fitted annual closure; not prediction,167000.0,fitted hourly proxy can close to reported annual location Scope 2,84808.32071945454,176022.16129859615,372264.1252596317,-15.373960914136463,train
2020,8784,686000,78.096539,445000.0,0.648688,200000.0,291.54519,3000,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,686000.0,634148.1494852921,644350.5916868569,652409.4917077512,1.0514874970675345,1.064637883576916,1.081767744087119,93.73138009789915,96.5371677947993,100.1240255815448,1.2361260669234944,34699.87874919991,35401.1185236872,36040.95159011077,0.1762323434038482,39.12018435917083,14.511652913846845,0.0,445000.0,fitted annual closure; not prediction,200000.0,fitted hourly proxy can close to reported annual location Scope 2,104882.4078717162,218253.4504306561,461483.6729720574,-50.95428080209975,train
2021,8760,898409,102.558105,354000.0,0.39403,245996.0,273.812929,3862,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,898409.0,830327.7984855191,841416.2437696026,851195.973078967,1.0554679399723477,1.0677343191294733,1.0819970868617355,123.3441466120637,126.79275717670299,131.53774566466527,1.2363016764835595,63734.205626148076,65015.22784961481,66023.66613166338,0.17518369885521196,37.86661200765797,30.375860074025816,0.0,354000.0,fitted annual closure; not prediction,245996.0,fitted hourly proxy can close to reported annual location Scope 2,131028.38853713716,274369.34744777717,578853.6824967533,-22.494534619271988,train
2022,8760,982177,112.120662,240000.0,0.244355,284462.0,289.623968,4501,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,982177.0,910821.4274062045,922536.0986841612,935535.9585334111,1.0498591711721847,1.0646491814506922,1.0783442781865415,134.65819254569135,138.67362359071916,143.13024507068897,1.2368248723546773,63950.061141515034,65416.01096981981,66616.40105883071,0.1739539942622958,29.75042783033287,9.838486596401566,0.0,240000.0,fitted annual closure; not prediction,284462.0,fitted hourly proxy can close to reported annual location Scope 2,142650.35688603524,305194.281321864,627372.8450695245,27.16428388411,train
2023,8760,1375321,157.000114,180000.0,0.130879,378007.0,274.850017,1231,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,1375321.0,1278173.3459916138,1293563.715547185,1306520.54812029,1.0526596495211398,1.0632031720535662,1.0760055723771027,188.12592740370198,193.67273354806906,200.90761261657983,1.2335833931722742,71194.40648277223,72710.33483961204,74551.21719634678,0.17351760688199525,27.640069738421786,41.6969496413783,0.0,180000.0,fitted annual closure; not prediction,378007.0,fitted hourly proxy can close to reported annual location Scope 2,193645.60271905098,425342.3020767167,933519.9473053009,136.30127893150927,holdout
2024,8784,1728291,196.75444,328000.0,0.189783,498192.0,288.257012,1167,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,META_2025_INDEX,reported,reported,reported,Site annual total. Do not treat as hourly IT workload.,1728291.0,1598745.5891686028,1619500.2824451888,1645684.7122056258,1.0501962591847758,1.067175665275282,1.0810296668727861,236.175748738223,243.44015521614688,251.83945153892648,1.2372790944456888,107764.3928693942,110197.39392189261,113117.45335359356,0.17482503624413664,27.498967352728055,30.113187935826694,0.0,328000.0,fitted annual closure; not prediction,498192.0,fitted hourly proxy can close to reported annual location Scope 2,253480.4779895781,537648.1140129915,1113442.5066408312,63.91710793079011,holdout
