year,month,p05_m3,median_m3,p95_m3
2024,1,9141.569245895429,13405.854339712601,16069.276132909828
2024,2,8594.090931522773,12604.516640051424,15093.332307265187
2024,3,9145.43387352819,13384.707447193166,16155.13718786614
2024,4,8914.180514880596,13048.266424808213,15669.814354690954
2024,5,12775.441116301408,16097.818528989299,18490.692239270786
2024,6,29974.617341455567,31187.321938479843,32375.22416562108
2024,7,82665.38693217942,95742.09415897957,115159.00558851041
2024,8,48120.74451699886,54094.11165826811,61365.09578147608
2024,9,35386.47227477599,37373.539078844944,41098.73276005479
2024,10,12121.432787303158,15673.229154928831,18038.128768634284
2024,11,8871.897031659926,12892.466246744667,15754.199620719544
2024,12,9141.21871714313,13362.430390843623,16090.577581899992
