case_id,weather,it_level,return_air_label,t_db_C,rh_pct,p_it_mw
cold_dry_low_return_dry,cold_dry,low,synthetic_return_dry_35C_15pct,0.0,20.0,2.0
cold_dry_medium_return_dry,cold_dry,medium,synthetic_return_dry_35C_15pct,0.0,20.0,10.0
cold_dry_high_return_dry,cold_dry,high,synthetic_return_dry_35C_15pct,0.0,20.0,30.0
cold_dry_low_return_moist,cold_dry,low,synthetic_return_moist_35C_40pct,0.0,20.0,2.0
cold_dry_medium_return_moist,cold_dry,medium,synthetic_return_moist_35C_40pct,0.0,20.0,10.0
cold_dry_high_return_moist,cold_dry,high,synthetic_return_moist_35C_40pct,0.0,20.0,30.0
cold_humid_low_return_dry,cold_humid,low,synthetic_return_dry_35C_15pct,8.0,90.0,2.0
cold_humid_medium_return_dry,cold_humid,medium,synthetic_return_dry_35C_15pct,8.0,90.0,10.0
cold_humid_high_return_dry,cold_humid,high,synthetic_return_dry_35C_15pct,8.0,90.0,30.0
cold_humid_low_return_moist,cold_humid,low,synthetic_return_moist_35C_40pct,8.0,90.0,2.0
cold_humid_medium_return_moist,cold_humid,medium,synthetic_return_moist_35C_40pct,8.0,90.0,10.0
cold_humid_high_return_moist,cold_humid,high,synthetic_return_moist_35C_40pct,8.0,90.0,30.0
mild_dry_low_return_dry,mild_dry,low,synthetic_return_dry_35C_15pct,20.0,15.0,2.0
mild_dry_medium_return_dry,mild_dry,medium,synthetic_return_dry_35C_15pct,20.0,15.0,10.0
mild_dry_high_return_dry,mild_dry,high,synthetic_return_dry_35C_15pct,20.0,15.0,30.0
mild_dry_low_return_moist,mild_dry,low,synthetic_return_moist_35C_40pct,20.0,15.0,2.0
mild_dry_medium_return_moist,mild_dry,medium,synthetic_return_moist_35C_40pct,20.0,15.0,10.0
mild_dry_high_return_moist,mild_dry,high,synthetic_return_moist_35C_40pct,20.0,15.0,30.0
mild_humid_low_return_dry,mild_humid,low,synthetic_return_dry_35C_15pct,22.0,50.0,2.0
mild_humid_medium_return_dry,mild_humid,medium,synthetic_return_dry_35C_15pct,22.0,50.0,10.0
mild_humid_high_return_dry,mild_humid,high,synthetic_return_dry_35C_15pct,22.0,50.0,30.0
mild_humid_low_return_moist,mild_humid,low,synthetic_return_moist_35C_40pct,22.0,50.0,2.0
mild_humid_medium_return_moist,mild_humid,medium,synthetic_return_moist_35C_40pct,22.0,50.0,10.0
mild_humid_high_return_moist,mild_humid,high,synthetic_return_moist_35C_40pct,22.0,50.0,30.0
hot_dry_low_return_dry,hot_dry,low,synthetic_return_dry_35C_15pct,35.0,12.0,2.0
hot_dry_medium_return_dry,hot_dry,medium,synthetic_return_dry_35C_15pct,35.0,12.0,10.0
hot_dry_high_return_dry,hot_dry,high,synthetic_return_dry_35C_15pct,35.0,12.0,30.0
hot_dry_low_return_moist,hot_dry,low,synthetic_return_moist_35C_40pct,35.0,12.0,2.0
hot_dry_medium_return_moist,hot_dry,medium,synthetic_return_moist_35C_40pct,35.0,12.0,10.0
hot_dry_high_return_moist,hot_dry,high,synthetic_return_moist_35C_40pct,35.0,12.0,30.0
hot_humid_low_return_dry,hot_humid,low,synthetic_return_dry_35C_15pct,32.0,75.0,2.0
hot_humid_medium_return_dry,hot_humid,medium,synthetic_return_dry_35C_15pct,32.0,75.0,10.0
hot_humid_high_return_dry,hot_humid,high,synthetic_return_dry_35C_15pct,32.0,75.0,30.0
hot_humid_low_return_moist,hot_humid,low,synthetic_return_moist_35C_40pct,32.0,75.0,2.0
hot_humid_medium_return_moist,hot_humid,medium,synthetic_return_moist_35C_40pct,32.0,75.0,10.0
hot_humid_high_return_moist,hot_humid,high,synthetic_return_moist_35C_40pct,32.0,75.0,30.0
