case_id,weather,it_level,return_air_label,p_it_mw,t_db_C,rh_pct,ocp_region,v1_mode,v1_feasibility,v1_objective,v1_Tmix,v1_Tsup,v1_W_air,v1_h_residual,v1_boundary,v1_model_version,v0_W,v0_Tsup,canonical_W,canonical_Tsup,canonical_model_version
cold_dry_low_return_dry,cold_dry,low,synthetic_return_dry_35C_15pct,2.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,PARTIALLY_FEASIBLE,HUMIDIFICATION,18.333333333333368,12.222222222222221,1.4622003521562565,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,1.5571746997822926,18.333333333333286,0.0,0.0,canonical_legacy
cold_dry_medium_return_dry,cold_dry,medium,synthetic_return_dry_35C_15pct,10.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,PARTIALLY_FEASIBLE,HUMIDIFICATION,18.333333333333368,12.222222222222221,7.3110017607812825,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,7.785873498911464,18.333333333333286,0.0,0.0,canonical_legacy
cold_dry_high_return_dry,cold_dry,high,synthetic_return_dry_35C_15pct,30.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,PARTIALLY_FEASIBLE,HUMIDIFICATION,18.333333333333368,12.222222222222221,21.933005282343846,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,23.357620496734388,18.333333333333286,0.0,0.0,canonical_legacy
cold_dry_low_return_moist,cold_dry,low,synthetic_return_moist_35C_40pct,2.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,FEASIBLE,HUMIDIFICATION,18.333333333333314,18.333333333333314,1.0346263276203621e-15,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,1.5571746997822926,18.333333333333286,0.0,0.0,canonical_legacy
cold_dry_medium_return_moist,cold_dry,medium,synthetic_return_moist_35C_40pct,10.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,FEASIBLE,HUMIDIFICATION,18.333333333333314,18.333333333333314,5.173131638101811e-15,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,7.785873498911464,18.333333333333286,0.0,0.0,canonical_legacy
cold_dry_high_return_moist,cold_dry,high,synthetic_return_moist_35C_40pct,30.0,0.0,20.0,A,A_MIXED_AIR_HUMIDIFICATION,FEASIBLE,HUMIDIFICATION,18.333333333333314,18.333333333333314,1.5519394914305432e-14,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,23.357620496734388,18.333333333333286,0.0,0.0,canonical_legacy
cold_humid_low_return_dry,cold_humid,low,synthetic_return_dry_35C_15pct,2.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,18.33333333333332,18.33333333333332,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
cold_humid_medium_return_dry,cold_humid,medium,synthetic_return_dry_35C_15pct,10.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,18.33333333333332,18.33333333333332,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
cold_humid_high_return_dry,cold_humid,high,synthetic_return_dry_35C_15pct,30.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,18.33333333333332,18.33333333333332,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
cold_humid_low_return_moist,cold_humid,low,synthetic_return_moist_35C_40pct,2.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,20.531815402385867,20.531815402385867,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
cold_humid_medium_return_moist,cold_humid,medium,synthetic_return_moist_35C_40pct,10.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,20.531815402385867,20.531815402385867,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
cold_humid_high_return_moist,cold_humid,high,synthetic_return_moist_35C_40pct,30.0,8.0,90.0,G,G_RH_OR_TEMP_MIX_SPRAY_BYPASS,FEASIBLE,RH_CAP,20.531815402385867,20.531815402385867,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,18.33333333333337,0.0,8.0,canonical_legacy
mild_dry_low_return_dry,mild_dry,low,synthetic_return_dry_35C_15pct,2.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,0.39623482902284063,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,2.471143593793131,20.000000000000004,0.0,20.0,canonical_legacy
mild_dry_medium_return_dry,mild_dry,medium,synthetic_return_dry_35C_15pct,10.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,1.9811741451142033,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,12.355717968965655,20.000000000000004,0.0,20.0,canonical_legacy
mild_dry_high_return_dry,mild_dry,high,synthetic_return_dry_35C_15pct,30.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,5.943522435342609,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,37.067153906896955,20.000000000000004,0.0,20.0,canonical_legacy
mild_dry_low_return_moist,mild_dry,low,synthetic_return_moist_35C_40pct,2.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,0.39623482902284063,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,2.471143593793131,20.000000000000004,0.0,20.0,canonical_legacy
mild_dry_medium_return_moist,mild_dry,medium,synthetic_return_moist_35C_40pct,10.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,1.9811741451142033,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,12.355717968965655,20.000000000000004,0.0,20.0,canonical_legacy
mild_dry_high_return_moist,mild_dry,high,synthetic_return_moist_35C_40pct,30.0,20.0,15.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,PARTIALLY_FEASIBLE,HUMIDIFICATION,20.000000000000004,18.333333333333332,5.943522435342609,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,37.067153906896955,20.000000000000004,0.0,20.0,canonical_legacy
mild_humid_low_return_dry,mild_humid,low,synthetic_return_dry_35C_15pct,2.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
mild_humid_medium_return_dry,mild_humid,medium,synthetic_return_dry_35C_15pct,10.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
mild_humid_high_return_dry,mild_humid,high,synthetic_return_dry_35C_15pct,30.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
mild_humid_low_return_moist,mild_humid,low,synthetic_return_moist_35C_40pct,2.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
mild_humid_medium_return_moist,mild_humid,medium,synthetic_return_moist_35C_40pct,10.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
mild_humid_high_return_moist,mild_humid,high,synthetic_return_moist_35C_40pct,30.0,22.0,50.0,C,C_DRY_FREE_OUTSIDE_AIR,FEASIBLE,NONE,21.999999999999993,21.999999999999993,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.0,21.999999999999993,0.0,22.0,canonical_legacy
hot_dry_low_return_dry,hot_dry,low,synthetic_return_dry_35C_15pct,2.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,1.9773469467315747,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,1.9773469467315747,26.666666666666668,2.3757037671443637,25.0,canonical_legacy
hot_dry_medium_return_dry,hot_dry,medium,synthetic_return_dry_35C_15pct,10.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,9.886734733657871,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,9.886734733657871,26.666666666666668,11.878518835721819,25.0,canonical_legacy
