year,expected_archive_hours,source_hours_ok,source_hours_unavailable,source_hours_error,source_hours_unattempted,archive_hours_ks39_present,archive_hours_ks39_absent_file_ok,pct_ks39_present_given_file_ok,longest_consecutive_archive_absent_when_file_ok,expected_physical_utc_hours,hours_with_ks39_report,hours_usable_temperature,hours_usable_dewpoint,hours_usable_temp_and_dew,hours_usable_pressure_input,hours_present_but_unusable,n_raw_reports,pct_physical_hours_with_report,pct_physical_hours_usable_temp_dew,longest_consecutive_physical_hour_without_report
2015,3672.0,3672.0,0.0,0.0,0.0,3391.0,281.0,92.3474945533769,252.0,3672.0,3390.0,3360.0,3356.0,3356.0,3373.0,34.0,10151.0,92.3202614379085,91.39433551198258,252.0
2016,8784.0,8784.0,0.0,0.0,0.0,8564.0,220.0,97.49544626593807,45.0,8784.0,8563.0,8490.0,8486.0,8486.0,6544.0,77.0,25599.0,97.48406193078324,96.60746812386157,45.0
2017,8760.0,8731.0,29.0,0.0,0.0,8637.0,94.0,98.92337647463063,20.0,8760.0,8632.0,8539.0,8526.0,8526.0,8485.0,106.0,25765.0,98.53881278538813,97.32876712328768,20.0
2018,8760.0,8619.0,138.0,3.0,0.0,8600.0,19.0,99.77955679313145,6.0,8760.0,8608.0,8490.0,8462.0,8462.0,8500.0,146.0,25745.0,98.2648401826484,96.59817351598174,44.0
2019,8760.0,8755.0,4.0,1.0,0.0,8601.0,154.0,98.24100513992005,37.0,8760.0,8609.0,8558.0,8549.0,8549.0,8486.0,60.0,25763.0,98.27625570776256,97.59132420091325,37.0
2020,8784.0,8780.0,4.0,0.0,0.0,8503.0,277.0,96.84510250569475,115.0,8784.0,8505.0,8481.0,8454.0,8454.0,8505.0,51.0,25458.0,96.82377049180327,96.2431693989071,116.0
2021,8760.0,8757.0,3.0,0.0,0.0,8711.0,46.0,99.4747059495261,32.0,8760.0,8712.0,8675.0,8645.0,8645.0,8696.0,67.0,26094.0,99.45205479452055,98.68721461187215,32.0
2022,8760.0,8754.0,6.0,0.0,0.0,8732.0,22.0,99.74868631482751,10.0,8760.0,8733.0,8719.0,8659.0,8659.0,8733.0,74.0,26150.0,99.6917808219178,98.84703196347031,10.0
2023,8760.0,8721.0,39.0,0.0,0.0,8002.0,719.0,91.75553262240568,203.0,8760.0,8009.0,8006.0,7965.0,7965.0,8009.0,44.0,23896.0,91.4269406392694,90.92465753424658,203.0
2024,8784.0,8511.0,273.0,0.0,0.0,8242.0,269.0,96.83938432616614,101.0,8784.0,8255.0,8249.0,8074.0,8074.0,8255.0,181.0,24530.0,93.97768670309654,91.91712204007285,219.0
2025,25.0,25.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,73.0,100.0,100.0,0.0
