district,landing_page_url,official_pdf_url,downloaded_this_pass
Alluri Sitaramaraju,https://cgwb.gov.in/cgwbpnm/publication-detail/1359,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740111182895942267file.pdf,false
Anakapalli,https://cgwb.gov.in/cgwbpnm/publication-detail/1360,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740112083253996301file.pdf,false
Ananthapuramu,https://cgwb.gov.in/cgwbpnm/publication-detail/1361,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17401264911864076626file.pdf,true
Annamayya,https://cgwb.gov.in/cgwbpnm/publication-detail/1362,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17401272561531530641file.pdf,false
Bapatla,https://cgwb.gov.in/cgwbpnm/publication-detail/1363,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17401276181572821866file.pdf,false
Chittoor,https://cgwb.gov.in/cgwbpnm/publication-detail/1364,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17401295101161674667file.pdf,false
East Godavari,https://cgwb.gov.in/cgwbpnm/publication-detail/1365,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17403902671645307790file.pdf,false
Eluru,https://cgwb.gov.in/cgwbpnm/publication-detail/1366,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17403906081815005241file.pdf,false
Guntur,https://cgwb.gov.in/cgwbpnm/publication-detail/1367,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740390895831797594file.pdf,false
YSR Kadapa,https://cgwb.gov.in/cgwbpnm/publication-detail/1368,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17403925871746746222file.pdf,false
Kakinada,https://cgwb.gov.in/cgwbpnm/publication-detail/1369,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17403929101317686901file.pdf,false
Krishna,https://cgwb.gov.in/cgwbpnm/publication-detail/1370,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404564521533346784file.pdf,false
Kurnool,https://cgwb.gov.in/cgwbpnm/publication-detail/1371,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404567241971395921file.pdf,false
SPSR Nellore,https://cgwb.gov.in/cgwbpnm/publication-detail/1372,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740457589452112046file.pdf,false
NTR,https://cgwb.gov.in/cgwbpnm/publication-detail/1373,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740457839823547905file.pdf,false
Palnadu,https://cgwb.gov.in/cgwbpnm/publication-detail/1374,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404581791886422903file.pdf,false
Parvathipuram Manyam,https://cgwb.gov.in/cgwbpnm/publication-detail/1375,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404584271367397910file.pdf,false
Prakasam,https://cgwb.gov.in/cgwbpnm/publication-detail/1376,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740458692979658078file.pdf,false
Sri Sathya Sai,https://cgwb.gov.in/cgwbpnm/publication-detail/1377,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740459824366801954file.pdf,false
Srikakulam,https://cgwb.gov.in/cgwbpnm/publication-detail/1378,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404632371092827676file.pdf,false
Tirupati,https://cgwb.gov.in/cgwbpnm/publication-detail/1379,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740463649537718087file.pdf,false
Visakhapatnam,https://cgwb.gov.in/cgwbpnm/publication-detail/1380,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1740463971931622767file.pdf,false
Vizianagaram,https://cgwb.gov.in/cgwbpnm/publication-detail/1381,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404642122061448603file.pdf,false
West Godavari,https://cgwb.gov.in/cgwbpnm/publication-detail/1382,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17404645151309649185file.pdf,false
Nandyal,https://cgwb.gov.in/cgwbpnm/publication-detail/1404,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17418676521575851451file.pdf,true
Dr. B.R. Ambedkar Konaseema,https://cgwb.gov.in/cgwbpnm/publication-detail/1405,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17418679141398996352file.pdf,false
