SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry Quadridaily (meter)
1,Bethamcherla,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,BETHAMCHERLA,-,-,-,-,-,-,-,-,15.44206800,78.13603400,,05-10-2011 15:00,-45.421
2,Mukkollu,Andhra Pradesh GW,28,Andhra Pradesh,510,KRISHNA,-,-,-,-,-,-,-,-,-,16.27740000,81.06420000,,11-01-2000 15:00,-4.024
3,Mukkollu,Andhra Pradesh GW,28,Andhra Pradesh,510,KRISHNA,-,-,-,-,-,-,-,-,-,16.27740000,81.06420000,,11-01-2000 21:00,-4.04
4,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2005 09:00,-8.585
5,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2005 15:00,-8.689
6,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2005 21:00,-8.6
7,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,31-01-2005 21:00,-8.592
8,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,01-02-2005 03:00,-8.313
9,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,01-02-2005 09:00,-8.585
10,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,01-02-2005 15:00,-8.689
