district,observations,station_location_series,distinct_station_name_keys,first_observation,last_observation
ANANTAPUR,8735,398,383,1996-01-05 06:00:00,2023-08-20 06:00:00
ANNAMAYYA,7,7,7,2023-08-20 06:00:00,2023-08-20 06:00:00
BAPATLA,2,2,2,2023-08-20 06:00:00,2023-08-20 06:00:00
CHITTOOR,6093,242,228,1996-01-05 06:00:00,2023-08-20 06:00:00
CUDDAPAH,4684,214,201,1996-01-05 06:00:00,2023-08-20 06:00:00
EAST GODAVARI,6644,227,207,1996-01-05 06:00:00,2023-08-20 06:00:00
ELURU,1,1,1,2023-08-20 06:00:00,2023-08-20 06:00:00
GUNTUR,6941,238,215,1996-01-05 06:00:00,2023-08-20 06:00:00
KRISHNA,5242,231,204,1996-01-05 06:00:00,2023-08-20 06:00:00
KURNOOL,5334,209,188,1996-01-05 06:00:00,2023-08-20 06:00:00
NELLORE,5470,170,154,1996-01-05 06:00:00,2023-08-20 06:00:00
PRAKASAM,5398,245,235,1996-01-05 06:00:00,2023-08-20 06:00:00
SRIKAKULAM,3817,127,126,1996-01-05 06:00:00,2023-08-20 06:00:00
VISAKHAPATNAM,4984,168,168,1996-01-05 06:00:00,2023-08-20 06:00:00
VIZIANAGARAM,3289,118,118,1996-01-05 06:00:00,2023-08-20 06:00:00
WEST GODAVARI,4743,149,147,1996-01-05 06:00:00,2023-08-20 06:00:00
