month,observations,station_location_series,distinct_station_name_keys
1996-01,627,627,623
1996-05,535,535,535
1996-08,589,589,586
1996-11,592,592,589
1997-01,610,610,608
1997-05,588,588,586
1997-08,570,570,568
1997-11,583,583,580
1998-01,569,569,567
1998-05,506,506,503
1998-08,529,529,527
1998-11,536,536,533
1999-01,542,542,540
1999-05,497,497,496
1999-08,536,536,535
1999-11,515,515,514
2000-01,499,499,498
2000-05,460,460,459
2000-08,514,514,513
2000-11,537,537,536
2001-01,526,526,525
2001-05,528,528,527
2001-08,527,527,526
2001-11,526,526,525
2002-01,526,526,525
2002-05,508,508,507
2002-08,507,507,506
2002-11,500,500,499
2003-01,487,487,486
2003-05,493,493,492
2003-08,490,490,489
2003-11,487,487,486
2004-01,480,480,479
2004-05,480,480,479
2004-08,341,341,341
2004-11,459,459,458
2005-01,896,896,877
2005-05,898,898,879
2005-08,884,884,864
2005-11,867,867,848
2006-01,813,813,799
2006-05,819,819,805
2006-08,805,805,791
2006-11,805,805,791
2007-01,802,802,788
2007-05,790,790,776
2007-08,774,774,760
2007-11,784,784,770
2008-01,791,791,777
2008-05,767,767,754
2008-08,783,783,769
2008-11,777,777,763
2009-01,772,772,758
2009-05,392,392,392
2009-08,409,409,409
2009-11,405,405,405
2010-01,405,405,405
2010-05,364,364,364
2010-08,378,378,378
2010-11,378,378,378
2011-01,389,389,389
2011-05,425,425,425
2011-08,395,395,395
2011-11,390,390,390
2012-01,389,389,389
2012-05,394,394,394
2012-11,448,448,448
2013-01,541,541,541
2013-05,667,667,667
2013-08,13,13,13
2013-11,698,698,698
2014-01,819,819,819
2014-05,805,805,805
2014-08,823,823,823
2014-11,858,858,858
2015-01,844,844,844
2015-05,850,850,850
2015-08,841,841,841
2015-11,809,809,809
2016-01,474,474,474
2016-05,827,827,826
2016-08,820,820,820
2016-11,787,787,787
2017-01,840,840,840
2017-05,809,809,809
2017-08,826,826,826
2017-11,826,826,826
2018-01,839,839,839
2018-03,1,1,1
2018-05,812,812,812
2018-08,809,809,809
2018-10,1,1,1
2018-11,1084,826,826
2018-12,347,87,87
2019-01,830,830,830
2019-02,2,2,2
2019-03,4,4,4
2019-05,811,811,811
2019-08,819,819,819
2019-09,1,1,1
2019-10,1,1,1
2019-11,798,797,797
2020-01,817,808,808
2020-08,59,59,59
2020-11,804,804,804
2021-01,836,836,836
2021-08,835,835,835
2021-10,1,1,1
2021-11,836,836,836
2022-01,894,854,852
2022-02,43,11,11
2022-03,45,12,12
2022-04,44,11,11
2022-05,912,872,870
2022-06,44,11,11
2022-07,44,11,11
2022-08,1080,1039,1037
2022-09,48,12,12
2022-10,48,12,12
2022-11,1063,1022,1020
2022-12,44,11,11
2023-01,731,730,729
2023-03,1,1,1
2023-05,998,998,991
2023-08,1034,1033,1028
