year,observations,station_location_series,distinct_station_name_keys,districts
1996,2343,644,640,13
1997,2351,626,623,13
1998,2140,594,591,13
1999,2090,579,577,13
2000,2010,578,577,13
2001,2107,555,554,13
2002,2041,545,544,13
2003,1957,512,511,13
2004,1760,500,499,13
2005,3545,930,910,13
2006,3242,835,821,13
2007,3150,813,799,13
2008,3118,799,785,13
2009,1978,795,781,13
2010,1525,420,420,13
2011,1599,447,447,13
2012,1231,491,491,13
2013,1919,781,781,13
2014,3305,920,920,13
2015,3344,893,893,13
2016,2908,1109,990,13
2017,3301,892,892,13
2018,3893,869,869,13
2019,3266,873,873,13
2020,1680,852,852,13
2021,2508,895,895,13
2022,4309,1187,1185,13
2023,2764,1464,1424,16
