quantity,value,unit,evidence_class,source_id,pdf_page,model_role,key_caveat
total_annual_groundwater_recharge,27.80,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,8;9;13,static resource context,"GEC-2015/INGRES estimate; not observed monthly recharge forcing"
annual_extractable_groundwater_resource,26.41,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,8;9;13,static resource context,"Assessment quantity; not a site withdrawal entitlement"
annual_groundwater_extraction_all_uses,7.88,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,8;9;13,static extraction context,"Assessment estimate; not geocoded monthly well pumping"
groundwater_extraction_stage,29.83,percent,ESTIMATED,CGWB_AP_GWRA_2024,8;52,secondary static comparator,"State aggregate masks local stress; report also rounds to 29.8 or 29.84"
irrigation_extraction,6.75,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,13,sector context,"86 percent of assessed extraction; no monthly node panel"
domestic_extraction,1.01,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,13,sector context,"13 percent of assessed extraction; conclusion rounds to 1.0"
industrial_extraction,0.13,bcm/year,ESTIMATED,CGWB_AP_GWRA_2024,13,sector context,"1 percent of assessed extraction; not data-center-specific"
groundwater_irrigated_area,15.75,lakh ha,ESTIMATED,CGWB_AP_GWRA_2024,9;83,agriculture context,"Reported as 42 percent of irrigated area; crop/node detail absent"
surface_water_irrigated_area,22.37,lakh ha,ESTIMATED,CGWB_AP_GWRA_2024,9;83,agriculture context,"Static statewide context"
assessment_units_total,679,count,REFERENCE_MODEL,CGWB_AP_GWRA_2024,8;13,spatial-unit candidate,"Canonical machine-readable polygons and versioned IDs absent"
assessment_units_safe,591,count,ESTIMATED,CGWB_AP_GWRA_2024,8;13,static local stress class,"Assessment category is not dynamic response"
assessment_units_semi_critical,38,count,ESTIMATED,CGWB_AP_GWRA_2024,8;13,static local stress class,"Assessment category is not dynamic response"
assessment_units_critical,2,count,ESTIMATED,CGWB_AP_GWRA_2024,8;13,static local stress class,"Assessment category is not dynamic response"
assessment_units_over_exploited,9,count,ESTIMATED,CGWB_AP_GWRA_2024,8;13,static local stress class,"Assessment category is not dynamic response"
assessment_units_saline,39,count,ESTIMATED,CGWB_AP_GWRA_2024,8;13,static local stress class,"Not included in a dynamic model"
microbasins,748,count,REFERENCE_MODEL,CGWB_AP_GWRA_2024,9;13,hydrologic crosswalk candidate,"Canonical machine-readable geometry/crosswalk absent"
