climate,contrast,heat_rejection,tech_id,PUE_rdhx,PUE_coldplate,PUE_immersion,PUE_subtype_range,WUE_rdhx,WUE_coldplate,WUE_immersion,WUE_subtype_range,semantics,liquid_cooling_type,PUE_dry_adiabatic,PUE_we_tower,dPUE_we_minus_dry,rel_dPUE_we_minus_dry,WUE_dry_adiabatic,WUE_we_tower,dWUE_we_minus_dry,rel_dWUE_we_minus_dry
0A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0972864,1.09981865,1.0992947499999999,0.0025322500000000137,0.0,0.0,0.0,0.0,SOURCE_MODEL_SCENARIO,,,,,,,,,
0A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.2440072,1.23532485,1.2073629000000001,0.03664429999999985,1.9848990440368648,1.9854855537414555,1.9654324054718018,0.020053148269653764,SOURCE_MODEL_SCENARIO,,,,,,,,,
0A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0972864,1.2440072,0.14672079999999998,0.1337124017940986,0.0,1.9848990440368648,1.9848990440368648,
0A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09981865,1.23532485,0.13550620000000002,0.1232077670259547,0.0,1.9854855537414555,1.9854855537414555,
0A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0992947499999999,1.2073629000000001,0.10806815000000025,0.0983068007920535,0.0,1.9654324054718018,1.9654324054718018,
0B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.10295305,1.10400775,1.09747115,0.0065366000000000035,0.14196798950433726,0.14677014946937555,0.1364273652434349,0.010342784225940649,SOURCE_MODEL_SCENARIO,,,,,,,,,
0B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.16830025,1.15240205,1.1358774,0.03242284999999989,1.9710234403610232,1.9616312384605403,1.9661990404129026,0.009392201900482844,SOURCE_MODEL_SCENARIO,,,,,,,,,
0B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.10295305,1.16830025,0.06534719999999994,0.059247490181018984,0.14196798950433726,1.9710234403610232,1.8290554508566859,12.883576482576071
0B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.10400775,1.15240205,0.0483943,0.04383510894737831,0.14677014946937555,1.9616312384605403,1.8148610889911647,12.36532834198582
0B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09747115,1.1358774,0.038406249999999975,0.0349952251592217,0.1364273652434349,1.9661990404129026,1.8297716751694677,13.412057558280223
1A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0954614,1.0980675,1.10074235,0.005280949999999951,0.0,0.0001196009252453,0.0,0.0001196009252453,SOURCE_MODEL_SCENARIO,,,,,,,,,
1A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.21668845,1.2102963,1.1735606,0.04312784999999986,1.9755042195320125,2.0014174580574036,1.9730160236358645,0.028401434421539085,SOURCE_MODEL_SCENARIO,,,,,,,,,
1A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0954614,1.21668845,0.12122704999999989,0.110663004648087,0.0,1.9755042195320125,1.9755042195320125,
1A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0980675,1.2102963,0.11222880000000002,0.10220573871824822,0.0001196009252453,2.0014174580574036,2.0012978571321582,16733.130224766417
1A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.10074235,1.1735606,0.07281825000000008,0.06615376432096039,0.0,1.9730160236358645,1.9730160236358645,
1B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.1012943499999999,1.09885295,1.0918621000000002,0.009432249999999698,0.03834877908229825,0.044750580564141246,0.041116047650575596,0.006401801481842995,SOURCE_MODEL_SCENARIO,,,,,,,,,
1B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.2043939,1.1815631,1.1722356500000002,0.03215824999999972,1.9719428420066833,1.9684424996376038,1.9878733158111572,0.019430816173553467,SOURCE_MODEL_SCENARIO,,,,,,,,,
1B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.1012943499999999,1.2043939,0.10309955000000004,0.09361670655987661,0.03834877908229825,1.9719428420066833,1.933594062924385,50.42126787856278
1B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09885295,1.1815631,0.08271015000000004,0.07526953447228771,0.044750580564141246,1.9684424996376038,1.9236919190734625,42.98697122635593
1B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0918621000000002,1.1722356500000002,0.08037355000000002,0.07361144781928047,0.041116047650575596,1.9878733158111572,1.9467572681605816,47.34786973458837
2A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.102302,1.0985656000000001,1.0977956,0.0045063999999999105,0.07139638811349866,0.07361154258251185,0.0711185149848461,0.002493027597665745,SOURCE_MODEL_SCENARIO,,,,,,,,,
2A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.19808615,1.1747982000000001,1.162854,0.03523214999999991,1.957153856754303,1.9708664417266848,1.990140438079834,0.032986581325531006,SOURCE_MODEL_SCENARIO,,,,,,,,,
2A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.102302,1.19808615,0.09578415000000007,0.0868946531894164,0.07139638811349866,1.957153856754303,1.8857574686408043,26.41250514862209
2A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0985656000000001,1.1747982000000001,0.07623259999999998,0.06939285191526111,0.07361154258251185,1.9708664417266848,1.897254899144173,25.77387774502243
2A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0977956,1.162854,0.06505840000000007,0.05926276257620278,0.0711185149848461,1.990140438079834,1.9190219230949879,26.983436359770618
2B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0957401500000001,1.0982882,1.10044955,0.004709399999999864,0.20336986333131785,0.19870363920927045,0.19819128513336182,0.00517857819795603,SOURCE_MODEL_SCENARIO,,,,,,,,,
2B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1494771,1.13840155,1.1251902500000002,0.02428684999999975,1.9495043754577637,1.9692469835281372,1.9885607361793518,0.039056360721588135,SOURCE_MODEL_SCENARIO,,,,,,,,,
