climate,facility_class,tech_a,liquid_a,tech_b,liquid_b,n_a,n_b,pairing,PUE_p50_a,PUE_p50_b,dPUE_p50_b_minus_a,PUE_p05_a,PUE_p95_a,PUE_p05_b,PUE_p95_b,PUE_5_95_overlap,WUE_p50_a,WUE_p50_b,dWUE_p50_b_minus_a,WUE_p05_a,WUE_p95_a,WUE_p05_b,WUE_p95_b,WUE_5_95_overlap,interpretation
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,AE_AD_WCC,NOT_APPLICABLE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.29427265,-0.09866390000000003,1.28206885,1.49096284,1.197159765,1.4502526499999997,0.16818379999999977,0.0391000341624021,2.3759154081344604,2.3368153739720583,0.021784271113574446,0.06469398476183409,1.1337373495101928,2.9752012610435483,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,WE_WCC,NOT_APPLICABLE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.2085286499999999,-0.18440790000000007,1.28206885,1.49096284,1.16153112,1.257577075,0.0,0.0391000341624021,2.2325894832611084,2.1934894490987062,0.021784271113574446,0.06469398476183409,1.9573618590831758,2.505723512172699,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,DRY_AD_ACC,NOT_APPLICABLE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.3829649000000002,-0.009971649999999777,1.28206885,1.49096284,1.294083425,1.4741754,0.18009197500000007,0.0391000341624021,0.0725498534739017,0.033449819311499596,0.021784271113574446,0.06469398476183409,0.0,0.42104879170656184,0.04290971364825964,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_DRY_AD,DIRECT_TO_CHIP_COLD_PLATE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.09981865,-0.29311789999999993,1.28206885,1.49096284,1.05513057,1.147794325,0.0,0.0391000341624021,0.0,-0.0391000341624021,0.021784271113574446,0.06469398476183409,0.0,0.009930059523321622,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_DRY_AD,IMMERSION,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.0992947499999999,-0.29364180000000006,1.28206885,1.49096284,1.057448215,1.143765755,0.0,0.0391000341624021,0.0,-0.0391000341624021,0.021784271113574446,0.06469398476183409,0.0,0.003510558814741645,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_DRY_AD,REAR_DOOR_HEAT_EXCHANGER,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.0972864,-0.29565014999999994,1.28206885,1.49096284,1.05584335,1.144586765,0.0,0.0391000341624021,0.0,-0.0391000341624021,0.021784271113574446,0.06469398476183409,0.0,0.00857625734060996,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_WE_WCC,DIRECT_TO_CHIP_COLD_PLATE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.23532485,-0.1576116999999999,1.28206885,1.49096284,1.108652555,1.312806715,0.030737865000000086,0.0391000341624021,1.9854855537414555,1.9463855195790534,0.021784271113574446,0.06469398476183409,1.780335932970047,2.378784430027008,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_WE_WCC,IMMERSION,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.2073629000000001,-0.1855736499999998,1.28206885,1.49096284,1.0832149100000001,1.315206805,0.03313795500000016,0.0391000341624021,1.9654324054718018,1.9263323713093996,0.021784271113574446,0.06469398476183409,1.777154666185379,2.361792027950287,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_ACC,NOT_APPLICABLE,LIQ_WE_WCC,REAR_DOOR_HEAT_EXCHANGER,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.39293655,1.2440072,-0.14892934999999996,1.28206885,1.49096284,1.14727447,1.314942705,0.03287385500000006,0.0391000341624021,1.9848990440368648,1.9457990098744626,0.021784271113574446,0.06469398476183409,1.7487921178340913,2.3699503421783445,0.0,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
0A,Large-scale,AE_AD_WCC,NOT_APPLICABLE,WE_WCC,NOT_APPLICABLE,50,50,DISTRIBUTION_CELL_NOT_ROW_LHS,1.29427265,1.2085286499999999,-0.08574400000000004,1.197159765,1.4502526499999997,1.16153112,1.257577075,0.060417309999999835,2.3759154081344604,2.2325894832611084,-0.14332592487335205,1.1337373495101928,2.9752012610435483,1.9573618590831758,2.505723512172699,0.5483616530895232,source-model envelope difference under matched climate and Large-scale class; not a causal treatment effect
