Case,Climate Zone,Cooling system,Data center size,type,n,PUE_5th,PUE_95th,WUE_5th,WUE_95th
0,0A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.28206885,1.49096284,0.021784271113574446,0.06469398476183409
0,0B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.2137235700000002,1.391624285,0.02231283988803623,0.08250613845884791
0,1A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1983115850000001,1.350554085,0.012850911729037715,0.04977952633053061
0,1B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.217729705,1.3957694999999999,0.01216530958190555,0.04479829911142585
0,2A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.20396545,1.35044462,0.01413200199604032,0.04105999097228046
0,2B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1512831300000002,1.274600955,0.03548744879662983,0.08921520411968224
0,3A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.12309655,1.292938655,0.007700067432597246,0.029160691425204267
0,3B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1110206599999999,1.25366199,0.018225348275154814,0.0461602011695504
0,3C,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.096782825,1.2579531,0.0058248520828782895,0.028153821267187528
0,4A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.11419072,1.235789515,0.0043410479673184205,0.028138767927885017
0,4B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.106006625,1.198086185,0.013921953551471196,0.035477309301495494
0,4C,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.075088845,1.20031256,0.00015092165413075506,0.0144053211435675
