Cooling system,Climate Zone,Data center size,n,pearson,spearman,paired_mean_PUE_x_WUE,indep_mean_PUE_x_WUE,rel_bias_product,frac_independent_farther_than_paired_nn_p95,nn_p95_standardized
Air-cooled chiller,0A,Midsize,50,0.1499251193417735,0.16062424969987996,0.12756772974214245,0.12661827879763546,-0.007442720399791958,0.0,0.6281869435746696
Air-cooled chiller,0A,Small,50,-0.2304171913638214,-0.18665066026410562,0.145446664663851,0.14730074912354166,0.012747521326636943,0.067,0.49091847771920605
Air-cooled chiller,0B,Midsize,50,-0.05698796745393294,-0.0534453781512605,0.13062754092043324,0.13236019684516845,0.01326409356347438,0.044,0.5397028446183401
Air-cooled chiller,0B,Small,50,-0.034505670628680665,-0.04086434573829532,0.1532911912372064,0.153885544644981,0.003877283508449583,0.025,0.6806307964328481
Air-cooled chiller,1A,Midsize,50,0.1687839990693263,0.2847058823529412,0.12397723257395354,0.12306954885550772,-0.007321374252360259,0.083,0.626010671575412
Air-cooled chiller,1A,Small,50,-0.08901627284895444,-0.07236494597839135,0.1424263661506129,0.1419550580088163,-0.0033091354819669225,0.011,0.8406002925227674
Air-cooled chiller,1B,Midsize,50,0.05519595641038401,0.039711884753901555,0.1261633119839506,0.1255348204945328,-0.004981570945900217,0.008,0.6961315455665358
Air-cooled chiller,1B,Small,50,-0.15686018990275863,-0.12845138055222088,0.14474031192750655,0.14696779161980647,0.015389490755108733,0.0525,0.5938775819880787
Air-cooled chiller,2A,Midsize,50,0.0020978461223255264,-0.15966386554621848,0.12049709206820264,0.12019525143703674,-0.0025049619537295554,0.0965,0.5296787310819786
Air-cooled chiller,2A,Small,50,0.066230202227119,0.07534213685474188,0.1407962708411655,0.14066584941334612,-0.0009263130837216078,0.049,0.5307781709182318
Air-cooled chiller,2B,Midsize,50,0.2413391152597845,0.2293877551020408,0.1242674232038514,0.12333821683447764,-0.0074774735438865765,0.086,0.4958364161233858
Air-cooled chiller,2B,Small,50,0.009838027975369418,0.08686674669867947,0.14310744032842082,0.14389441415625756,0.0054991817758091,0.04,0.60623487274026
Air-cooled chiller,3A,Midsize,50,0.07646898324312605,0.104921968787515,0.11698587030770119,0.11677344928011751,-0.0018157836243381956,0.056,0.5830077022166205
Air-cooled chiller,3A,Small,50,-0.27601899004362157,-0.2740456182472989,0.13316811456234043,0.1330188687357081,-0.0011207324450213739,0.063,0.5034246475600134
Air-cooled chiller,3B,Midsize,50,0.2143575766398008,0.16945978391356542,0.11892693721317393,0.11872373863475288,-0.0017086001135034683,0.054,0.5564626984555388
Air-cooled chiller,3B,Small,50,-0.012653983813391513,0.05142857142857142,0.13775852912314315,0.138681536989265,0.006700186710739066,0.015,0.716582017440648
Air-cooled chiller,3C,Midsize,50,-0.16409212878195834,-0.14737094837935172,0.11313650510717974,0.11359372634448558,0.004041323681270703,0.013,0.6135758907575398
Air-cooled chiller,3C,Small,50,0.0454163953683868,0.10885954381752701,0.13469232024916075,0.1339284440918168,-0.005671267344202571,0.0245,0.6676595271316449
Air-cooled chiller,4A,Midsize,50,0.2861140120373811,0.3341656662665066,0.11405151546770564,0.11392028817830159,-0.0011505966305306282,0.0035,1.0164867270180173
Air-cooled chiller,4A,Small,50,-0.16324507931778703,-0.10501800720288115,0.12962631136497454,0.13038806970012923,0.005876571871353216,0.0575,0.5623476946754717
Air-cooled chiller,4B,Midsize,50,0.05313267472920007,0.11798319327731092,0.11470340716572455,0.11588007030244026,0.010258310243702254,0.0345,0.6293390581991841
Air-cooled chiller,4B,Small,50,-0.007368396034578566,0.015510204081632653,0.1323204760734824,0.13060630434030207,-0.012954697444017614,0.0125,0.7396554900977622
Air-cooled chiller,4C,Midsize,50,0.09294496404550003,0.05354141656662665,0.11231554965044496,0.11248896167933725,0.0015439716889779928,0.023,0.7444879390223567
Air-cooled chiller,4C,Small,50,-0.21671144685858054,-0.17474189675870347,0.12898036575658467,0.13050030073683172,0.01178423530846171,0.021,0.6918990750046312
Air-cooled chiller,5A,Midsize,50,0.21495466700675792,0.17013205282112842,0.1102634139076382,0.10930093059287478,-0.008728945355978592,0.032,0.6750258756512354
Air-cooled chiller,5A,Small,50,-0.10858034726836091,-0.1300840336134454,0.12607615656461182,0.12439181682669306,-0.013359700865052672,0.0415,0.5847091280690894
Air-cooled chiller,5B,Midsize,50,0.026037048844020506,-0.031068427370948382,0.11102190543900908,0.11024405278510434,-0.007006298899563257,0.0515,0.5622112701679138
