cell_id,n_replicates,scenario,topology,memory,gamma,cadence,cadence_over_tau_relax,tau_relax_realized,rho_A,min_diagonal_A,pumping_quality,recharge_quality,recharge_sigma,recharge_lag,confounding_rho,mcar_fraction,blocks_per_node,observed_node_fraction,snr_head,process_noise_sd,n_nodes,variant,null_mode,absolute_pumping_scale_known,absolute_S_identifiable,physical_parameter_identifiable,direct_parameter_recovery_is_primary,n_transitions,n_true_strong_edges,has_placebo,estimability_rate_L,estimability_rate_N,nire_persistent_step_h4_L,nire_persistent_step_h13_L,nire_persistent_step_h26_L,nire_persistent_step_h52_L,nire_pulse_h26_L,nire_new_node_pumping_h26_L,nire_multi_node_withdrawal_h26_L,relative_shape_error_persistent_step_L,cumulative_drawdown_error_persistent_step_L,A_diag_relative_error_L,A_vs_Ak_max_abs_error_L,B_Q_relative_error_median,B_Q_pseudo_true_relative_error_median,B_Q_pseudo_true_diag_mean,beta_q_hat_mean_L,storage_relative_error_median,rmse_test_L,rmse_improvement_vs_B0_L,condition_number_L,max_vif_L,smallest_singular_value_L,rank_deficiency_L,pumping_excitation_fraction_L,sign_correct_fraction_L,realized_snr_head,realized_snr_head_detrended,realized_head_sd,realized_observation_noise_sd,realized_local_persistence_mean_A_ii,n_rows_L,n_cols_L,median_admissible_train_rows_L,seasonal_variance_share,vulnerability_spearman_L,vulnerability_topk_overlap_L,placebo_coef_abs_L,placebo_step_response_L,placebo_relative_to_true_L,true_real_pumping_step_response,d_phys_median,nire_persistent_step_h26_N,nire_persistent_step_h52_N,rmse_test_N,strong_edge_undirected_f1,edge_f1,edge_precision,edge_recall,edge_false_positive,edge_false_negative,false_edge_count,false_edge_any,A_diag_relative_error_N,A_vs_Ak_max_abs_error_N,condition_number_N,max_vif_N,smallest_singular_value_N,rank_deficiency_N,masked_node_nmpe_N,observed_node_nmpe_N,selected_lambda,strong_coupling_weight_error,pumping_excitation_fraction_N,placebo_false_effect_N,n_rows_N,n_cols_N,nire_persistent_step_h26_B0,nire_persistent_step_h26_S,rmse_test_B0,rmse_test_S,placebo_false_effect_L,clip_fraction,false_edge_any_rate,placebo_false_effect_rate_L,horizon_growth
CURVE_curve_block_outage_0,60,S5,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8309616271157791,0.8427933649736277,0.849709637254372,0.8559510087056478,0.849484268791399,0.8660535606788747,0.7928759787873706,0.0371121864928198,0.6423191879513284,0.0713799256663922,0.1155061381096033,,0.5144465820097592,0.8131132968861441,-0.3943079887260916,,0.5169733385739854,0.2091038293595702,9.53508558834168,16.55660038513573,1.5334658122315743,0.0,0.1965708602521693,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,72.6,6.0,73.0,0.8979750796352082,0.7,1.0,,,,,,0.7326996062141401,0.7518192262602057,0.5179865236116052,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.0866488383186821,0.166880439989374,23.09788710868863,65.90007940557257,0.6918503283548795,0.0,0.2144266698649025,0.168483655072418,1.0,0.0479603409669699,0.1784735902661874,,54.1,8.8,1.0,0.8886819556514698,0.6446839837297764,0.524289693789086,,0.0,0.8,,1.0300728466567166
CURVE_curve_block_outage_1,60,S5,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,1,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8372981236079704,0.8529801775455776,0.8587398759189324,0.8576830537141937,0.8589129264263129,0.8742935840917827,0.7978075239480846,0.0325107571209406,0.63762786294289,0.0733577905846637,0.1144084517631528,,0.5304960361804847,0.8131132968861441,-0.3933891356101033,,0.5253566592342457,0.2004993304806851,9.630855410825529,16.625133654548154,1.4760686358982675,0.0,0.1945773704251297,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,67.2,6.0,67.0,0.8979750796352082,0.7,1.0,,,,,,0.8033952792746621,0.8151955924444301,0.5584483012713486,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.101339201402626,0.1853700927374993,25.20323267711104,78.61546831067204,0.5752500458020173,0.0,0.2545895712623276,0.1987637691791874,1.0,0.0519313424717323,0.1686303103074414,,41.6,8.8,1.0,0.9597875257351544,0.6490392957226433,0.530574617965202,,0.0,0.7833333333333333,,1.0243460835889413
CURVE_curve_block_outage_2,60,S5,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,2,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8250939092901775,0.8281863125701173,0.8363805760051004,0.8543264120098498,0.8373239579771063,0.8766405568988505,0.8097211294767032,0.0327079893693706,0.6389267995807738,0.0723973966617674,0.1191737371336966,,0.5141294804741263,0.8131132968861441,-0.3931570985806185,,0.538722017067812,0.1882761636886485,9.783148883172906,17.127520776785943,1.3956784616785782,0.0,0.1887100433168028,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,63.1,6.0,63.0,0.8979750796352082,0.75,1.0,,,,,,0.7834133201783662,0.8052015696837107,0.604034619947427,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,1.0,0.1361700524078128,0.2678249879104176,27.977786704546443,94.42404809378422,0.4720058802108868,0.0,0.2666313728100138,0.2961296717252459,1.0,0.0601135116457278,0.1527674678968008,,33.4,8.8,1.0,0.9187308757192444,0.6567695627316692,0.5357379112096852,,0.0,0.55,,1.035429303732009
CURVE_curve_cadence_1,60,S5,path5,MED,MED,1,0.0500000000000001,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,True,519,4.0,False,1.0,1.0,0.7684000661530239,0.8100012373991188,0.844167342916488,0.8765180596462223,0.8515700246936788,0.8655522500344659,0.7967226028958381,0.1103196816044471,0.6897470902832807,0.0876094325051923,0.1208971875025557,0.2760742193177889,,,-0.6864238746677471,,0.3984658607263861,0.0914954519419669,8.591142680556636,13.717091547818974,3.285287152455367,0.0,0.3230164584878814,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,293.2,6.0,294.0,0.8979750796352082,0.75,1.0,,,,,,0.7413211102798469,0.7908032095253039,0.4011093433596968,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.1075569427112309,0.1601190879031001,20.779289135206863,55.582730349586846,1.5365248396119164,0.0,0.396486132945137,0.2767870514034116,1.0,0.0203968498689234,0.316816301927976,,219.2,8.8,1.0,0.8852925492969963,0.4345131950234503,0.4003380521088211,,0.0,0.8,,1.1407053412091548
CURVE_curve_cadence_13,60,S5,path5,MED,MED,13,0.6500000000000014,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,39,6.0,False,1.0,0.8333333333333334,0.9124019829894712,0.9124019829894712,0.914099729651747,0.9175344050640286,0.9139092976649316,0.9251829560177448,0.8917773213819633,0.0502128590620391,0.7934182697895519,0.4108859824350779,0.3023782988776454,,0.7167807165454897,0.5498087417168409,-0.155120240303147,,0.9240937882167188,0.1594194344053832,12.347197830292997,25.958665760691662,0.6924124514559291,0.0,0.1341868775366493,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,21.9,6.0,22.0,0.8979750796352082,0.2499999999999999,0.5,,,,,,0.9039218046047724,0.9051893899734686,0.9833117442881,0.6666666666666666,0.6666666666666666,0.9166666666666669,0.5,0.5,3.0,0.5,0.5,0.6742275623279504,0.5099952130242709,37.436678271880325,157.66624751361724,0.2709105414606979,0.0,0.3644061282855848,0.4188143382236508,1.0,0.0588589789621032,0.0883926610877176,,16.6,8.8,1.0,1.199793082636689,1.0998486326808012,0.9723051670154824,,0.0,0.5,,1.0056251763698947
CURVE_curve_cadence_2,60,S5,path5,MED,MED,2,0.1000000000000002,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,259,4.0,False,1.0,1.0,0.8019484543975683,0.8120806412871149,0.8235045480408048,0.852901893249935,0.8281664059816691,0.8534888409191281,0.7764928369536894,0.053538289422634,0.6284021149043291,0.0528996168419189,0.0945684594685754,,0.3835049500235665,0.8996884386619781,-0.5451380078150296,,0.4253101587851441,0.160542997737944,8.98495466188832,14.86123697029316,2.267174506110142,0.0,0.2484129169351689,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,146.5,6.0,146.0,0.8979750796352082,0.7,1.0,,,,,,0.7063241935057729,0.6966361331937225,0.4295201515431506,0.8,0.8,0.75,0.875,1.0,0.5,1.0,1.0,0.0752828810192127,0.1312612157154383,21.12894135982549,58.863021305041954,1.0653461223075822,0.0,0.2029691041720039,0.1394200957486018,1.0,0.0299130194386048,0.2391044517325559,,109.0,8.8,1.0,0.8961314393445841,0.5076096610457074,0.4302639046723995,,0.0,0.7333333333333333,,1.0635370497604406
CURVE_curve_cadence_4,60,S5,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8309616271157791,0.8427933649736277,0.849709637254372,0.8559510087056478,0.849484268791399,0.8660535606788747,0.7928759787873706,0.0371121864928198,0.6423191879513284,0.0713799256663922,0.1155061381096033,,0.5144465820097592,0.8131132968861441,-0.3943079887260916,,0.5169733385739854,0.2091038293595702,9.53508558834168,16.55660038513573,1.5334658122315743,0.0,0.1965708602521693,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,72.6,6.0,73.0,0.8979750796352082,0.7,1.0,,,,,,0.7326996062141401,0.7518192262602057,0.5179865236116052,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.0866488383186821,0.166880439989374,23.09788710868863,65.90007940557257,0.6918503283548795,0.0,0.2144266698649025,0.168483655072418,1.0,0.0479603409669699,0.1784735902661874,,54.1,8.8,1.0,0.8886819556514698,0.6446839837297764,0.524289693789086,,0.0,0.8,,1.0300728466567166
CURVE_curve_confounding_0p0,60,S2,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.0,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8346262732868254,0.8498685379709876,0.8576787158394541,0.8642107989961028,0.857807137729021,0.8727835028355948,0.8004998407613421,0.0388514586200657,0.6608006112673924,0.0883065643714006,0.1297426995429949,,0.5119492835678314,0.8131132968861441,-0.3941276314767881,,0.558523115479874,0.1908024615409806,10.10803424062693,18.668709136978972,1.4473146455332788,0.0,0.1959809734219219,1.0,10.177183425061436,2.7846113949590467,3.20149911629928,0.3154731336940725,0.897333063367156,72.6,6.0,73.0,0.9236444788583368,0.7,1.0,,,,,,0.7624843587531576,0.7582522581416203,0.5615057905234553,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.1118965930431353,0.1925723871186417,26.11036547443343,84.15128980054136,0.6129215300791366,0.0,0.1865665831981728,0.1501463580716802,1.0,0.0505443313128978,0.1777877443033877,,54.1,8.8,1.0,0.9076072008573176,0.6796530724438712,0.5651297017354602,,0.0,0.8,,1.0354464347171473
CURVE_curve_confounding_0p3,60,S2,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8309616271157791,0.8427933649736277,0.849709637254372,0.8559510087056478,0.849484268791399,0.8660535606788747,0.7928759787873706,0.0371121864928198,0.6423191879513284,0.0713799256663922,0.1155061381096033,,0.5144465820097592,0.8131132968861441,-0.3943079887260916,,0.5169733385739854,0.2091038293595702,9.53508558834168,16.55660038513573,1.5334658122315743,0.0,0.1965708602521693,1.0,10.249382595146862,3.231031240302706,2.770114696329188,0.2711006869377078,0.897333063367156,72.6,6.0,73.0,0.8979750796352082,0.7,1.0,,,,,,0.7326996062141401,0.7518192262602057,0.5179865236116052,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.0866488383186821,0.166880439989374,23.09788710868863,65.90007940557257,0.6918503283548795,0.0,0.2144266698649025,0.168483655072418,1.0,0.0479603409669699,0.1784735902661874,,54.1,8.8,1.0,0.8886819556514698,0.6446839837297764,0.524289693789086,,0.0,0.8,,1.0300728466567166
CURVE_curve_confounding_0p6,60,S2,path5,MED,MED,4,0.2000000000000004,19.99999999999996,0.951229424500714,0.8648730117609119,P-MULTNOISE,R-NOISE,0.2,0,0.6,0.1,0,1.0,10.0,0.05,5,,,True,False,False,False,129,4.0,False,1.0,1.0,0.8291456454394569,0.8338259159074712,0.8393923006131756,0.8478246920059046,0.8390640216139313,0.8581570070253444,0.7870557378854913,0.0315508649225708,0.6190071449824379,0.0656374343815044,0.1065335900368847,,0.5174960479082993,0.8131132968861441,-0.3969701430373322,,0.4683125942198314,0.2289484881026495,9.140946355325918,15.305259494214788,1.6266408643899282,0.0,0.1952475942526504,1.0,10.343906219135436,3.9946051836698073,2.255454312503673,0.2195537740901076,0.897333063367156,72.6,6.0,73.0,0.847139680737147,0.7,1.0,,,,,,0.7183797213043981,0.7120887208725157,0.4756777557500004,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,1.5,1.0,1.5,1.0,0.0692916978061995,0.1438746757707511,19.26703907309216,47.367493336941735,0.8295979434700969,0.0,0.2528824655275768,0.2012151975569781,1.0,0.0472871279708352,0.1783778427475806,,54.1,8.8,1.0,0.8689739872456048,0.6042394763287363,0.4751861907126268,,0.0,0.7833333333333333,,1.022528064483228
