cell_id,block,scenario,topology,memory,cadence,gamma,pumping_quality,pumping_noise_s,recharge_quality,recharge_sigma,recharge_lag,confounding_rho,mcar_fraction,blocks_per_node,observed_node_fraction,snr_head,process_noise_sd,identification_regime,pairing_group
A_PEXACT,A,S1,single,MED,4,NONE,P-EXACT,0.0,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k4
A_S025,A,S1,single,MED,4,NONE,P-MULTNOISE,0.025,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k4
A_S050,A,S1,single,MED,4,NONE,P-MULTNOISE,0.05,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k4
A_S100,A,S1,single,MED,4,NONE,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k4
A_S200,A,S1,single,MED,4,NONE,P-MULTNOISE,0.2,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k4
A1_PEXACT_K1,A_prime,S1,single,MED,1,MED,P-EXACT,0.0,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k1
A1_S100_K1,A_prime,S1,single,MED,1,MED,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_A_k1
B_GNONE,B,S5,path5,MED,1,NONE,P-EXACT,0.0,R-EXACT,0.0,0,0.0,0.0,0,1.0,20.0,0.02,FAVOURABLE,block_B_gamma
B_GLOW,B,S5,path5,MED,1,LOW,P-EXACT,0.0,R-EXACT,0.0,0,0.0,0.0,0,1.0,20.0,0.02,FAVOURABLE,block_B_gamma
B_GMED,B,S5,path5,MED,1,MED,P-EXACT,0.0,R-EXACT,0.0,0,0.0,0.0,0,1.0,20.0,0.02,FAVOURABLE,block_B_gamma
B_GHIGH,B,S5,path5,MED,1,HIGH,P-EXACT,0.0,R-EXACT,0.0,0,0.0,0.0,0,1.0,20.0,0.02,FAVOURABLE,block_B_gamma
C_REAL_GMED,C,S5,path5,MED,4,MED,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,REALISTIC,block_C_real
C_REAL_GHIGH,C,S5,path5,MED,4,HIGH,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,REALISTIC,block_C_real
D_PE_RE_R0,D,S8,single,MED,4,MED,P-EXACT,0.0,R-EXACT,0.0,0,0.0,0.1,0,1.0,10.0,0.05,,block_D
D_PE_RE_R3,D,S8,single,MED,4,MED,P-EXACT,0.0,R-EXACT,0.0,0,0.3,0.1,0,1.0,10.0,0.05,,block_D
D_PE_RN_R0,D,S8,single,MED,4,MED,P-EXACT,0.0,R-NOISE,0.2,0,0.0,0.1,0,1.0,10.0,0.05,,block_D
D_PE_RN_R3,D,S8,single,MED,4,MED,P-EXACT,0.0,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_D
D_PM_RE_R0,D,S8,single,MED,4,MED,P-MULTNOISE,0.1,R-EXACT,0.0,0,0.0,0.1,0,1.0,10.0,0.05,,block_D
D_PM_RE_R3,D,S8,single,MED,4,MED,P-MULTNOISE,0.1,R-EXACT,0.0,0,0.3,0.1,0,1.0,10.0,0.05,,block_D
D_PM_RN_R0,D,S8,single,MED,4,MED,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.0,0.1,0,1.0,10.0,0.05,,block_D
D_PM_RN_R3,D,S8,single,MED,4,MED,P-MULTNOISE,0.1,R-NOISE,0.2,0,0.3,0.1,0,1.0,10.0,0.05,,block_D
