SNR,absolute_scale_status,cadence_k,cadence_over_tau_relax,candidate_support_status,cell_id,complexity_unsupported,conditional_intervention_error_L,conditional_intervention_error_N,conditional_prediction_error_L,conditional_prediction_error_N,cumulative_drawdown_error,edge_f1,estimability_rate_L,estimability_rate_N,estimability_rate_S,false_edge_rate,fit_failure_rate_L,fit_failure_rate_N,forcing_confounding,head_missing_fraction,hydraulic_memory_regime,local_response_status,model,network_dynamics_status,network_strength,observed_node_fraction,placebo_false_effect_rate,pumping_quality,pumping_scale_known,recharge_lag,recharge_quality,scenario,spatial_forcing_useful,strong_edge_undirected_f1,supported_complexity_status,vulnerability_rank_metric
inf,absolute_intervention_scale_supported,1,0.05,nested_or_na,C_G0,True,4.34275464373785e-15,nan,5.023379022571656e-15,nan,5.991680163644424e-15,nan,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,MED,local_response_supported,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-EXACT,True,0,R-EXACT,S0,False,nan,network_dynamics_not_estimable,4.34275464373785e-15
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G1R1,True,0.5648338842738063,nan,0.6144297885350176,nan,0.6000086960522182,nan,1.0,0.0,0.0,nan,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S1,False,nan,local_response_not_identified,0.5648338842738063
10.0,absolute_intervention_scale_unsupported,1,0.05,nested_or_na,G1R2,True,0.5303282436861227,nan,0.5014829151185485,nan,0.6340373378225532,nan,1.0,0.0,0.0,nan,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S1,False,nan,local_response_not_identified,0.5303282436861227
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G1R3,True,0.5717300402578194,nan,0.6473148546666574,nan,0.6362446955184013,nan,1.0,0.0,0.0,nan,0.0,0.0,0.3,0.3,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S1,False,nan,local_response_not_identified,0.5717300402578194
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G1R4,True,0.5463766077976233,nan,0.5525489582402465,nan,0.5661116026452073,nan,1.0,0.0,0.0,nan,0.0,0.0,0.6,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S2,False,nan,local_response_not_identified,0.5463766077976233
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G1R5,True,0.5410808535099827,nan,0.6588561430020148,nan,0.5683348885641236,nan,1.0,0.0,0.0,nan,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S3,False,nan,local_response_not_identified,0.5410808535099827
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,G1R6,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S1,False,0.7272727272727273,local_response_not_identified,0.849709637254372
20.0,absolute_intervention_scale_supported,1,0.04999999999999952,nested_or_na,G2R1,False,0.8234171422087457,0.22928696079196442,0.21869106485340506,0.20064145466811772,0.4420298820458934,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,HIGH,1.0,nan,P-EXACT,True,0,R-EXACT,S4,False,1.0,local_response_not_identified,0.8234171422087457
20.0,absolute_intervention_scale_supported,1,0.04999999999999801,nested_or_na,G2R2,False,0.8226450927861861,0.3029882142364223,0.19903147223957174,0.1879271520912909,0.72526823334832,0.888888888888889,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,HIGH,1.0,nan,P-EXACT,True,0,R-EXACT,S4,True,0.888888888888889,local_response_not_identified,0.8226450927861861
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,G2R3,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,G2R4,False,0.9028527820249279,0.8064570804335882,0.5616397230085644,0.588614549233603,0.7936779536256654,0.5454545454545454,1.0,1.0,1.0,1.0,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.5454545454545454,local_response_not_identified,0.9028527820249279
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G3R1,False,0.5438145175262674,0.5472296754779412,0.6679398615797243,0.7072452304485735,0.5731932394252629,0.0,1.0,1.0,1.0,0.9666666666666667,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S6a,True,0.0,local_response_not_identified,0.5438145175262674
20.0,absolute_intervention_scale_unsupported,1,0.05,nested_or_na,G3R2,False,0.18999091737525461,0.1911736925957802,0.285409197932986,0.28601661243211063,0.2846724245087398,0.0,1.0,1.0,1.0,0.48333333333333334,0.0,0.0,0.0,0.0,MED,local_response_supported,ladder_B0_L_S_N,network_dynamics_not_earned,HIGH,1.0,nan,P-EXACT,True,0,R-EXACT,S6a,False,0.0,network_dynamics_not_earned,0.18999091737525461
10.0,absolute_intervention_scale_unsupported,4,0.22604737529938357,nested_or_na,G3R1b,False,0.5367953811470277,0.5282517794464899,0.4983546137021394,0.5150184491007699,0.561249791445621,0.0,1.0,1.0,1.0,0.9666666666666667,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S6b,False,0.0,local_response_not_identified,0.5367953811470277
20.0,absolute_intervention_scale_unsupported,1,0.07300325519559195,nested_or_na,G3R2b,False,0.17912071831254797,0.1795497438149101,0.1984217955597269,0.19842386698901932,0.2661417474513184,0.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.0,0.0,MED,local_response_supported,ladder_B0_L_S_N,network_dynamics_not_earned,HIGH,1.0,nan,P-EXACT,True,0,R-EXACT,S6b,False,0.0,network_dynamics_not_earned,0.17912071831254797
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,G3R3,True,0.5383908301168661,nan,0.5704952936743306,nan,0.5714752026157481,nan,1.0,0.0,0.0,nan,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,0.6,P-MULTNOISE,True,0,R-NOISE,S8,False,nan,local_response_not_identified,0.5383908301168661
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,G3R4,False,0.8489893107408105,0.7985720240327678,0.5008299445749413,0.5084707890533073,0.6452019100619291,0.75,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,0.6,P-MULTNOISE,True,0,R-NOISE,S8,False,0.75,local_response_not_identified,0.8489893107408105
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,R_S7_delayed,False,0.84933217339489,0.7474400241873349,0.5254040426024746,0.5230371049659724,0.644630975827651,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S7,False,0.7272727272727273,local_response_not_identified,0.84933217339489
10.0,absolute_intervention_scale_unsupported,4,0.2,nested_or_na,R_S7_effmismatch,False,0.8421528607912583,0.7673840249332062,0.4963469449204722,0.5046133556013659,0.6155509541936406,0.75,1.0,1.0,1.0,0.7833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S7,False,0.75,local_response_not_identified,0.8421528607912583
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,R_S7_nonlin,False,0.8484541905598866,0.7562223338262272,0.4570312142077471,0.4636044077531807,0.6513195633582994,0.7386363636363636,1.0,1.0,1.0,0.7166666666666667,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S7,False,0.7386363636363636,local_response_not_identified,0.8484541905598866
