cell_id,conditional_nire_h26_median,conditional_rmse_median,estimability_rate,fit_failure_rate,model,n_estimated,n_fit_failed,n_not_estimable,n_replicates,not_estimable_rate,scenario
CURVE_curve_block_outage_0,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_block_outage_0,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_block_outage_0,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_block_outage_0,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_block_outage_1,1.0,0.6490392957226433,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_block_outage_1,0.8587398759189324,0.5253566592342457,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_block_outage_1,0.9597875257351545,0.530574617965202,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_block_outage_1,0.8033952792746621,0.5584483012713486,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_block_outage_2,1.0,0.6567695627316692,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_block_outage_2,0.8363805760051004,0.538722017067812,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_block_outage_2,0.9187308757192443,0.5357379112096852,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_block_outage_2,0.7834133201783662,0.604034619947427,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_cadence_1,1.0,0.4345131950234503,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_cadence_1,0.844167342916488,0.3984658607263861,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_cadence_1,0.8852925492969963,0.4003380521088211,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_cadence_1,0.7413211102798469,0.40110934335969683,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_cadence_13,1.0,1.0998486326808012,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_cadence_13,0.914099729651747,0.9240937882167188,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_cadence_13,1.199793082636689,0.9723051670154825,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_cadence_13,0.9039218046047723,0.9833117442881001,0.8333333333333334,0.0,N,50,0,10,60,0.16666666666666666,S5
CURVE_curve_cadence_2,1.0,0.5076096610457074,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_cadence_2,0.8235045480408048,0.4253101587851441,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_cadence_2,0.8961314393445841,0.4302639046723995,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_cadence_2,0.7063241935057729,0.4295201515431506,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_cadence_4,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_cadence_4,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_cadence_4,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_cadence_4,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_confounding_0p0,1.0,0.6796530724438712,1.0,0.0,B0,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p0,0.8576787158394541,0.558523115479874,1.0,0.0,L,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p0,0.9076072008573178,0.5651297017354602,1.0,0.0,S,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p0,0.7624843587531576,0.5615057905234553,1.0,0.0,N,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p3,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p3,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p3,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p3,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p6,1.0,0.6042394763287363,1.0,0.0,B0,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p6,0.8393923006131756,0.4683125942198314,1.0,0.0,L,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p6,0.8689739872456048,0.4751861907126269,1.0,0.0,S,60,0,0,60,0.0,S2
