cell_id,estimability_rate,evaluated_model,gate,metrics_pass,pass,state,support_status
C_G0,1.0,L,SGI_G0,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G1R1,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G1R2,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G1R3,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G1R4,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G1R5,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G1R6,1.0,L,SGI_G1,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G2R1,1.0,N,SGI_G2,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G2R2,1.0,N,SGI_G2,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G2R3,1.0,N,SGI_G2,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G2R4,1.0,N,SGI_G2,False,False,ESTIMATED_FAILED_GATE,NOT_SUPPORTED
G3R1,1.0,N,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G3R2,1.0,N,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G3R1b,1.0,N,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G3R2b,1.0,N,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G3R3,1.0,L,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
G3R4,1.0,L,SGI_G3,True,True,ESTIMATED_PASSED_GATE,SUPPORTED
_OVERALL,nan,N,SGI_G2_RAW,False,False,,
_OVERALL,nan,N,NETWORK_SUPPORT_FINAL,nan,False,NOT_EARNED,NOT_EARNED
