cell_id,nire_persistent_step_h26_B0,nire_persistent_step_h26_L,nire_persistent_step_h26_N,nire_persistent_step_h26_S,scenario
CURVE_curve_block_outage_0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_block_outage_1,1.0,0.8587398759189324,0.8033952792746621,0.9597875257351545,S5
CURVE_curve_block_outage_2,1.0,0.8363805760051004,0.7834133201783662,0.9187308757192443,S5
CURVE_curve_cadence_1,1.0,0.844167342916488,0.7413211102798469,0.8852925492969963,S5
CURVE_curve_cadence_13,1.0,0.914099729651747,0.9039218046047723,1.199793082636689,S5
CURVE_curve_cadence_2,1.0,0.8235045480408048,0.7063241935057729,0.8961314393445841,S5
CURVE_curve_cadence_4,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_confounding_0p0,1.0,0.8576787158394541,0.7624843587531576,0.9076072008573178,S2
CURVE_curve_confounding_0p3,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S2
CURVE_curve_confounding_0p6,1.0,0.8393923006131756,0.7183797213043981,0.8689739872456048,S2
CURVE_curve_confounding_0p9,1.0,0.8280881348930988,0.6957969589243689,0.8403744090641819,S2
CURVE_curve_coupling_strength_HIGH,1.0,0.9143245224027869,0.750481795245964,0.926040409036097,S5
CURVE_curve_coupling_strength_LOW,1.0,0.7740166753977622,0.674132723842421,0.7723151309549999,S5
CURVE_curve_coupling_strength_MED,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_coupling_strength_NONE,1.0,0.5804108257126528,0.5726621160263957,0.5678248512510289,S5
CURVE_curve_memory_HIGH,1.0,0.7699019105493068,0.70041835233294,0.9228068376838309,S5
CURVE_curve_memory_LOW,1.0,0.8101611555741808,0.73470920400711,0.6401875400067685,S5
CURVE_curve_memory_MED,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_missing_0p0,1.0,0.8419891955429032,0.7305986657825336,0.9204968855112563,S5
CURVE_curve_missing_0p1,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_missing_0p3,1.0,0.8431261990582504,0.8305197938153861,0.9831937941029889,S5
CURVE_curve_missing_0p5,1.0,0.84383550335167,nan,1.0713867544112925,S5
CURVE_curve_observed_nodes_0p4,1.0,0.8940682149537216,0.9167726197439399,1.0,S5
CURVE_curve_observed_nodes_0p6,1.0,0.8617623488739552,0.8749323491423678,1.0,S5
CURVE_curve_observed_nodes_0p8,1.0,0.8305299754681947,0.787448082188448,0.9693225459242294,S5
CURVE_curve_observed_nodes_1p0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_process_noise_0p05,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_process_noise_0p25,1.0,0.8445365228713559,0.6906121220273432,0.9891754815074729,S5
CURVE_curve_process_noise_1p0,1.0,0.8418261606650226,1.0139269619247326,1.9086834803252666,S5
CURVE_curve_pumping_quality_PEXACT,1.0,0.7063632901983188,0.6302160921727836,0.7657149778147918,S5
CURVE_curve_pumping_quality_PMULTNOISE,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_pumping_quality_PSCALEBIAS,1.0,0.7373218658140444,0.636501878196445,0.8683762601131539,S5
