cell_id,edge_f1,false_edge_any_rate,false_edge_count_median,scenario,strong_edge_undirected_f1
CURVE_curve_block_outage_0,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_block_outage_1,0.7272727272727273,0.7833333333333333,1.0,S5,0.7272727272727273
CURVE_curve_block_outage_2,0.6666666666666666,0.55,1.0,S5,0.6666666666666666
CURVE_curve_cadence_1,0.75,0.8,1.0,S5,0.75
CURVE_curve_cadence_13,0.6666666666666666,0.4666666666666667,0.0,S5,0.6666666666666666
CURVE_curve_cadence_2,0.8,0.7333333333333333,1.0,S5,0.8
CURVE_curve_cadence_4,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_confounding_0p0,0.7272727272727273,0.8,1.0,S2,0.7272727272727273
CURVE_curve_confounding_0p3,0.7272727272727273,0.8,1.0,S2,0.7272727272727273
CURVE_curve_confounding_0p6,0.7272727272727273,0.7833333333333333,1.5,S2,0.7272727272727273
CURVE_curve_confounding_0p9,0.75,0.8166666666666667,2.0,S2,0.75
CURVE_curve_coupling_strength_HIGH,0.8782051282051282,0.0,0.0,S5,0.8782051282051282
CURVE_curve_coupling_strength_LOW,0.6333333333333333,0.8333333333333334,1.0,S5,0.6333333333333333
CURVE_curve_coupling_strength_MED,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_coupling_strength_NONE,0.0,0.9833333333333333,3.0,S5,0.0
CURVE_curve_memory_HIGH,0.6333333333333333,0.9,1.0,S5,0.6333333333333333
CURVE_curve_memory_LOW,0.7272727272727273,0.0,0.0,S5,0.7272727272727273
CURVE_curve_memory_MED,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_missing_0p0,0.8,0.85,1.5,S5,0.8
CURVE_curve_missing_0p1,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_missing_0p3,0.5714285714285715,0.5166666666666667,1.0,S5,0.5714285714285715
CURVE_curve_missing_0p5,nan,nan,0.5,S5,nan
CURVE_curve_observed_nodes_0p4,0.0,0.35,0.0,S5,0.0
CURVE_curve_observed_nodes_0p6,0.3333333333333333,0.65,1.0,S5,0.3333333333333333
CURVE_curve_observed_nodes_0p8,0.5714285714285715,0.65,1.0,S5,0.5714285714285715
CURVE_curve_observed_nodes_1p0,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_process_noise_0p05,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_process_noise_0p25,0.7272727272727273,0.85,2.0,S5,0.7272727272727273
CURVE_curve_process_noise_1p0,0.7272727272727273,0.9666666666666667,2.0,S5,0.7272727272727273
CURVE_curve_pumping_quality_PEXACT,0.75,0.75,1.0,S5,0.75
CURVE_curve_pumping_quality_PMULTNOISE,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_pumping_quality_PSCALEBIAS,0.775,0.7333333333333333,1.0,S5,0.775
CURVE_curve_pumping_quality_PSPATIALAGG,0.75,0.85,1.0,S5,0.75
CURVE_curve_pumping_quality_PTEMPAGG,0.75,0.85,1.0,S5,0.75
CURVE_curve_recharge_quality_REXACT,0.75,0.8166666666666667,1.0,S5,0.75
CURVE_curve_recharge_quality_RLAG,0.75,0.7833333333333333,1.0,S5,0.75
CURVE_curve_recharge_quality_RNOISE,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_recharge_quality_RNOISELAG,0.7272727272727273,0.7833333333333333,1.5,S5,0.7272727272727273
CURVE_curve_recharge_quality_RSCALE,0.75,0.8166666666666667,1.0,S5,0.75
CURVE_curve_snr_10,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
CURVE_curve_snr_2,0.6666666666666665,0.95,2.0,S5,0.6666666666666665
CURVE_curve_snr_20,0.7386363636363636,0.7,1.0,S5,0.7386363636363636
CURVE_curve_snr_5,0.75,0.8833333333333333,2.0,S5,0.75
C_G0,nan,nan,nan,S0,nan
G1R1,nan,nan,nan,S1,nan
G1R2,nan,nan,nan,S1,nan
G1R3,nan,nan,nan,S1,nan
G1R4,nan,nan,nan,S2,nan
G1R5,nan,nan,nan,S3,nan
G1R6,0.7272727272727273,0.8,1.0,S1,0.7272727272727273
G2R1,1.0,0.3,0.0,S4,1.0
G2R2,0.888888888888889,0.6,1.0,S4,0.888888888888889
G2R3,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
G2R4,0.5454545454545454,1.0,3.0,S5,0.5454545454545454
G3R1,0.0,0.9666666666666667,3.0,S6a,0.0
G3R1b,0.0,0.9666666666666667,2.0,S6b,0.0
G3R2,0.0,0.48333333333333334,0.0,S6a,0.0
G3R2b,0.0,0.26666666666666666,0.0,S6b,0.0
G3R3,nan,nan,nan,S8,nan
G3R4,0.75,0.8333333333333334,1.0,S8,0.75
GRID_grid_cadence_x_memory_13_HIGH,0.5357142857142858,0.7833333333333333,1.0,S5,0.5357142857142858
GRID_grid_cadence_x_memory_13_LOW,0.0,0.5166666666666667,1.0,S5,0.0
GRID_grid_cadence_x_memory_13_MED,0.6666666666666666,0.4666666666666667,0.0,S5,0.6666666666666666
GRID_grid_cadence_x_memory_1_HIGH,0.0,0.9833333333333333,3.5,S5,0.0
GRID_grid_cadence_x_memory_1_LOW,0.888888888888889,0.85,1.0,S5,0.888888888888889
GRID_grid_cadence_x_memory_1_MED,0.75,0.8,1.0,S5,0.75
GRID_grid_cadence_x_memory_2_HIGH,0.4,0.9833333333333333,2.0,S5,0.4
GRID_grid_cadence_x_memory_2_LOW,0.923076923076923,0.0,0.0,S5,0.923076923076923
GRID_grid_cadence_x_memory_2_MED,0.8,0.7333333333333333,1.0,S5,0.8
GRID_grid_cadence_x_memory_4_HIGH,0.6333333333333333,0.9,1.0,S5,0.6333333333333333
GRID_grid_cadence_x_memory_4_LOW,0.7272727272727273,0.0,0.0,S5,0.7272727272727273
GRID_grid_cadence_x_memory_4_MED,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
GRID_grid_candsupport_x_coupling_misspecified_HIGH,0.7272727272727272,0.9,2.0,S9,0.7272727272727272
GRID_grid_candsupport_x_coupling_misspecified_LOW,0.6,0.8333333333333334,1.0,S9,0.6
GRID_grid_candsupport_x_coupling_misspecified_MED,0.6666666666666665,0.8,2.0,S9,0.6666666666666665
GRID_grid_candsupport_x_coupling_nested_HIGH,0.8782051282051282,0.0,0.0,S9,0.8782051282051282
GRID_grid_candsupport_x_coupling_nested_LOW,0.6333333333333333,0.8333333333333334,1.0,S9,0.6333333333333333
GRID_grid_candsupport_x_coupling_nested_MED,0.7272727272727273,0.8,1.0,S9,0.7272727272727273
GRID_grid_coupling_x_snr_HIGH_10,0.8782051282051282,0.0,0.0,S5,0.8782051282051282
GRID_grid_coupling_x_snr_HIGH_2,0.923076923076923,0.0,0.0,S5,0.923076923076923
GRID_grid_coupling_x_snr_HIGH_20,0.8333333333333333,0.0,0.0,S5,0.8333333333333333
GRID_grid_coupling_x_snr_HIGH_5,0.923076923076923,0.0,0.0,S5,0.923076923076923
GRID_grid_coupling_x_snr_LOW_10,0.6333333333333333,0.8333333333333334,1.0,S5,0.6333333333333333
GRID_grid_coupling_x_snr_LOW_2,0.6666666666666665,0.9666666666666667,2.0,S5,0.6666666666666665
GRID_grid_coupling_x_snr_LOW_20,0.5714285714285715,0.75,1.0,S5,0.5714285714285715
GRID_grid_coupling_x_snr_LOW_5,0.6666666666666665,0.9666666666666667,2.0,S5,0.6666666666666665
GRID_grid_coupling_x_snr_MED_10,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
GRID_grid_coupling_x_snr_MED_2,0.6666666666666665,0.95,2.0,S5,0.6666666666666665
GRID_grid_coupling_x_snr_MED_20,0.7386363636363636,0.7,1.0,S5,0.7386363636363636
GRID_grid_coupling_x_snr_MED_5,0.75,0.8833333333333333,2.0,S5,0.75
GRID_grid_missing_x_obsnodes_0p0_0p4,0.0,0.38333333333333336,0.0,S5,0.0
GRID_grid_missing_x_obsnodes_0p0_0p6,0.3333333333333333,0.65,1.0,S5,0.3333333333333333
GRID_grid_missing_x_obsnodes_0p0_0p8,0.5714285714285715,0.7,1.0,S5,0.5714285714285715
GRID_grid_missing_x_obsnodes_0p0_1p0,0.8,0.85,1.5,S5,0.8
GRID_grid_missing_x_obsnodes_0p1_0p4,0.0,0.35,0.0,S5,0.0
GRID_grid_missing_x_obsnodes_0p1_0p6,0.3333333333333333,0.65,1.0,S5,0.3333333333333333
GRID_grid_missing_x_obsnodes_0p1_0p8,0.5714285714285715,0.65,1.0,S5,0.5714285714285715
GRID_grid_missing_x_obsnodes_0p1_1p0,0.7272727272727273,0.8,1.0,S5,0.7272727272727273
GRID_grid_missing_x_obsnodes_0p3_0p4,0.0,0.3333333333333333,0.0,S5,0.0
GRID_grid_missing_x_obsnodes_0p3_0p6,0.3333333333333333,0.4666666666666667,0.0,S5,0.3333333333333333
GRID_grid_missing_x_obsnodes_0p3_0p8,0.4,0.5166666666666667,1.0,S5,0.4
GRID_grid_missing_x_obsnodes_0p3_1p0,0.5714285714285715,0.5166666666666667,1.0,S5,0.5714285714285715
GRID_grid_missing_x_obsnodes_0p5_0p4,0.0,nan,0.0,S5,0.0
GRID_grid_missing_x_obsnodes_0p5_0p6,nan,nan,0.0,S5,nan
GRID_grid_missing_x_obsnodes_0p5_0p8,nan,nan,0.0,S5,nan
GRID_grid_missing_x_obsnodes_0p5_1p0,nan,nan,0.5,S5,nan
GRID_grid_recharge_x_confounding_REXACT_0p0,0.8,0.8333333333333334,1.0,S3,0.8
GRID_grid_recharge_x_confounding_REXACT_0p3,0.75,0.8166666666666667,1.0,S3,0.75
GRID_grid_recharge_x_confounding_REXACT_0p6,0.75,0.85,1.0,S3,0.75
GRID_grid_recharge_x_confounding_REXACT_0p9,0.775,0.8833333333333333,1.0,S3,0.775
GRID_grid_recharge_x_confounding_RLAG_0p0,0.75,0.8,1.0,S3,0.75
GRID_grid_recharge_x_confounding_RLAG_0p3,0.75,0.7833333333333333,1.0,S3,0.75
GRID_grid_recharge_x_confounding_RLAG_0p6,0.75,0.75,1.0,S3,0.75
GRID_grid_recharge_x_confounding_RLAG_0p9,0.75,0.8166666666666667,2.0,S3,0.75
GRID_grid_recharge_x_confounding_RNOISELAG_0p0,0.7272727272727273,0.8,1.0,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISELAG_0p3,0.7272727272727273,0.7833333333333333,1.5,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISELAG_0p6,0.7386363636363636,0.7833333333333333,2.0,S3,0.7386363636363636
