topology,memory,gamma,n_nodes,rho_A,tau_relax_realized,tau_target,tau_deviation,min_diagonal_A,max_diagonal_load,burn_in_fine_steps,n_true_edges,n_candidate_pairs,n_decoy_pairs,true_edges_outside_candidates
bridge6,MED,HIGH,6,0.9512294245,20.0,20.0,0.0,0.81191866,0.18808134,161,7,12,5,0
bridge6,MED,MED,6,0.9512294245,20.0,20.0,0.0,0.91481602,0.08518398,161,7,12,5,0
null5,MED,HIGH,5,0.9512294245,20.0,20.0,0.0,0.92606328,0.07393672,160,0,7,7,0
null5,MED,MED,5,0.9512294245,20.0,20.0,0.0,0.92694908,0.07305092,160,0,7,7,0
path5,HIGH,MED,5,0.9875778005,80.0,80.0,0.0,0.97256718,0.02743282,641,4,7,3,0
path5,LOW,MED,5,0.7788007831,4.0,4.0,0.0,0.3304908,0.6695092,104,4,7,3,0
path5,MED,HIGH,5,0.9512294245,20.0,20.0,0.0,0.78583923,0.21416077,161,4,7,3,0
path5,MED,LOW,5,0.9512294245,20.0,20.0,0.0,0.86499867,0.13500133,161,4,7,3,0
path5,MED,MED,5,0.9512294245,20.0,20.0,0.0,0.86487301,0.13512699,160,4,7,3,0
path5,MED,NONE,5,0.9512294245,20.0,20.0,0.0,0.92807767,0.07192233,160,4,7,3,0
path5_hidden,MED,HIGH,5,0.9512294245,20.0,20.0,0.0,0.85003369,0.14996631,160,5,7,3,1
path5_hidden,MED,LOW,5,0.9512294245,20.0,20.0,0.0,0.92921449,0.07078551,160,5,7,3,1
path5_hidden,MED,MED,5,0.9512294245,20.0,20.0,0.0,0.88750016,0.11249984,160,5,7,3,1
single,MED,MED,1,0.9512294245,20.0,20.0,0.0,0.95122942,0.04877058,160,0,0,0,0
star5,MED,HIGH,5,0.9512294245,20.0,20.0,0.0,0.67327708,0.32672292,161,4,10,6,0
star5,MED,MED,5,0.9512294245,20.0,20.0,0.0,0.74041511,0.25958489,160,4,10,6,0
