session,source_member,hardware,workload_family,n_samples,duration_s,mean_gpu_sum_W,mean_gpu_W_per_device,mean_cpu_W,cpu_power_present,mean_gpu_util_pct,mean_mem_util,mean_gpu_temp_not_used_in_models,experimental_unit
Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,B200,diffusion,45000,900.0,2499.6838240222223,312.4604780027778,,False,53.858491666666666,5.071822222222222,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize256,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize256.csv,B200,diffusion,45000,900.0,2489.2549054,311.156863175,,False,51.39386388888889,5.698816666666667,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize512,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize512.csv,B200,diffusion,45000,900.0,2500.3823667555557,312.54779584444447,,False,50.13130555555556,6.413172222222222,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize128_ImageSize128_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize128_BatchSize128.csv,B200,diffusion,45000,900.0,5033.664286377778,629.2080357972222,,False,90.84782777777778,16.42535,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize128_ImageSize64_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,B200,diffusion,45000,900.0,3901.156158177778,487.6445197722222,,False,67.4183,14.582108333333334,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize256_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Model_size_impact/Image_generation_B200_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,B200,diffusion,45000,900.0,2813.867722511111,351.73346531388887,,False,68.8234638888889,7.516947222222222,True,independent_session
Image_generation_B200_8GPU_Node_ModelSize512_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Model_size_impact/Image_generation_B200_8GPU_Node_ModelSize512_ImageSize32_BatchSize128.csv,B200,diffusion,45000,900.0,2913.8733589555554,364.23416986944443,,False,78.86232222222222,8.721383333333334,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,H100,diffusion,45000,900.0,1719.0903804444445,214.88629755555556,,False,44.75971111111111,10.9906,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize256,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize256.csv,H100,diffusion,45000,900.0,1658.0191873777776,207.2523984222222,,False,93.12784722222223,10.054819444444444,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize512,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize512.csv,H100,diffusion,45000,900.0,1727.5321763999998,215.94152204999997,,False,63.09167222222222,11.96231388888889,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize128_ImageSize16_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize16_BatchSize128.csv,H100,diffusion,45000,900.0,1396.0015556222222,174.50019445277778,,False,36.40798888888889,5.119680555555555,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize128_ImageSize64_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,H100,diffusion,45000,900.0,3235.7636362444446,404.47045453055557,,False,73.56324444444445,31.663508333333333,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize256_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,H100,diffusion,45000,900.0,2089.444467,261.180558375,,False,66.33569444444444,15.762863888888889,True,independent_session
Image_generation_H100_8GPU_Node_ModelSize512_ImageSize32_BatchSize128,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize512_ImageSize32_BatchSize128.csv,H100,diffusion,45000,900.0,2139.6760671555558,267.45950839444447,,False,77.91443055555555,15.4179,True,independent_session
LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize16,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,B200,LLM,45000,900.0,5340.092352622222,667.5115440777778,,False,76.39156666666666,18.646691666666666,True,independent_session
LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize2,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize2.csv,B200,LLM,45000,900.0,2996.9096493999996,374.61370617499995,,False,74.76539166666667,7.343227777777778,True,independent_session
LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize32,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize32.csv,B200,LLM,45000,900.0,5882.031692666667,735.2539615833334,,False,80.70829166666667,21.474125,True,independent_session
LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z1_BatchSize16,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/DeepSpeed_parallel_sitting/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z1_BatchSize16.csv,B200,LLM,45000,900.0,5090.269905377778,636.2837381722222,,False,74.30996111111111,18.985755555555556,True,independent_session
LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/DeepSpeed_parallel_sitting/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16.csv,B200,LLM,45000,900.0,5259.777129466666,657.4721411833333,,False,77.53769166666666,19.442230555555554,True,independent_session
