archetype,upstream_function,upstream_variable,equation_source_line,units,physical_meaning,included_in_upstream_WUE,our_candidate_boundary,withdrawal_interpretation,consumption_interpretation,return_discharge_interpretation,confidence,notes
hyperscale_AE_adiabatic_water_chiller,Cooling_Tower,Water_CT_evaporated,Water_CT_evaporated = Q/Latent_heat_vaporization(T_CT),kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Cooling-tower evaporative loss,yes,W_cons (evaporative) and also part of W_use/model,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Q is the heat argument passed by the parent function; for some WE archetypes that argument is Q_IT-side rather than condenser rejection. See audit JSON.
hyperscale_AE_adiabatic_water_chiller,Cooling_Tower,Water_CT_windage,Water_CT_windage = m_CT * Windage_p,kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Drift/windage as a fraction of circulating tower water,yes,W_use/model; hydrologic fate NOT_IDENTIFIED (may deposit locally or leave site),"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",medium,Physical water leaving the tower; do not over-claim aquifer vs drift deposition.
hyperscale_AE_adiabatic_water_chiller,Cooling_Tower,Water_CT_DF,"Water_CT_DF = max(Water_CT_evaporated/(CC-1) - Water_CT_windage, 0)",kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Drain-off / blowdown to hold cycles of concentration,yes,W_discharge/return candidate; included in W_use/model; NOT automatically W_cons,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Standard makeup identity makeup ≈ evap + drift + blowdown. Blowdown is typically wastewater/discharge.
hyperscale_AE_adiabatic_water_chiller,PUE_WUE_AE_Chiller,hd_amount (and hd_amount_ae where present),"hd_amount = max(Q_heat_latent/2266, 0) and/or AE humidification m_cd_dry*delta_d",kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Humidification / adiabatic water added to air,yes,W_use/model; consumption if evaporated to room air that is exhausted; source NOT_IDENTIFIED,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",medium,"w_eff is hard-coded to 1. AE_Chiller also uses Air_side_economizer outputs with a suspicious HD_use = d_sa indexing (tuple slot 1 is humidity, not a 0/1 flag)."
hyperscale_AE_adiabatic_water_chiller,PUE_WUE_AE_Chiller,WUE,WUE = sum(Water_comp)*3600/Power_IT,kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,IT-normalized sum of humidification + tower evap + windage + drain-off,yes (is the metric),W_use/model intensity. W_source/withdrawal = NOT_IDENTIFIED. W_cons = NOT_IDENTIFIED as a separate output.,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Do not map WUE to groundwater pumping. 2022 preprint Eq (1) includes draw-off in on-site use; code matches.
hyperscale_WE_water_chiller,Cooling_Tower,Water_CT_evaporated,Water_CT_evaporated = Q/Latent_heat_vaporization(T_CT),kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Cooling-tower evaporative loss,yes,W_cons (evaporative) and also part of W_use/model,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Q is the heat argument passed by the parent function; for some WE archetypes that argument is Q_IT-side rather than condenser rejection. See audit JSON.
hyperscale_WE_water_chiller,Cooling_Tower,Water_CT_windage,Water_CT_windage = m_CT * Windage_p,kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Drift/windage as a fraction of circulating tower water,yes,W_use/model; hydrologic fate NOT_IDENTIFIED (may deposit locally or leave site),"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",medium,Physical water leaving the tower; do not over-claim aquifer vs drift deposition.
hyperscale_WE_water_chiller,Cooling_Tower,Water_CT_DF,"Water_CT_DF = max(Water_CT_evaporated/(CC-1) - Water_CT_windage, 0)",kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Drain-off / blowdown to hold cycles of concentration,yes,W_discharge/return candidate; included in W_use/model; NOT automatically W_cons,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Standard makeup identity makeup ≈ evap + drift + blowdown. Blowdown is typically wastewater/discharge.
hyperscale_WE_water_chiller,PUE_WUE_Chiller_Watereconomier,hd_amount (and hd_amount_ae where present),"hd_amount = max(Q_heat_latent/2266, 0) and/or AE humidification m_cd_dry*delta_d",kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,Humidification / adiabatic water added to air,yes,W_use/model; consumption if evaporated to room air that is exhausted; source NOT_IDENTIFIED,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",medium,"w_eff is hard-coded to 1. AE_Chiller also uses Air_side_economizer outputs with a suspicious HD_use = d_sa indexing (tuple slot 1 is humidity, not a 0/1 flag)."
hyperscale_WE_water_chiller,PUE_WUE_Chiller_Watereconomier,WUE,WUE = sum(Water_comp)*3600/Power_IT,kg/s internally; WUE constructed as sum(kg/s)*3600/Power_IT → L/kWh at 1 kg/L,IT-normalized sum of humidification + tower evap + windage + drain-off,yes (is the metric),W_use/model intensity. W_source/withdrawal = NOT_IDENTIFIED. W_cons = NOT_IDENTIFIED as a separate output.,"NOT automatically groundwater. Closest reading is facility makeup/source water if WUE follows ASHRAE/The Green Grid site WUE, but the code never names a source.",NOT_IDENTIFIED as a named output. Evaporation is the only term that is unambiguously consumptive in the hydrologic sense.,"Drain-off/blowdown is a candidate discharge/return term, not automatically consumptive.",high,Do not map WUE to groundwater pumping. 2022 preprint Eq (1) includes draw-off in on-site use; code matches.
