n,B_kw,beta,pearson,spearman,R2,MAE_kw,RMSE_kw,sum_esif_kWh,sum_kestrel_kWh,kestrel_share_of_esif,replay,resolution,epoch,identical_timestamps,lag_optimized
14509,1830.9318862291052,0.7316860125466833,0.5018585750231824,0.28441390514688103,0.25186202932429924,400.3307270589137,504.6406559578238,38849873.07649521,16789828.05266255,0.4321720181582952,measured_energy,1h,all,True,False
14509,1836.8270083553168,0.7194864596002708,0.48515109157858555,0.18681125017271966,0.2353715816598928,402.90041215224653,510.1719832027948,38849873.07649521,16955635.299996577,0.4364399149158355,frozen_model_predicted,1h,all,True,False
4223,2055.9829601172314,1.0978173890909857,0.7657275306864466,0.6450346823294705,0.5863386512511632,263.92755169252877,407.69704801278885,13387114.524172122,4285501.878862223,0.3201214026461198,measured_energy,1h,eagle_coexist,True,False
4223,2060.6632780032073,1.0874788513317661,0.7529684324457164,0.5730726060582536,0.5669614602597598,277.1307960971116,417.13667001943713,13387114.524172122,4308068.607888074,0.3218071078804408,frozen_model_predicted,1h,eagle_coexist,True,False
1571,2017.1487480759342,0.44802871762767915,0.4045640016678662,0.2592171665795311,0.16367203144551767,170.10742657888053,299.08466857428164,3992437.48195206,1838044.6750940373,0.4603815797750062,measured_energy,1h,post_eagle_pre_gpu_ga,True,False
1571,1999.8887952182886,0.4630631652413822,0.39922823778623406,0.17672734841125243,0.15938318584590228,174.63971105782596,299.85056885451957,3992437.48195206,1836924.74053885,0.4601010657881874,frozen_model_predicted,1h,post_eagle_pre_gpu_ga,True,False
8715,1319.518672367477,0.9347883648015306,0.8162142435485737,0.6573305783619798,0.6662056913715704,151.21807736044204,249.21026468858685,21470321.070371024,10666281.498706292,0.49679189536786794,measured_energy,1h,post_gpu_ga,True,False
8715,1279.4223621361107,0.9546292653653546,0.8105870258670678,0.5571878137468204,0.6570513265040179,156.64999302554105,252.60446709403922,21470321.070371024,10810641.951569654,0.5035156165637553,frozen_model_predicted,1h,post_gpu_ga,True,False
616,1703.0124540987765,0.8349368920361491,0.5630735919586513,0.35300353144015906,0.3170518699612177,398.44678934698516,490.86518792337193,39317256.92103069,16935316.82993616,0.430734953456977,measured_energy,1day,all,True,False
616,1706.4558034409379,0.8238760452873386,0.5482828037249629,0.2511833940964084,0.30061403286050614,401.7859047917481,496.7373659542215,39317256.92103069,17100890.848266,0.4349461836214414,frozen_model_predicted,1day,all,True,False
181,1882.9798836231773,1.2533062227577145,0.8169044204214416,0.721238202364634,0.6673328321040919,247.48386525595296,394.8804279702178,13601352.466853315,4325908.34861141,0.3180498674050032,measured_energy,1day,eagle_coexist,True,False
181,1882.5330457929688,1.2473171781553618,0.806945015961562,0.6613322797517276,0.6511602587852057,261.1910338369903,404.36505407618387,13601352.466853315,4348235.565832242,0.31969141130846745,frozen_model_predicted,1day,eagle_coexist,True,False
67,1913.3822655556976,0.5206662621088141,0.5054845183046407,0.32923617208077266,0.2555145982456748,139.69547541284854,240.83512318798785,4062077.4629363846,1892495.9261464374,0.46589360823719855,measured_energy,1day,post_eagle_pre_gpu_ga,True,False
67,1891.5163925820657,0.5395297658079463,0.5017222820082903,0.22799106073908534,0.2517252482636063,147.61532389468363,241.44725758573173,4062077.4629363846,1891497.3155117691,0.4656477708193305,frozen_model_predicted,1day,post_eagle_pre_gpu_ga,True,False
368,1215.513206478751,1.0188022245590675,0.8789520258835711,0.7699605811900492,0.7725566638048321,127.09401491076136,207.91726196260123,21653826.991240997,10716912.555178314,0.4949200231217013,measured_energy,1day,post_gpu_ga,True,False
368,1178.2022748666427,1.035611905643467,0.8742745143756729,0.6633172937952705,0.7643559264868179,130.08751845409543,211.6324207606504,21653826.991240997,10861157.966921993,0.5015814512287065,frozen_model_predicted,1day,post_gpu_ga,True,False
