partition,n,e_null,e0,epos,e_wh,median_wh_per_node_hour
standard,4028293,135984,777942,3114367,13582991184.390078,688.2666666666667
short,2640217,65388,352150,2222679,508833764.3636096,520.1783783783784
gpu-h100,963052,861470,101582,0,0.0,
shared,861763,18924,97304,745535,945884234.8680519,692.8207547169812
standard-stdby,765945,20709,339711,405525,3727287633.410567,740.9787474036068
shared-stdby,231483,2314,46533,182636,239386027.79138914,657.0416282925033
gpu-h100-stdby,225047,168469,56578,0,0.0,
csc,164434,5722,40929,117783,21978203.037499934,724.3591269841269
long,129876,4864,63478,61534,3533886064.088054,677.8721402795782
debug,127640,5292,21706,100642,13776311.302777765,430.49011229118264
gpu-h100s,110893,106832,4061,0,0.0,
short-stdby,62494,1203,17081,44210,45247231.160555586,491.23086782481806
sharedl,52952,589,41289,11074,59002810.80749997,594.7940674226127
project_3,42699,42605,94,0,0.0,
bigmem,33217,4672,13525,15020,25475868.285833336,447.6053147756636
gpu-hpe,17087,16133,954,0,0.0,
hbw,16677,67,1657,14953,417364673.6472222,619.2340909090909
debug-gpu,12145,10572,1573,0,0.0,
nvme,10407,129,119,10159,58379443.16472225,644.7735947891044
"project_3,gpu-h100s",9660,0,9660,0,0.0,
long-stdby,9577,349,2807,6421,516262732.8019442,694.1208196404408
gpu-h100l,8973,7060,1913,0,0.0,
gpu-h100s-stdby,7553,7280,273,0,0.0,
medmem,5875,1,1541,4333,51186686.81083334,495.6674325100517
debug-stdby,5339,162,1047,4130,627749.977222222,411.09090909090907
"project_3,gpu-h100",4091,0,4091,0,0.0,
"gpu-h100,project_3",3177,0,3177,0,0.0,
bigmem-stdby,2236,503,332,1401,1908666.7122222227,460.50000000000006
bigmeml,1533,134,552,847,22415663.766944446,438.6599498779452
"long,long-stdby,shared,shared-stdby,short,short-stdby,standard,standard-stdby",1251,1251,0,0,,
hbwl,1144,4,143,997,150509811.25388888,727.4948693990059
,1038,102,450,486,6760252.56638889,432.81629921044726
gpu-a100,812,625,187,0,0.0,
"standard-stdby,long,shared,short,standard,long-stdby,shared-stdby,short-stdby",444,444,0,0,,
"project_3,short",169,0,169,0,0.0,
debug-gpu-stdby,122,71,51,0,0.0,
"gpu-h100s,project_3",114,0,114,0,0.0,
sharedl-stdby,102,2,16,84,4783308.913611111,780.1806652875543
hbw-stdby,102,0,31,71,3564432.9861111115,300.08413098236775
bigmeml-stdby,98,4,31,63,1454457.9147222224,521.0224401282293
"standard,project_3",72,0,72,0,0.0,
"project_3,debug",53,0,53,0,0.0,
"debug,project_3",46,0,46,0,0.0,
"short,project_3",34,0,34,0,0.0,
"project_3,debug-gpu",12,0,12,0,0.0,
medmem-stdby,11,0,11,0,0.0,
"project_3,project_3",5,0,5,0,0.0,
"gpu-h100l,project_3",3,0,3,0,0.0,
"debug-gpu,project_3",3,0,3,0,0.0,
"medmem,long",2,0,2,0,0.0,
"gpu-h100,gpu-a100",1,0,1,0,0.0,
"debug,short",1,0,1,0,0.0,
"nvme,bigmem",1,0,1,0,0.0,
"short,debug,shared",1,0,1,0,0.0,
"short,nvme,shared",1,0,1,0,0.0,
