slurm_job_id,workload_family,nodes,duration_s,energy_compute_Wh,p_compute_W_per_node,partition,state_simple,nodes_used,gpus_requested,kestrel_duration_s,energy_wh,hardware_branch
10742795,llama2_70b_lora,2,5320.0,7784.899557258303,2633.9885720046886,gpu-h100,CANCELLED,2,8.0,5353.0,,H100
10742796,llama2_70b_lora,2,5833.6,8563.489699956603,2642.32745815995,gpu-h100,CANCELLED,2,8.0,5867.0,,H100
10742797,llama2_70b_lora,2,5312.2,7788.695861139546,2639.142455112982,gpu-h100,CANCELLED,2,8.0,5341.0,,H100
10742798,llama2_70b_lora,2,5318.8,7722.6125718764615,2613.5035401552286,gpu-h100,CANCELLED,2,8.0,5349.0,,H100
10742800,llama2_70b_lora,2,5313.2,7762.116729441024,2629.641292063887,gpu-h100,CANCELLED,2,8.0,5348.0,,H100
10742829,llama2_70b_lora,4,3457.8,9830.742732448836,2558.7565675296296,gpu-h100,COMPLETED,4,16.0,3493.0,,H100
10742831,llama2_70b_lora,4,3393.0,9779.474517250013,2594.025070888598,gpu-h100,COMPLETED,4,16.0,3430.0,,H100
10742832,llama2_70b_lora,4,3349.0,9737.425568074303,2616.8059155768506,gpu-h100,COMPLETED,4,16.0,3359.0,,H100
10742833,llama2_70b_lora,4,2880.0,8138.111794635658,2543.159935823643,gpu-h100,COMPLETED,4,16.0,2911.0,,H100
10742834,llama2_70b_lora,4,4044.4,11547.676426114955,2569.7034871682968,gpu-h100,COMPLETED,4,16.0,4077.0,,H100
10742766,llama2_70b_lora,8,2078.2,11297.810552881927,2446.3548978909,gpu-h100,CANCELLED,8,32.0,2117.0,,H100
10742817,llama2_70b_lora,8,2545.8,13980.089208869578,2471.144686931931,gpu-h100,CANCELLED,8,32.0,2568.0,,H100
10742818,llama2_70b_lora,8,2301.4,12609.051176538003,2465.4875421230995,gpu-h100,CANCELLED,8,32.0,2327.0,,H100
10742819,llama2_70b_lora,8,2312.0,12706.927284867226,2473.2341168642956,gpu-h100,CANCELLED,8,32.0,2337.0,,H100
10742820,llama2_70b_lora,8,2539.6,14052.90611377081,2490.080229641229,gpu-h100,CANCELLED,8,32.0,2568.0,,H100
10742821,llama2_70b_lora,8,2301.4,12653.53528445144,2474.1856600343913,gpu-h100,CANCELLED,8,32.0,2327.0,,H100
10742842,llama2_70b_lora,16,2074.6,22037.997676729305,2390.1231453119126,gpu-h100,COMPLETED,16,64.0,2110.0,,H100
10742843,llama2_70b_lora,16,2055.6,22017.920993984724,2410.0176219335294,gpu-h100,COMPLETED,16,64.0,2083.0,,H100
10742844,llama2_70b_lora,16,2070.2,22099.07765453385,2401.8415961115434,gpu-h100,COMPLETED,16,64.0,2098.0,,H100
10742845,llama2_70b_lora,16,2091.8,22170.028819798412,2384.671806317355,gpu-h100,COMPLETED,16,64.0,2120.0,,H100
10742846,llama2_70b_lora,16,2036.6,21945.371665175342,2424.4862146049554,gpu-h100,COMPLETED,16,64.0,2065.0,,H100
10742951,stable_diffusion,2,12754.0,18621.660193825974,2628.1157557540187,gpu-h100,COMPLETED,2,8.0,12795.0,,H100
10742971,stable_diffusion,2,12578.8,18673.457455040043,2672.1327486780997,gpu-h100,COMPLETED,2,8.0,12588.0,,H100
10742974,stable_diffusion,2,12636.2,18680.026399572325,2660.930304935834,gpu-h100,COMPLETED,2,8.0,12658.0,,H100
10742976,stable_diffusion,2,15099.0,22285.86639944038,2656.769290614788,gpu-h100,COMPLETED,2,8.0,15119.0,,H100
10742977,stable_diffusion,2,12568.8,18556.70019346356,2657.5377401370383,gpu-h100,COMPLETED,2,8.0,12578.0,,H100
10742978,stable_diffusion,2,10053.8,14887.297043454395,2665.3737570090825,gpu-h100,COMPLETED,2,8.0,10061.0,,H100
10742981,stable_diffusion,4,7300.0,16981.46894006934,2093.6057597345757,gpu-h100,COMPLETED,4,16.0,7306.0,,H100
10742982,stable_diffusion,4,5632.4,15458.224228692457,2470.066367059018,gpu-h100,COMPLETED,4,16.0,5668.0,,H100
10742983,stable_diffusion,4,5607.0,15468.703882087791,2482.938022807029,gpu-h100,COMPLETED,4,16.0,5632.0,,H100
10742986,stable_diffusion,4,5661.6,15483.295028552011,2461.312266090294,gpu-h100,COMPLETED,4,16.0,5691.0,,H100
10742988,stable_diffusion,4,5585.8,15371.309448106731,2476.6691437745817,gpu-h100,COMPLETED,4,16.0,5608.0,,H100
10742992,stable_diffusion,8,3893.8,17442.784380213805,2015.8336255319255,gpu-h100,COMPLETED,8,32.0,3926.0,,H100
10742993,stable_diffusion,8,3896.4,17430.667258278678,2013.0890735615965,gpu-h100,COMPLETED,8,32.0,3927.0,,H100
10742994,stable_diffusion,8,3019.0,15938.673860561255,2375.754633074715,gpu-h100,COMPLETED,8,32.0,3036.0,,H100
10742995,stable_diffusion,8,2949.2,15841.47566492656,2417.151786659756,gpu-h100,COMPLETED,8,32.0,2958.0,,H100
10742996,stable_diffusion,8,3063.2,16037.678356752413,2356.018301298833,gpu-h100,COMPLETED,8,32.0,3092.0,,H100
10743000,stable_diffusion,16,1402.8,13934.060786596036,2234.932760895429,gpu-h100,COMPLETED,16,64.0,1413.0,,H100
10743001,stable_diffusion,16,1809.8,15211.2337432802,1891.1081844612913,gpu-h100,COMPLETED,16,64.0,1839.0,,H100
10743003,stable_diffusion,16,1486.6,14113.496845179938,2136.1070833885956,gpu-h100,COMPLETED,16,64.0,1511.0,,H100
10743005,stable_diffusion,16,1666.6,14876.364912448982,2008.3895987645633,gpu-h100,COMPLETED,16,64.0,1677.0,,H100
