profile_id,dataset,request_rate,num_prompts,duration_s,mean_compute_W,max_compute_W,energy_compute_Wh,peak_to_mean
online_rate_000000,likaixin/InstructCoder,1.0,300.0,179.954,2069.548984858596,2097.8313451129843,103.45100500590107,1.0136659535296384
online_rate_000001,likaixin/InstructCoder,2.0,600.0,179.846,2085.32547799614,2118.5235411018093,104.17706830991493,1.0159198472641167
online_rate_000002,likaixin/InstructCoder,3.0,900.0,179.943,2088.905829384336,2140.690436477556,104.41221712691821,1.0247903023510077
online_rate_000003,likaixin/InstructCoder,4.0,1200.0,179.858,2090.571123836625,2163.1576881088445,104.4460947752799,1.0347209255138894
online_rate_000004,likaixin/InstructCoder,5.0,1500.0,179.988,2091.841938762442,2133.0236601790784,104.58512413165957,1.0196868227247609
online_rate_000005,likaixin/InstructCoder,6.0,1800.0,179.842,2106.71909593539,2160.371749744714,105.2434932364479,1.0254673980564561
online_rate_000006,likaixin/InstructCoder,7.0,2100.0,179.925,2212.594247222477,2273.1681280072994,110.58361664764006,1.0273768590245873
online_rate_000007,likaixin/InstructCoder,8.0,2400.0,179.924,2215.768588274716,2286.0676588602514,110.74165207687223,1.031726720451558
online_rate_000008,likaixin/InstructCoder,9.0,2700.0,179.925,2227.604799740865,2301.560204433025,111.33383155371533,1.0331995175718616
online_rate_000009,likaixin/InstructCoder,10.0,3000.0,179.885,2256.796927428762,2337.388521566608,112.76775424736746,1.0357106096513815
online_rate_000010,likaixin/InstructCoder,11.0,3300.0,179.879,2280.464267989332,2469.193434525118,113.94656446157028,1.0827590983050952
online_rate_000011,likaixin/InstructCoder,12.0,3600.0,179.871,2314.276070033014,2413.18245982391,115.63087527580785,1.0427375070207094
online_rate_000012,likaixin/InstructCoder,13.0,3900.0,179.946,2320.516247730672,2654.742638512669,115.99100464281766,1.1440310496032298
online_rate_000013,likaixin/InstructCoder,14.0,4200.0,179.89,2367.2485327562217,2443.1520792727183,118.29009404375464,1.0320640378338817
online_rate_000014,likaixin/InstructCoder,15.0,4500.0,179.883,2403.080458153748,2487.4959548233705,120.07592279279741,1.0351280359270525
online_rate_000015,likaixin/InstructCoder,16.0,4800.0,179.883,2436.697858973924,2497.897737190247,121.75570026827957,1.0251159075758756
online_rate_000016,likaixin/InstructCoder,17.0,5100.0,179.934,2473.372480004867,2557.165866095278,123.62327883810994,1.0338781913229043
online_rate_000017,likaixin/InstructCoder,18.0,5400.0,179.919,2506.503254393894,2581.1225224354603,125.26876639647087,1.029770265771951
online_rate_000018,likaixin/InstructCoder,19.0,5700.0,179.879,2547.1366811642224,2626.3960460262624,127.27122196420532,1.0311170442670603
online_rate_000019,likaixin/InstructCoder,20.0,6000.0,179.871,2575.040032566796,2646.9412523744127,128.65972936050616,1.0279223697100917
online_rate_000020,likaixin/InstructCoder,21.0,6300.0,179.953,2599.055468572684,2662.968730139145,129.91884131557228,1.0245909571147245
online_rate_000021,likaixin/InstructCoder,22.0,6600.0,179.866,2632.2323972042245,2694.937572942341,131.51364232098197,1.0238220515045395
online_rate_000022,likaixin/InstructCoder,23.0,6900.0,179.904,2662.684984437354,2749.223655119959,133.06324428894936,1.0325005290480846
online_rate_000023,likaixin/InstructCoder,24.0,7200.0,179.905,2673.2976717346696,2853.3733161240098,133.59433823150715,1.067360865306291
online_rate_000024,likaixin/InstructCoder,25.0,7500.0,179.892,2693.9584906264267,2918.4176168219883,134.61710577660256,1.0833194449641903
online_rate_000025,likaixin/InstructCoder,26.0,7800.0,179.901,2747.332520194958,2823.087799397119,137.29107436544254,1.027574120950159
online_rate_000026,likaixin/InstructCoder,27.0,8100.0,179.9,2769.862707821216,2847.4892397016297,138.416194760288,1.0280254077796782
online_rate_000027,likaixin/InstructCoder,28.0,8400.0,179.863,2793.545049808404,2857.94069688617,139.57094258158028,1.0230515871158699
