profile,mode,aggregation_s,n,mean_W,p95_W,p99_W,max_W,std_W,cv,peak_to_mean,ramp_p95_W_per_s
llama2_70b_lora_N2_slurm10742795,training,0.2,26601,5267.813212123757,6032.3039426328205,6045.081905239646,6144.482505022801,1078.2779245802626,0.20469175370505346,1.1664199654766438,1315.6582446844288
llama2_70b_lora_N2_slurm10742795,training,1.0,5321,5267.053250111539,6032.126058143434,6045.064059738135,6075.31932648656,1080.6395060726768,0.20516965649621874,1.1534569783128557,1085.916315974262
llama2_70b_lora_N2_slurm10742795,training,10.0,533,5252.321638474332,6031.763086423731,6046.881495982708,6066.098400236873,1091.2897275873706,0.20777282937005415,1.1549365819110278,33.06965720105799
llama2_70b_lora_N2_slurm10742795,training,60.0,89,5244.187301530639,6032.469876854543,6042.923944518597,6049.706986404606,1087.9534765712224,0.20745892814577344,1.1536023865201872,16.204596469993
llama2_70b_lora_N2_slurm10742795,training,300.0,18,5197.599202257162,6033.418151248102,6035.052243681687,6035.460766790084,1188.0566979007856,0.2285779744973118,1.1612016494402,6.434938091979103
llama2_70b_lora_N8_slurm10742766,training,0.2,10392,19569.328510212705,24109.28010011847,24141.699927622863,24240.05780417469,5802.773770171691,0.2965239081731077,1.2386760123897178,5393.221644832483
llama2_70b_lora_N8_slurm10742766,training,1.0,2079,19564.97599442465,24108.73227004551,24136.686044079514,24199.4262152343,5810.111557294751,0.296964921344674,1.2368748227511401,4573.446673856915
llama2_70b_lora_N8_slurm10742766,training,10.0,208,19472.738123638566,24115.170807206337,24142.42783323653,24199.4262152343,5930.6387706414935,0.30456111169297273,1.2427336136081375,363.2899053213032
llama2_70b_lora_N8_slurm10742766,training,60.0,35,19242.235645523277,24099.912331431322,24115.262332997838,24115.99602039397,6283.700389846142,0.32655770907306453,1.2532845176960805,83.59215770349896
llama2_70b_lora_N8_slurm10742766,training,300.0,7,17893.002901215677,23105.778955091693,23864.52731501793,24054.214404999493,6569.212485800712,0.36713862519713725,1.344336360855629,53.84983174115358
stable_diffusion_N2_slurm10742951,training,0.2,63771,5256.164080654432,5949.580513009489,5958.211239805939,6014.492746338912,1186.9038231676657,0.2258117906813684,1.1442741615459735,3823.947612615737
stable_diffusion_N2_slurm10742951,training,1.0,12755,5256.204085927964,5949.709982086774,5958.445538060099,5997.518278116114,1186.805573185867,0.22579137982164948,1.1410360366662349,2885.2268681947303
stable_diffusion_N2_slurm10742951,training,10.0,1276,5243.408275652462,5950.672013993721,5959.507357734236,5979.540854657862,1202.1633239239586,0.22927135571459342,1.1403920008334272,368.4653848229383
stable_diffusion_N2_slurm10742951,training,60.0,213,5239.83840894461,5950.821003291838,5956.837994911803,5959.477270930138,1213.7795351892735,0.231644459324796,1.1373398959702796,64.80988296228247
stable_diffusion_N2_slurm10742951,training,300.0,43,5311.135345694311,5950.4843966448125,5954.375462727171,5956.963122622272,1151.9744962237974,0.2168979740193766,1.121598817369911,12.500392328622226
stable_diffusion_N8_slurm10742992,training,0.2,19470,16126.01467095919,23734.099196606843,23764.5144881819,23809.53969341502,6780.281663774411,0.4204561264591181,1.4764676939239574,2459.246778091443
stable_diffusion_N8_slurm10742992,training,1.0,3894,16126.329319334754,23734.451504752495,23762.179705995066,23791.11262488802,6772.931177751724,0.41999211622394933,1.4752962161304453,4930.880654302558
stable_diffusion_N8_slurm10742992,training,10.0,390,16677.169748700297,23739.804435529455,23762.397388857695,23791.11262488802,6663.945261062033,0.3995849032826073,1.4265677560032113,1762.0825606920164
stable_diffusion_N8_slurm10742992,training,60.0,65,15566.022179683277,23730.426919553483,23764.230706538317,23771.540062864264,7090.018173835506,0.4554804106015842,1.5271428877886863,219.09000062317565
stable_diffusion_N8_slurm10742992,training,300.0,13,16785.287382608705,23603.636640497934,23665.97206986181,23681.55592720278,6812.0783131076405,0.4058362634985719,1.4108519793196583,49.60017871875968
inference_offline_llama3_70b_000000,offline_inference,0.2,256,2819.9827101567253,3024.487292996819,3039.0640568839303,3041.7590250521253,210.6796808444533,0.07470956473798536,1.0786445654778765,214.8525918948087
inference_offline_llama3_70b_000000,offline_inference,1.0,52,2803.9492895725057,3024.2255456576963,3036.268938660279,3038.108436194437,305.339074346558,0.10889607578927023,1.0835104784144052,364.29005654779735
inference_offline_llama3_70b_000000,offline_inference,10.0,6,2503.590316946304,2891.6253224493216,2901.1363430673337,2903.514098221837,839.4001723563384,0.3352785664150424,1.159740105467148,160.20186187210786
inference_offline_llama3_70b_000200,offline_inference,0.2,178,2715.6439505621656,2853.86459994676,2867.6944409758166,2867.8632018273356,259.10241395726587,0.09541104013419324,1.0560527278377783,928.49462340121
inference_offline_llama3_70b_000200,offline_inference,1.0,36,2692.3347194965118,2854.5041202128637,2864.6169036494575,2867.678880752911,345.3382515309182,0.1282672057936018,1.0651271775335536,359.0726470421951
