profile_id,source_path,slurm_job_id,mode,offline_online,workload_family,model,dataset,workload_config,repeat,nodes,gpus,gpus_per_node,cpu_sockets,hardware_class,duration_s,energy_compute_Wh,mean_compute_W,median_compute_W,p95_compute_W,p99_compute_W,max_compute_W,p_compute_W_per_node,gpu_W_per_device,cpu_W_per_socket,compute_Wh_per_node_hour,cv,peak_to_mean,batch_like,experimental_unit,aggregation_source,family,n_nodes_from_logs,n_gpu_logs,n_cpu_logs,n_gpu_device_columns,expected_devices,double_count_gpu,E_GPU_Wh,E_CPU_Wh,E_CPU_package_only_Wh,E_compute_native_Wh,gpu_energy_share,cpu_energy_share,core_fraction_of_cpu_energy,mean_GPU_W_all_devices,time_monotonic,mean_GPU_W,mean_CPU_W,energy_gpu_Wh,energy_cpu_Wh,batch_size,max_output_tokens,seed,request_rate,num_prompts,hf_output_len,completed_requests,total_input_tokens,total_output_tokens,energy_J_per_request,energy_J_per_token
train_000000,01_aggregated_datasets/training/results/000000.parquet,10742795,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=2_repeat=0,0,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,5320.0,7784.899557258303,5267.813212123757,5176.0933782985885,6032.3039426328205,6045.081905239646,6144.482505022801,2633.9885720046886,592.4214922571241,132.2076577928459,2633.9885720046886,0.2046917537050544,1.1664199654766438,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,2.0,2.0,2.0,8.0,8.0,False,7003.7385306842225,781.494154953267,778.5366445618619,7785.232685637488,0.8996183946569769,0.10038160534302319,0.0037844305970297924,4738.130948975427,True,4739.371938056993,528.8306311713836,7003.7385306842225,781.494154953267,,,,,,,,,,,
train_000001,01_aggregated_datasets/training/results/000001.parquet,10742796,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=2_repeat=1,1,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,5833.6,8563.489699956603,5284.503512289282,5185.497385631774,6024.584821752883,6033.990005269675,6124.141955465544,2642.32745815995,594.9138281988648,131.39377622656303,2642.32745815995,0.19635655133901467,1.15888691174557,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,2.0,2.0,2.0,8.0,8.0,False,7712.198462624218,851.6652588836424,847.1602369159534,8563.863721507862,0.9005512830914494,0.09944871690855066,0.005289662717479191,4757.999378186173,True,4759.310625590919,525.5751049062521,7712.198462624218,851.6652588836424,,,,,,,,,,,
train_000002,01_aggregated_datasets/training/results/000002.parquet,10742797,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=2_repeat=2,2,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,5312.2,7788.695861139546,5278.125020849024,5164.348151072114,6031.370479431443,6043.882351040701,6115.386270406254,2639.142455112982,593.7040984723877,132.1876256776237,2639.142455112982,0.19815744162080104,1.1586285368857274,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,2.0,2.0,2.0,8.0,8.0,False,7008.610915344484,780.2301168051919,777.062899342661,7788.841032149676,0.899827186922333,0.10017281307766693,0.004059337616317132,4749.1046007546975,True,4749.632787779102,528.7505027104949,7008.610915344484,780.2301168051919,,,,,,,,,,,
train_000003,01_aggregated_datasets/training/results/000003.parquet,10742798,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=2_repeat=3,3,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,5318.8,7722.6125718764615,5226.846200380301,5086.583559170345,6020.494968416305,6030.051216184142,6115.803821760715,2613.5035401552286,587.813611048319,131.1630290529605,2613.5035401552286,0.20051256555296595,1.1700753355466504,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,2.0,2.0,2.0,8.0,8.0,False,6947.695632097331,775.144354363207,772.0383127502204,7722.839986460538,0.8996296238531204,0.10037037614687963,0.004007049261860802,4701.677312139974,True,4702.508888386552,524.652116211842,6947.695632097331,775.144354363207,,,,,,,,,,,
train_000004,01_aggregated_datasets/training/results/000004.parquet,10742800,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=2_repeat=4,4,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,5313.2,7762.116729441024,5259.117816735407,5119.178992740861,6040.477745805178,6052.091066182631,6143.95864778915,2629.641292063887,589.9186580140105,135.08320642005827,2629.641292063887,0.2018699009574907,1.1682489082556828,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,2.0,2.0,2.0,8.0,8.0,False,6965.235141688979,797.4712137233929,792.7188261164399,7762.7063554123715,0.8972689192130301,0.10273108078696988,0.00595932182274532,4717.158569133119,True,4719.349264112084,540.3328256802331,6965.235141688979,797.4712137233929,,,,,,,,,,,
train_000005,01_aggregated_datasets/training/results/000005.parquet,10742829,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=4_repeat=0,0,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,3457.8,9830.742732448836,10234.532334703152,10504.770101515265,12060.77064759019,12081.35815295775,12230.547910233081,2558.7565675296296,573.5311580882105,132.37427787762465,2558.7565675296296,0.24884522228950562,1.1950275313276268,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,4.0,4.0,4.0,16.0,16.0,False,8814.02683749962,1017.163951211668,1013.5750863617436,9831.190788711287,0.8965370550656354,0.10346294493436456,0.0035283051917531904,9173.971786414706,True,9176.498529411369,1058.9942230209972,8814.02683749962,1017.163951211668,,,,,,,,,,,
train_000006,01_aggregated_datasets/training/results/000006.parquet,10742831,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=4_repeat=1,1,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,3393.0,9779.474517250013,10375.588550293374,10670.577948163052,12076.624360568701,12094.706341261295,12177.80265178754,2594.025070888598,581.3008050176672,134.50530268551879,2594.025070888598,0.2326052799080544,1.1736975298083894,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,4.0,4.0,4.0,16.0,16.0,False,8766.016139666423,1014.1699822488117,1010.7777124347444,9780.186121915236,0.8963036112394341,0.10369638876056571,0.003344873022710868,9296.702754017806,True,9300.812880282676,1076.0424214841503,8766.016139666423,1014.1699822488117,,,,,,,,,,,
train_000007,01_aggregated_datasets/training/results/000007.parquet,10742832,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=4_repeat=2,2,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,3349.0,9737.425568074303,10466.702024350436,10769.982387057775,12051.979610374583,12070.377291895391,12132.809798467526,2616.8059155768506,588.3038130568198,131.89292664624358,2616.8059155768506,0.21521378071223027,1.1591817336770402,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,4.0,4.0,4.0,16.0,16.0,False,8756.575421899064,981.5764696405995,978.0564099724221,9738.151891539665,0.8992030027285387,0.10079699727146132,0.0035861288213910212,9408.542212014312,True,9412.861008909116,1055.1434131699486,8756.575421899064,981.5764696405995,,,,,,,,,,,
train_000008,01_aggregated_datasets/training/results/000008.parquet,10742833,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=4_repeat=3,3,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,2880.0,8138.111794635658,10172.055208457079,10552.304791305114,12045.574411214187,12064.06868783513,12155.003126348076,2543.159935823643,570.7792085824966,130.03865593896992,2543.159935823643,0.2643392543795077,1.1949407349109125,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,4.0,4.0,4.0,16.0,16.0,False,7305.973869855957,832.2473980094074,829.6670335619054,8138.221267865364,0.8977359584341082,0.1022640415658917,0.003100477638829263,9131.739065275775,True,9132.467337319946,1040.3092475117594,7305.973869855957,832.2473980094074,,,,,,,,,,,
train_000009,01_aggregated_datasets/training/results/000009.parquet,10742834,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=4_repeat=4,4,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,4044.4,11547.676426114955,10278.391231630325,10511.062066263432,11996.304681426076,12025.137494296268,12092.684929307994,2569.7034871682968,578.5131268171882,127.88107348668804,2569.7034871682968,0.23529388947621285,1.1765153375456687,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,4.0,4.0,4.0,16.0,16.0,False,10398.837733775272,1149.3382524656913,1146.9593592523956,11548.175986240964,0.9004744771957869,0.09952552280421312,0.0020697938210898,9253.806268010087,True,9256.210029075011,1023.0485878935043,10398.837733775272,1149.3382524656913,,,,,,,,,,,
