year,n_observations,n_wells
1901,1,1
1925,6,1
1926,12,1
1927,11,1
1928,12,2
1929,13,2
1930,25,3
1931,35,5
1932,43,6
1933,84,6
1934,81,5
1935,106,5
1936,98,4
1937,116,5
1938,135,6
1939,79,6
1940,78,6
1941,72,5
1942,72,5
1943,83,6
1944,81,6
1945,75,6
1946,66,6
1947,54,6
1948,58,6
1949,56,6
1950,59,5
1951,61,6
1952,62,6
1953,60,7
1954,63,7
1955,60,6
1956,67,8
1957,78,10
1958,76,9
1959,72,8
1960,70,8
1961,92,12
1962,80,12
1963,97,13
1964,246,15
1965,160,16
1966,136,19
1967,112,16
1968,112,18
1969,358,105
1970,392,47
1971,549,109
1972,561,106
1973,437,70
1974,438,75
1975,538,102
1976,449,113
1977,600,142
1978,581,130
1979,784,133
1980,775,136
1981,1029,146
1982,729,138
1983,703,161
1984,694,133
1985,694,133
1986,736,139
1987,598,73
1988,791,86
1989,755,92
1990,1047,147
1991,1028,191
1992,1186,200
1993,1235,208
1994,1213,223
1995,1865,225
1996,1342,217
1997,1372,213
1998,1227,214
1999,1214,214
2000,1366,230
2001,1363,220
2002,1364,217
2003,1330,207
2004,1290,195
2005,1179,191
2006,1402,194
2007,1419,195
2008,1779,198
2009,1958,197
2010,1811,194
2011,865,80
2012,1040,80
2013,844,80
2014,924,80
2015,1171,97
2016,1063,97
2017,645,96
2018,1049,97
2019,1177,97
2020,1221,97
2021,1070,98
2022,993,79
2023,1093,78
2024,842,81
2025,879,78
2026,379,75
