start_month,end_month,consecutive_months,minimum_wells_in_month,median_wells_in_month
1991-10,1998-11,86,50,85.0
2002-10,2006-01,40,51,91.0
2007-06,2009-11,30,64,101.5
2000-05,2002-08,28,52,93.0
1999-01,2000-03,15,53,79.0
2006-03,2007-04,14,58,91.5
2010-01,2010-12,12,55,90.5
2015-03,2016-01,11,50,71.0
1981-04,1982-01,10,50,60.0
2020-08,2021-05,10,56,77.0
1990-08,1991-05,10,50,66.0
2016-08,2017-03,8,53,73.5
2018-11,2019-06,8,63,73.0
1989-12,1990-06,7,54,65.0
2018-01,2018-06,6,59,72.0
2021-12,2022-05,6,54,63.0
2011-12,2012-05,6,53,61.0
2011-02,2011-06,5,51,58.0
1988-08,1988-12,5,59,61.0
2022-08,2022-12,5,52,55.0
2023-02,2023-06,5,52,55.0
1980-10,1981-02,5,55,69.0
2024-01,2024-05,5,53,68.0
2023-08,2023-11,4,54,64.5
2014-08,2014-11,4,59,70.5
2024-08,2024-11,4,53,64.5
2025-08,2025-11,4,54,59.5
2025-02,2025-05,4,51,57.0
1986-08,1986-11,4,55,65.0
2016-03,2016-06,4,71,75.5
2019-12,2020-02,3,73,73.0
1989-08,1989-10,3,55,60.0
2014-04,2014-06,3,55,55.0
2013-12,2014-02,3,55,70.0
1979-07,1979-09,3,63,76.0
2019-08,2019-10,3,64,85.0
2020-04,2020-06,3,55,60.0
2017-08,2017-10,3,66,71.0
1969-10,1969-11,2,63,70.0
1985-04,1985-05,2,53,64.5
1984-10,1984-11,2,68,73.5
1985-10,1985-11,2,52,73.5
2012-08,2012-09,2,54,65.5
2012-12,2013-01,2,54,59.5
2013-03,2013-04,2,54,58.5
2021-09,2021-10,2,53,64.5
2013-08,2013-09,2,54,66.5
2018-08,2018-09,2,52,63.5
2011-08,2011-09,2,52,62.5
1989-02,1989-03,2,61,61.5
1989-05,1989-06,2,60,61.0
1991-07,1991-08,2,65,66.5
2026-01,2026-02,2,52,59.0
1976-10,1976-11,2,59,59.5
1977-10,1977-11,2,68,75.0
1975-03,1975-04,2,51,63.0
1978-03,1978-04,2,56,56.5
1979-04,1979-05,2,55,73.0
1972-05,1972-05,1,53,53.0
1972-07,1972-07,1,51,51.0
1971-07,1971-07,1,74,74.0
1971-04,1971-04,1,59,59.0
1971-09,1971-09,1,55,55.0
1971-11,1971-11,1,61,61.0
1973-05,1973-05,1,53,53.0
1974-03,1974-03,1,55,55.0
1974-10,1974-10,1,59,59.0
1975-01,1975-01,1,52,52.0
1983-05,1983-05,1,89,89.0
1983-02,1983-02,1,87,87.0
1982-11,1982-11,1,107,107.0
1982-08,1982-08,1,63,63.0
1982-04,1982-04,1,74,74.0
1980-08,1980-08,1,81,81.0
1980-02,1980-02,1,76,76.0
1980-06,1980-06,1,88,88.0
1978-06,1978-06,1,60,60.0
1978-11,1978-11,1,81,81.0
1979-11,1979-11,1,84,84.0
1979-02,1979-02,1,71,71.0
1975-11,1975-11,1,59,59.0
1975-06,1975-06,1,66,66.0
1977-03,1977-03,1,76,76.0
1977-01,1977-01,1,65,65.0
1972-09,1972-09,1,65,65.0
1984-08,1984-08,1,63,63.0
1986-02,1986-02,1,76,76.0
1985-08,1985-08,1,76,76.0
1985-02,1985-02,1,86,86.0
1984-02,1984-02,1,88,88.0
1983-08,1983-08,1,78,78.0
1983-11,1983-11,1,126,126.0
1986-05,1986-05,1,78,78.0
1987-10,1987-10,1,59,59.0
1988-03,1988-03,1,51,51.0
1988-06,1988-06,1,54,54.0
1984-05,1984-05,1,85,85.0
2013-06,2013-06,1,69,69.0
2015-01,2015-01,1,67,67.0
2026-04,2026-04,1,51,51.0
